time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,-0.334,-9.600,2.233,0.087,0.131,0.302,6.1,-43.9,29.8,-0.957,-7.721,-2.291,-56.453,63.729,-78.075,-0.413,0.467,-0.572,0.533
0.000625,-0.318,-9.595,2.234,0.044,0.218,0.328,6.0,-43.9,29.7,-1.085,-8.739,-0.982,-56.452,63.730,-78.076,-0.413,0.467,-0.572,0.533
0.001250,-0.303,-9.590,2.234,0.000,0.304,0.354,5.9,-43.9,29.7,-3.313,-10.932,-1.417,-56.452,63.730,-78.076,-0.413,0.467,-0.572,0.533
0.001875,-0.287,-9.586,2.235,-0.043,0.391,0.380,5.8,-43.8,29.7,-2.343,-9.070,-0.937,-56.451,63.731,-78.077,-0.413,0.467,-0.572,0.533
0.002500,-0.272,-9.581,2.236,-0.086,0.477,0.406,5.7,-43.8,29.6,-0.007,-8.141,-0.004,-56.451,63.731,-78.078,-0.413,0.467,-0.572,0.533
0.003125,-0.259,-9.577,2.235,-0.113,0.542,0.433,5.6,-43.8,29.6,-1.889,-10.494,-0.944,-56.450,63.732,-78.079,-0.413,0.467,-0.572,0.533
0.003750,-0.262,-9.579,2.226,-0.061,0.499,0.468,5.6,-43.8,29.6,-0.056,-9.131,-0.028,-56.450,63.733,-78.080,-0.413,0.467,-0.572,0.533
0.004375,-0.264,-9.581,2.217,-0.009,0.455,0.502,5.6,-43.8,29.6,-2.282,-9.545,0.913,-56.449,63.733,-78.080,-0.413,0.467,-0.572,0.533
0.005000,-0.267,-9.583,2.208,0.043,0.412,0.537,5.7,-43.8,29.6,-3.737,-10.913,0.060,-56.449,63.734,-78.081,-0.413,0.467,-0.572,0.533
0.005625,-0.270,-9.585,2.199,0.095,0.369,0.572,5.8,-43.8,29.6,-2.065,-7.479,-0.881,-56.448,63.735,-78.082,-0.413,0.467,-0.572,0.533
0.006250,-0.273,-9.587,2.191,0.146,0.325,0.606,5.8,-43.8,29.6,-1.481,-8.906,-0.092,-56.448,63.735,-78.083,-0.413,0.467,-0.572,0.533
0.006875,-0.275,-9.589,2.182,0.198,0.282,0.641,5.9,-43.8,29.6,0.263,-8.665,-0.849,-56.447,63.736,-78.083,-0.413,0.467,-0.572,0.533
0.007500,-0.277,-9.591,2.174,0.245,0.243,0.666,6.0,-43.8,29.6,0.062,-9.027,-0.540,-56.447,63.737,-78.084,-0.413,0.467,-0.572,0.533
0.008125,-0.269,-9.593,2.178,0.254,0.234,0.623,6.0,-43.7,29.6,-3.270,-8.680,-0.478,-56.447,63.737,-78.084,-0.413,0.467,-0.572,0.533
0.008750,-0.262,-9.594,2.181,0.262,0.226,0.580,6.1,-43.7,29.6,-3.827,-9.412,-0.879,-56.447,63.737,-78.084,-0.413,0.467,-0.572,0.533
0.009375,-0.254,-9.595,2.185,0.271,0.217,0.536,6.2,-43.7,29.6,-3.827,-9.175,-0.957,-56.447,63.737,-78.085,-0.413,0.467,-0.572,0.533
0.010000,-0.247,-9.597,2.188,0.280,0.208,0.493,6.2,-43.7,29.6,-2.672,-7.935,-0.187,-56.447,63.737,-78.085,-0.413,0.467,-0.572,0.533
0.010625,-0.239,-9.598,2.191,0.288,0.200,0.450,6.3,-43.7,29.6,-2.392,-8.408,0.000,-56.447,63.737,-78.085,-0.413,0.467,-0.572,0.533
