time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.477,-1.644,1.868,1.218,0.122,0.141,-107.3,-6.8,14.6,11.261,-2.958,4.349,108.901,-24.528,135.355,0.620,-0.140,0.771,0.040
0.000625,9.484,-1.635,1.868,1.271,0.122,0.176,-107.3,-6.9,14.6,8.466,-3.732,6.028,108.901,-24.529,135.354,0.620,-0.140,0.771,0.040
0.001250,9.497,-1.638,1.868,1.254,0.143,0.134,-107.2,-7.0,14.6,9.413,-4.681,3.230,108.902,-24.528,135.355,0.620,-0.140,0.771,0.040
0.001875,9.512,-1.645,1.869,1.219,0.169,0.073,-107.2,-7.1,14.6,10.837,-5.630,5.410,108.903,-24.527,135.356,0.620,-0.140,0.771,0.040
0.002500,9.526,-1.652,1.869,1.184,0.195,0.012,-107.2,-7.2,14.6,9.744,-5.321,5.740,108.904,-24.526,135.357,0.620,-0.140,0.771,0.040
0.003125,9.540,-1.659,1.870,1.149,0.222,-0.049,-107.2,-7.3,14.5,8.320,-4.846,3.662,108.905,-24.525,135.358,0.620,-0.140,0.771,0.040
0.003750,9.555,-1.666,1.871,1.114,0.248,-0.110,-107.1,-7.4,14.5,8.544,-6.020,4.173,108.906,-24.523,135.359,0.620,-0.140,0.771,0.040
0.004375,9.569,-1.673,1.871,1.079,0.274,-0.171,-107.1,-7.5,14.5,9.836,-5.402,5.122,108.907,-24.522,135.359,0.620,-0.140,0.771,0.040
0.005000,9.584,-1.679,1.872,1.044,0.300,-0.232,-107.1,-7.6,14.5,9.641,-5.667,7.285,108.908,-24.521,135.360,0.620,-0.140,0.771,0.040
0.005625,9.580,-1.696,1.865,1.051,0.298,-0.258,-107.1,-7.7,14.5,10.369,-3.737,6.452,108.910,-24.520,135.361,0.620,-0.140,0.771,0.040
0.006250,9.572,-1.714,1.856,1.069,0.289,-0.276,-107.1,-7.8,14.5,11.715,-4.937,4.234,108.911,-24.520,135.363,0.620,-0.140,0.771,0.040
0.006875,9.563,-1.733,1.847,1.086,0.281,-0.293,-107.0,-7.9,14.5,9.993,-4.082,6.580,108.913,-24.519,135.364,0.620,-0.140,0.771,0.040
0.007500,9.555,-1.751,1.838,1.104,0.272,-0.311,-107.0,-8.0,14.4,9.957,-5.775,4.059,108.914,-24.518,135.365,0.620,-0.140,0.771,0.040
0.008125,9.547,-1.770,1.829,1.121,0.263,-0.328,-107.0,-8.0,14.4,10.432,-4.290,4.120,108.916,-24.517,135.366,0.620,-0.140,0.771,0.040
0.008750,9.539,-1.788,1.821,1.139,0.254,-0.346,-107.0,-8.1,14.4,10.142,-3.827,6.598,108.917,-24.517,135.367,0.620,-0.140,0.771,0.040
0.009375,9.530,-1.807,1.812,1.156,0.246,-0.363,-107.0,-8.2,14.4,9.667,-4.584,4.149,108.919,-24.516,135.368,0.620,-0.140,0.771,0.040
0.010000,9.518,-1.785,1.831,1.152,0.230,-0.259,-107.0,-8.2,14.5,10.317,-3.285,6.345,108.920,-24.515,135.370,0.620,-0.140,0.771,0.040
0.010625,9.504,-1.755,1.856,1.143,0.212,-0.128,-107.0,-8.2,14.5,8.299,-4.725,4.209,108.920,-24.514,135.373,0.620,-0.140,0.771,0.040
0.011250,9.490,-1.725,1.882,1.135,0.195,0.003,-107.0,-8.2,14.6,9.122,-5.262,5.919,108.921,-24.513,135.375,0.620,-0.140,0.771,0.039
0.011875,9.477,-1.695,1.907,1.126,0.177,0.134,-107.0,-8.1,14.7,11.384,-4.535,5.244,108.921,-24.513,135.377,0.620,-0.140,0.771,0.039
0.012500,9.463,-1.665,1.932,1.117,0.160,0.265,-107.0,-8.1,14.8,11.959,-5.384,5.503,108.922,-24.512,135.380,0.620,-0.140,0.771,0.039
0.013125,9.449,-1.635,1.958,1.109,0.142,0.396,-107.0,-8.1,14.9,10.892,-3.961,7.164,108.922,-24.511,135.382,0.620,-0.140,0.771,0.039
0.013750,9.435,-1.604,1.983,1.100,0.125,0.527,-107.0,-8.1,14.9,10.524,-4.405,5.893,108.923,-24.510,135.385,0.620,-0.140,0.771,0.039
0.014375,9.447,-1.618,1.985,1.077,0.108,0.440,-107.0,-8.0,15.0,10.524,-3.390,4.565,108.924,-24.509,135.386,0.620,-0.140,0.771,0.039
0.015000,9.465,-1.641,1.983,1.050,0.090,0.309,-107.0,-8.0,15.1,10.869,-3.560,4.650,108.925,-24.508,135.388,0.620,-0.140,0.771,0.039
0.015625,9.482,-1.663,1.981,1.024,0.073,0.178,-107.0,-8.0,15.2,11.684,-4.168,2.397,108.926,-24.507,135.389,0.620,-0.140,0.771,0.039
0.016250,9.499,-1.686,1.979,0.998,0.055,0.047,-107.0,-7.9,15.3,10.610,-4.980,1.098,108.927,-24.506,135.391,0.620,-0.140,0.771,0.039
0.016875,9.516,-1.709,1.977,0.972,0.038,-0.084,-107.0,-7.9,15.3,9.379,-4.595,2.291,108.928,-24.504,135.393,0.620,-0.140,0.771,0.039
0.017500,9.533,-1.731,1.975,0.946,0.020,-0.215,-107.0,-7.9,15.4,9.749,-4.305,2.211,108.929,-24.503,135.394,0.620,-0.140,0.771,0.039
0.018125,9.550,-1.754,1.973,0.919,0.003,-0.346,-107.0,-7.9,15.5,11.024,-2.675,5.173,108.930,-24.502,135.396,0.620,-0.140,0.771,0.039
0.018750,9.531,-1.745,1.972,0.930,-0.007,-0.307,-107.1,-7.8,15.6,10.514,-2.880,5.408,108.930,-24.501,135.397,0.620,-0.140,0.771,0.039
0.019375,9.506,-1.731,1.972,0.948,-0.016,-0.237,-107.1,-7.8,15.6,9.727,-4.941,4.465,108.931,-24.500,135.398,0.620,-0.139,0.771,0.039
0.020000,9.481,-1.716,1.971,0.965,-0.025,-0.167,-107.1,-7.8,15.7,9.253,-7.000,4.620,108.932,-24.498,135.400,0.620,-0.139,0.771,0.039
0.020625,9.455,-1.702,1.970,0.982,-0.034,-0.098,-107.1,-7.7,15.8,9.089,-6.410,4.162,108.932,-24.497,135.401,0.620,-0.139,0.771,0.039
0.021250,9.430,-1.688,1.970,1.000,-0.042,-0.028,-107.1,-7.7,15.9,9.704,-5.433,2.905,108.933,-24.496,135.402,0.620,-0.139,0.771,0.039
0.021875,9.405,-1.673,1.969,1.017,-0.051,0.042,-107.1,-7.7,16.0,10.046,-5.566,4.213,108.934,-24.495,135.404,0.620,-0.139,0.771,0.039
0.022500,9.379,-1.659,1.968,1.035,-0.060,0.112,-107.1,-7.7,16.0,9.746,-4.241,4.662,108.934,-24.493,135.405,0.620,-0.139,0.771,0.039
0.023125,9.395,-1.671,1.951,1.052,-0.068,0.137,-107.1,-7.6,16.1,8.679,-4.829,4.009,108.936,-24.492,135.406,0.620,-0.139,0.771,0.039
