time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.697,-0.091,-0.541,0.671,0.732,0.549,-54.2,-5.1,-31.7,2.490,-0.033,5.544,-125.064,-11.051,-118.565,-0.723,-0.064,-0.685,0.064
0.000625,9.712,-0.087,-0.539,0.636,0.706,0.584,-54.1,-5.0,-31.7,3.703,-0.478,2.932,-125.063,-11.050,-118.565,-0.723,-0.064,-0.685,0.064
0.001250,9.728,-0.083,-0.537,0.602,0.680,0.619,-54.1,-5.0,-31.8,2.178,-0.449,3.827,-125.063,-11.049,-118.566,-0.723,-0.064,-0.685,0.064
0.001875,9.744,-0.079,-0.535,0.567,0.654,0.653,-54.1,-4.9,-31.8,5.970,-0.083,3.855,-125.062,-11.048,-118.566,-0.723,-0.064,-0.685,0.064
0.002500,9.759,-0.075,-0.533,0.532,0.628,0.688,-54.1,-4.8,-31.9,2.199,-1.357,4.175,-125.061,-11.048,-118.566,-0.723,-0.064,-0.685,0.064
0.003125,9.775,-0.071,-0.531,0.497,0.602,0.723,-54.1,-4.7,-31.9,6.909,-0.073,1.986,-125.060,-11.047,-118.567,-0.723,-0.064,-0.685,0.064
0.003750,9.791,-0.066,-0.529,0.463,0.576,0.758,-54.1,-4.7,-32.0,2.094,-1.367,3.304,-125.060,-11.046,-118.567,-0.723,-0.064,-0.685,0.064
0.004375,9.806,-0.062,-0.527,0.428,0.550,0.793,-54.1,-4.6,-32.1,5.657,0.000,2.559,-125.059,-11.046,-118.567,-0.723,-0.064,-0.685,0.064
0.005000,9.800,-0.058,-0.528,0.444,0.515,0.768,-54.1,-4.5,-32.1,3.827,-0.019,6.008,-125.059,-11.045,-118.568,-0.723,-0.064,-0.685,0.064
0.005625,9.793,-0.053,-0.529,0.462,0.480,0.742,-54.1,-4.4,-32.2,3.792,-0.461,1.044,-125.060,-11.045,-118.568,-0.723,-0.064,-0.685,0.064
0.006250,9.786,-0.048,-0.531,0.479,0.446,0.716,-54.1,-4.4,-32.2,2.886,0.000,3.364,-125.060,-11.044,-118.568,-0.723,-0.064,-0.685,0.064
0.006875,9.780,-0.043,-0.532,0.496,0.411,0.689,-54.1,-4.3,-32.3,3.405,0.000,3.813,-125.060,-11.044,-118.568,-0.723,-0.064,-0.685,0.064
0.007500,9.773,-0.038,-0.534,0.514,0.376,0.663,-54.1,-4.2,-32.4,5.188,-0.037,3.361,-125.061,-11.043,-118.569,-0.723,-0.064,-0.685,0.064
0.008125,9.766,-0.034,-0.535,0.531,0.341,0.637,-54.1,-4.1,-32.4,2.392,-1.403,3.806,-125.061,-11.043,-118.569,-0.723,-0.064,-0.685,0.064
0.008750,9.759,-0.029,-0.536,0.548,0.307,0.611,-54.0,-4.1,-32.5,2.401,-0.009,2.835,-125.062,-11.042,-118.569,-0.723,-0.064,-0.685,0.064
0.009375,9.782,-0.024,-0.534,0.616,0.372,0.652,-54.0,-4.0,-32.5,2.906,-0.486,1.014,-125.060,-11.043,-118.569,-0.723,-0.064,-0.685,0.064
0.010000,9.806,-0.019,-0.532,0.685,0.441,0.695,-54.0,-3.9,-32.6,5.257,-0.946,4.746,-125.058,-11.044,-118.569,-0.723,-0.064,-0.685,0.064
0.010625,9.829,-0.015,-0.530,0.755,0.511,0.739,-54.0,-3.8,-32.7,4.773,0.000,1.435,-125.057,-11.044,-118.569,-0.723,-0.064,-0.685,0.064
0.011250,9.853,-0.010,-0.528,0.825,0.580,0.782,-54.0,-3.8,-32.7,3.343,0.000,1.437,-125.055,-11.045,-118.569,-0.723,-0.064,-0.685,0.064
0.011875,9.877,-0.005,-0.526,0.894,0.650,0.826,-54.0,-3.7,-32.8,1.915,0.000,1.915,-125.053,-11.046,-118.568,-0.723,-0.064,-0.685,0.064
0.012500,9.901,-0.000,-0.524,0.964,0.720,0.869,-54.0,-3.6,-32.8,4.775,0.000,4.775,-125.052,-11.047,-118.568,-0.723,-0.064,-0.685,0.064
0.013125,9.925,0.004,-0.522,1.033,0.789,0.913,-54.0,-3.6,-32.9,3.833,-1.426,3.833,-125.050,-11.048,-118.568,-0.723,-0.064,-0.685,0.064
0.013750,9.912,-0.002,-0.524,0.972,0.736,0.899,-54.0,-3.6,-32.9,4.301,0.933,4.301,-125.049,-11.048,-118.568,-0.723,-0.064,-0.685,0.064
0.014375,9.897,-0.008,-0.526,0.902,0.675,0.882,-54.0,-3.6,-32.9,4.777,0.013,1.003,-125.048,-11.049,-118.567,-0.723,-0.064,-0.685,0.064
0.015000,9.882,-0.015,-0.528,0.833,0.614,0.864,-54.0,-3.6,-32.9,3.373,0.000,2.367,-125.046,-11.050,-118.567,-0.723,-0.064,-0.685,0.064
0.015625,9.867,-0.022,-0.530,0.763,0.554,0.847,-54.0,-3.6,-32.9,2.880,0.000,4.265,-125.045,-11.051,-118.566,-0.723,-0.064,-0.685,0.064
0.016250,9.852,-0.029,-0.532,0.694,0.493,0.829,-54.0,-3.6,-32.9,4.737,0.000,5.239,-125.044,-11.051,-118.566,-0.723,-0.064,-0.685,0.064
0.016875,9.837,-0.036,-0.534,0.624,0.432,0.812,-54.0,-3.6,-32.9,4.784,0.000,2.937,-125.043,-11.052,-118.565,-0.723,-0.064,-0.685,0.064
