time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.667,-0.208,1.092,1.817,0.669,-0.432,-66.7,23.4,-19.1,6.963,-1.169,2.658,2.085,-84.174,5.354,0.017,-0.670,0.043,0.741
0.000625,9.666,-0.215,1.093,1.764,0.660,-0.449,-66.7,23.4,-19.2,7.325,-0.478,3.458,2.087,-84.174,5.354,0.017,-0.670,0.043,0.741
0.001250,9.665,-0.223,1.095,1.712,0.651,-0.467,-66.7,23.4,-19.2,6.219,-0.392,3.655,2.088,-84.174,5.354,0.017,-0.670,0.043,0.741
0.001875,9.663,-0.230,1.096,1.660,0.643,-0.484,-66.7,23.3,-19.3,6.470,0.000,3.059,2.089,-84.174,5.354,0.017,-0.670,0.043,0.741
0.002500,9.662,-0.238,1.098,1.608,0.634,-0.501,-66.7,23.3,-19.4,8.251,0.000,4.266,2.091,-84.174,5.354,0.017,-0.670,0.043,0.741
0.003125,9.661,-0.245,1.099,1.556,0.625,-0.519,-66.6,23.3,-19.5,9.503,0.000,3.875,2.092,-84.173,5.354,0.017,-0.670,0.043,0.741
0.003750,9.659,-0.253,1.100,1.503,0.617,-0.536,-66.6,23.3,-19.6,7.683,0.000,5.240,2.094,-84.173,5.354,0.017,-0.670,0.043,0.741
0.004375,9.663,-0.255,1.096,1.451,0.595,-0.532,-66.6,23.3,-19.7,8.549,0.000,2.576,2.095,-84.173,5.354,0.017,-0.670,0.043,0.741
0.005000,9.680,-0.241,1.074,1.399,0.534,-0.462,-66.6,23.3,-19.7,7.338,-1.273,2.816,2.096,-84.173,5.354,0.017,-0.670,0.043,0.741
0.005625,9.697,-0.228,1.052,1.347,0.473,-0.392,-66.6,23.3,-19.7,7.977,-0.232,2.870,2.097,-84.173,5.354,0.017,-0.670,0.043,0.741
0.006250,9.714,-0.214,1.030,1.295,0.412,-0.323,-66.6,23.3,-19.7,7.000,0.000,1.360,2.097,-84.174,5.354,0.017,-0.670,0.043,0.741
0.006875,9.731,-0.201,1.008,1.242,0.351,-0.253,-66.6,23.3,-19.7,7.405,-0.354,1.665,2.098,-84.174,5.354,0.017,-0.670,0.043,0.741
0.007500,9.748,-0.187,0.987,1.190,0.290,-0.184,-66.6,23.3,-19.7,7.654,-0.148,3.567,2.099,-84.174,5.354,0.017,-0.670,0.043,0.741
0.008125,9.765,-0.173,0.965,1.138,0.229,-0.114,-66.6,23.3,-19.7,7.347,-0.922,2.769,2.100,-84.174,5.354,0.017,-0.670,0.043,0.741
0.008750,9.774,-0.163,0.949,1.084,0.200,-0.086,-66.5,23.3,-19.7,6.608,-0.867,0.778,2.101,-84.174,5.354,0.017,-0.670,0.043,0.741
0.009375,9.759,-0.164,0.951,1.023,0.269,-0.190,-66.5,23.3,-19.7,6.740,1.085,0.521,2.102,-84.174,5.354,0.017,-0.670,0.043,0.741
0.010000,9.744,-0.166,0.954,0.962,0.339,-0.295,-66.5,23.3,-19.7,7.650,0.969,2.617,2.104,-84.175,5.353,0.017,-0.670,0.043,0.741
0.010625,9.729,-0.167,0.957,0.901,0.408,-0.399,-66.5,23.3,-19.7,7.491,-0.265,3.664,2.106,-84.175,5.353,0.017,-0.670,0.043,0.741
0.011250,9.714,-0.169,0.960,0.840,0.478,-0.503,-66.5,23.3,-19.7,6.888,0.000,2.870,2.107,-84.175,5.353,0.017,-0.670,0.043,0.741
0.011875,9.699,-0.170,0.962,0.779,0.548,-0.608,-66.5,23.3,-19.7,7.009,0.000,3.538,2.109,-84.175,5.352,0.017,-0.670,0.043,0.741
0.012500,9.684,-0.171,0.965,0.719,0.617,-0.712,-66.5,23.3,-19.7,6.123,-0.287,4.640,2.110,-84.176,5.352,0.017,-0.670,0.043,0.741
0.013125,9.673,-0.177,0.967,0.683,0.679,-0.776,-66.5,23.4,-19.8,5.385,-0.356,4.426,2.111,-84.176,5.351,0.017,-0.670,0.043,0.741
0.013750,9.678,-0.196,0.966,0.735,0.714,-0.698,-66.5,23.4,-19.8,6.982,0.660,4.590,2.111,-84.176,5.350,0.017,-0.670,0.043,0.741
0.014375,9.682,-0.215,0.966,0.787,0.749,-0.619,-66.5,23.4,-19.8,5.998,-2.098,3.607,2.110,-84.176,5.349,0.017,-0.670,0.043,0.741
0.015000,9.686,-0.234,0.965,0.839,0.783,-0.541,-66.5,23.4,-19.8,4.784,-0.478,2.592,2.109,-84.176,5.349,0.017,-0.670,0.043,0.741
0.015625,9.690,-0.253,0.964,0.892,0.818,-0.463,-66.5,23.4,-19.8,4.970,-0.452,4.172,2.108,-84.176,5.348,0.017,-0.670,0.043,0.741
0.016250,9.694,-0.272,0.964,0.944,0.853,-0.384,-66.5,23.4,-19.8,8.116,-0.016,1.913,2.107,-84.176,5.347,0.017,-0.670,0.043,0.741
0.016875,9.698,-0.291,0.963,0.996,0.888,-0.306,-66.5,23.4,-19.8,5.841,-2.291,1.913,2.106,-84.176,5.346,0.017,-0.670,0.043,0.741
0.017500,9.699,-0.302,0.964,1.050,0.892,-0.242,-66.5,23.4,-19.8,5.740,-0.652,2.348,2.106,-84.176,5.344,0.017,-0.670,0.043,0.741
0.018125,9.690,-0.281,0.973,1.111,0.779,-0.234,-66.5,23.4,-19.8,6.975,-0.890,0.334,2.106,-84.177,5.343,0.017,-0.670,0.043,0.741
0.018750,9.680,-0.260,0.982,1.172,0.666,-0.225,-66.5,23.4,-19.8,5.623,-0.957,0.000,2.106,-84.177,5.342,0.017,-0.670,0.043,0.741
0.019375,9.671,-0.239,0.991,1.233,0.553,-0.216,-66.5,23.4,-19.8,7.086,0.502,0.729,2.106,-84.178,5.340,0.017,-0.670,0.043,0.741
0.020000,9.661,-0.217,1.000,1.294,0.440,-0.207,-66.5,23.4,-19.8,6.971,-0.067,1.298,2.107,-84.178,5.339,0.017,-0.670,0.042,0.741
0.020625,9.652,-0.196,1.009,1.354,0.327,-0.199,-66.5,23.4,-19.8,7.651,-0.160,1.117,2.107,-84.178,5.337,0.017,-0.670,0.042,0.741
0.021250,9.642,-0.175,1.018,1.415,0.213,-0.190,-66.5,23.4,-19.8,6.954,0.000,3.019,2.107,-84.179,5.336,0.017,-0.670,0.042,0.741
0.021875,9.636,-0.159,1.025,1.454,0.137,-0.181,-66.5,23.4,-19.8,6.761,0.000,3.221,2.107,-84.179,5.334,0.017,-0.670,0.042,0.741
