time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.719,-0.875,-0.536,2.654,1.395,-1.913,-54.8,-11.4,40.8,13.375,2.373,1.921,-13.358,-92.914,-3.602,-0.104,-0.723,-0.028,0.682
0.000625,9.724,-0.874,-0.535,2.706,1.361,-1.965,-54.9,-11.4,40.7,11.016,0.013,2.865,-13.356,-92.914,-3.603,-0.104,-0.723,-0.028,0.682
0.001250,9.731,-0.870,-0.552,2.749,1.274,-1.991,-54.9,-11.3,40.7,9.595,1.877,0.993,-13.355,-92.915,-3.603,-0.104,-0.723,-0.028,0.682
0.001875,9.737,-0.866,-0.569,2.793,1.188,-2.017,-54.9,-11.2,40.7,11.882,0.988,3.271,-13.353,-92.915,-3.603,-0.104,-0.723,-0.028,0.682
0.002500,9.744,-0.862,-0.586,2.836,1.102,-2.043,-54.9,-11.2,40.7,11.047,0.957,1.067,-13.351,-92.916,-3.604,-0.104,-0.723,-0.028,0.682
0.003125,9.751,-0.858,-0.603,2.879,1.015,-2.069,-54.9,-11.1,40.7,11.452,0.957,5.006,-13.349,-92.916,-3.604,-0.104,-0.723,-0.028,0.682
0.003750,9.758,-0.854,-0.620,2.922,0.929,-2.095,-54.9,-11.1,40.7,12.811,1.400,0.384,-13.347,-92.917,-3.604,-0.104,-0.723,-0.028,0.682
0.004375,9.764,-0.850,-0.637,2.965,0.842,-2.121,-54.9,-11.0,40.7,11.168,0.124,1.748,-13.346,-92.917,-3.605,-0.104,-0.723,-0.028,0.682
0.005000,9.771,-0.855,-0.644,2.979,0.790,-2.087,-54.9,-11.0,40.7,11.003,1.292,2.344,-13.344,-92.917,-3.605,-0.104,-0.723,-0.028,0.682
0.005625,9.777,-0.871,-0.638,2.953,0.781,-1.975,-54.9,-11.2,40.7,9.730,0.163,1.120,-13.343,-92.918,-3.605,-0.104,-0.723,-0.028,0.682
0.006250,9.783,-0.887,-0.632,2.927,0.772,-1.863,-54.8,-11.3,40.7,11.238,0.835,0.122,-13.342,-92.918,-3.605,-0.104,-0.723,-0.028,0.682
0.006875,9.789,-0.903,-0.626,2.901,0.764,-1.751,-54.8,-11.4,40.8,12.303,1.368,2.878,-13.341,-92.918,-3.605,-0.104,-0.723,-0.028,0.682
0.007500,9.795,-0.920,-0.619,2.875,0.755,-1.638,-54.8,-11.6,40.8,14.056,3.054,2.944,-13.340,-92.919,-3.605,-0.104,-0.723,-0.028,0.682
0.008125,9.801,-0.936,-0.613,2.849,0.746,-1.526,-54.8,-11.7,40.8,13.157,1.358,3.268,-13.339,-92.919,-3.604,-0.104,-0.723,-0.028,0.682
0.008750,9.808,-0.952,-0.607,2.823,0.738,-1.414,-54.8,-11.9,40.9,12.524,0.173,3.349,-13.338,-92.919,-3.604,-0.104,-0.723,-0.028,0.682
