time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,-0.262,-9.532,2.047,-0.435,0.224,0.696,7.3,-42.3,32.4,-1.791,-8.845,-1.435,-46.010,78.063,-95.162,-0.319,0.541,-0.660,0.411
0.000625,-0.257,-9.532,2.037,-0.447,0.235,0.639,7.4,-42.4,32.5,-4.003,-9.089,-1.087,-46.011,78.063,-95.161,-0.319,0.541,-0.660,0.412
0.001250,-0.245,-9.537,2.024,-0.369,0.218,0.579,7.5,-42.5,32.5,-3.081,-8.408,-2.319,-46.012,78.062,-95.160,-0.319,0.541,-0.660,0.412
0.001875,-0.232,-9.543,2.010,-0.291,0.200,0.518,7.6,-42.5,32.5,-2.392,-9.463,-0.209,-46.013,78.062,-95.159,-0.319,0.541,-0.660,0.412
0.002500,-0.220,-9.548,1.997,-0.213,0.183,0.457,7.7,-42.6,32.5,-1.418,-10.046,-0.342,-46.014,78.062,-95.158,-0.319,0.541,-0.660,0.412
0.003125,-0.208,-9.554,1.983,-0.135,0.166,0.397,7.7,-42.7,32.5,-0.957,-9.729,-1.908,-46.015,78.061,-95.158,-0.319,0.541,-0.660,0.412
0.003750,-0.196,-9.559,1.970,-0.058,0.148,0.336,7.8,-42.8,32.5,-1.575,-8.949,-0.846,-46.015,78.061,-95.157,-0.319,0.541,-0.660,0.412
0.004375,-0.184,-9.564,1.956,0.020,0.131,0.276,7.9,-42.9,32.5,-1.311,-10.418,-0.301,-46.016,78.061,-95.156,-0.319,0.541,-0.660,0.412
0.005000,-0.179,-9.570,1.954,0.073,0.106,0.261,8.0,-42.9,32.5,-1.250,-8.547,-0.185,-46.017,78.060,-95.155,-0.319,0.541,-0.660,0.412
0.005625,-0.184,-9.577,1.966,0.099,0.071,0.295,8.0,-42.8,32.5,-0.578,-7.554,-0.571,-46.018,78.060,-95.155,-0.319,0.541,-0.660,0.412
0.006250,-0.189,-9.584,1.977,0.125,0.036,0.330,8.0,-42.8,32.5,-1.111,-8.410,-1.234,-46.018,78.059,-95.154,-0.319,0.541,-0.660,0.412
0.006875,-0.194,-9.591,1.989,0.151,0.002,0.364,8.0,-42.7,32.5,-3.263,-9.690,-0.626,-46.019,78.059,-95.153,-0.319,0.541,-0.660,0.412
0.007500,-0.198,-9.598,2.001,0.177,-0.033,0.399,8.0,-42.7,32.5,-1.947,-10.000,0.000,-46.020,78.058,-95.153,-0.319,0.541,-0.660,0.412
0.008125,-0.203,-9.604,2.012,0.203,-0.068,0.434,8.0,-42.6,32.5,-1.779,-10.076,0.000,-46.020,78.058,-95.152,-0.319,0.541,-0.660,0.412
0.008750,-0.208,-9.611,2.024,0.229,-0.102,0.468,8.0,-42.6,32.5,-1.624,-9.046,-0.985,-46.021,78.057,-95.151,-0.319,0.541,-0.660,0.412
0.009375,-0.212,-9.615,2.031,0.211,-0.107,0.437,8.0,-42.5,32.5,-0.954,-7.415,-1.675,-46.021,78.057,-95.151,-0.319,0.541,-0.660,0.412
0.010000,-0.216,-9.615,2.031,0.133,-0.073,0.315,8.0,-42.5,32.5,-3.528,-7.867,-1.666,-46.022,78.057,-95.151,-0.319,0.541,-0.660,0.412
0.010625,-0.219,-9.615,2.032,0.055,-0.038,0.194,8.0,-42.4,32.5,-4.148,-9.056,-0.800,-46.022,78.057,-95.150,-0.319,0.541,-0.660,0.412
0.011250,-0.222,-9.615,2.033,-0.023,-0.003,0.073,8.0,-42.4,32.5,-2.870,-9.353,-0.166,-46.022,78.057,-95.150,-0.319,0.541,-0.660,0.412
0.011875,-0.226,-9.615,2.033,-0.101,0.031,-0.048,8.0,-42.3,32.5,-2.663,-9.710,-1.578,-46.022,78.057,-95.150,-0.319,0.541,-0.660,0.412
0.012500,-0.229,-9.615,2.034,-0.178,0.066,-0.169,8.0,-42.3,32.5,-2.790,-10.325,-1.396,-46.022,78.057,-95.150,-0.319,0.541,-0.660,0.412
0.013125,-0.233,-9.615,2.035,-0.256,0.100,-0.290,8.0,-42.2,32.5,-2.774,-9.663,0.000,-46.022,78.057,-95.150,-0.319,0.541,-0.660,0.412
0.013750,-0.232,-9.610,2.039,-0.292,0.141,-0.347,8.1,-42.2,32.4,-2.097,-9.456,-0.184,-46.023,78.057,-95.150,-0.319,0.541,-0.660,0.412
0.014375,-0.224,-9.597,2.050,-0.258,0.193,-0.295,8.1,-42.1,32.4,-2.919,-10.222,-0.303,-46.023,78.057,-95.150,-0.319,0.541,-0.660,0.412
0.015000,-0.217,-9.584,2.061,-0.223,0.245,-0.243,8.1,-42.1,32.4,-3.491,-9.517,-0.336,-46.023,78.056,-95.150,-0.319,0.541,-0.660,0.412
0.015625,-0.209,-9.572,2.072,-0.188,0.297,-0.191,8.1,-42.0,32.4,-1.910,-7.814,-0.637,-46.023,78.056,-95.150,-0.319,0.541,-0.660,0.412
0.016250,-0.202,-9.559,2.083,-0.154,0.349,-0.139,8.1,-42.0,32.4,0.000,-8.437,-0.609,-46.023,78.056,-95.151,-0.319,0.541,-0.660,0.412
0.016875,-0.194,-9.546,2.093,-0.119,0.401,-0.087,8.1,-41.9,32.4,-0.433,-9.522,-1.625,-46.023,78.056,-95.151,-0.319,0.541,-0.660,0.412
0.017500,-0.187,-9.533,2.104,-0.084,0.453,-0.035,8.1,-41.9,32.4,-1.708,-9.705,-0.274,-46.023,78.055,-95.151,-0.319,0.541,-0.660,0.412
