time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,-2.833,8.738,2.877,-0.242,-0.170,-0.681,-8.7,56.3,9.6,-5.487,7.119,6.500,60.094,-64.231,-108.703,0.404,-0.431,-0.730,0.343
0.000625,-2.841,8.751,2.892,-0.233,-0.127,-0.716,-8.7,56.4,9.6,-5.740,8.132,6.602,60.095,-64.231,-108.703,0.404,-0.431,-0.730,0.343
0.001250,-2.850,8.764,2.906,-0.224,-0.084,-0.751,-8.7,56.5,9.6,-5.535,7.311,6.422,60.095,-64.230,-108.702,0.404,-0.431,-0.730,0.343
0.001875,-2.859,8.777,2.920,-0.215,-0.040,-0.786,-8.7,56.6,9.6,-4.480,6.414,4.588,60.095,-64.229,-108.702,0.404,-0.431,-0.730,0.343
0.002500,-2.868,8.790,2.934,-0.207,0.003,-0.820,-8.8,56.6,9.7,-3.349,6.883,5.234,60.096,-64.229,-108.701,0.404,-0.431,-0.730,0.343
0.003125,-2.877,8.803,2.949,-0.198,0.047,-0.855,-8.8,56.7,9.7,-2.821,7.351,6.873,60.096,-64.228,-108.701,0.404,-0.431,-0.730,0.343
0.003750,-2.886,8.815,2.963,-0.189,0.090,-0.890,-8.8,56.8,9.7,-2.245,7.488,7.176,60.096,-64.227,-108.700,0.404,-0.431,-0.730,0.343
0.004375,-2.893,8.821,2.972,-0.194,0.127,-0.924,-8.8,56.8,9.7,-3.026,7.176,6.707,60.097,-64.226,-108.700,0.404,-0.431,-0.730,0.343
0.005000,-2.898,8.804,2.965,-0.238,0.144,-0.959,-8.8,56.8,9.7,-4.373,7.176,6.179,60.097,-64.225,-108.699,0.404,-0.431,-0.730,0.343
0.005625,-2.903,8.787,2.958,-0.281,0.161,-0.994,-8.8,56.8,9.7,-5.879,7.312,6.903,60.098,-64.224,-108.698,0.404,-0.431,-0.730,0.343
0.006250,-2.908,8.770,2.951,-0.325,0.179,-1.029,-8.8,56.7,9.7,-3.827,7.401,5.839,60.099,-64.223,-108.697,0.404,-0.431,-0.730,0.343
0.006875,-2.913,8.752,2.945,-0.368,0.196,-1.063,-8.7,56.7,9.6,-4.060,6.230,5.134,60.100,-64.221,-108.696,0.404,-0.431,-0.730,0.343
0.007500,-2.917,8.735,2.938,-0.411,0.213,-1.098,-8.7,56.6,9.6,-4.997,4.891,6.646,60.101,-64.220,-108.696,0.404,-0.431,-0.730,0.343
