time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.628,-0.195,1.098,0.190,0.963,0.183,-66.9,22.3,-14.0,8.225,-0.571,3.059,7.317,-83.609,10.882,0.058,-0.665,0.087,0.739
0.000625,9.631,-0.217,1.106,0.172,0.998,0.104,-66.8,22.3,-14.1,7.893,-0.239,3.707,7.317,-83.609,10.882,0.058,-0.665,0.087,0.739
0.001250,9.634,-0.240,1.115,0.155,1.033,0.026,-66.8,22.3,-14.1,6.983,-0.335,3.827,7.317,-83.609,10.882,0.058,-0.665,0.087,0.739
0.001875,9.637,-0.262,1.123,0.138,1.067,-0.052,-66.8,22.3,-14.1,7.009,0.458,3.203,7.317,-83.608,10.882,0.058,-0.665,0.087,0.739
0.002500,9.638,-0.283,1.129,0.124,1.096,-0.117,-66.8,22.3,-14.2,7.176,-0.776,4.603,7.317,-83.608,10.882,0.058,-0.665,0.087,0.739
0.003125,9.630,-0.285,1.115,0.141,1.079,-0.074,-66.8,22.3,-14.2,6.645,-0.851,5.209,7.317,-83.608,10.883,0.058,-0.665,0.087,0.739
0.003750,9.622,-0.287,1.101,0.159,1.062,-0.030,-66.8,22.3,-14.2,6.461,0.000,3.815,7.317,-83.608,10.883,0.058,-0.665,0.087,0.739
0.004375,9.614,-0.289,1.088,0.176,1.044,0.013,-66.8,22.3,-14.2,6.916,-0.219,2.870,7.317,-83.608,10.883,0.058,-0.665,0.087,0.739
0.005000,9.605,-0.291,1.074,0.194,1.027,0.057,-66.7,22.3,-14.3,7.371,-0.478,3.848,7.317,-83.608,10.883,0.058,-0.665,0.087,0.739
0.005625,9.597,-0.293,1.060,0.211,1.009,0.100,-66.7,22.3,-14.3,7.309,-0.306,4.745,7.317,-83.608,10.883,0.058,-0.665,0.087,0.739
0.006250,9.589,-0.295,1.047,0.228,0.992,0.144,-66.7,22.3,-14.3,6.995,-0.149,2.635,7.317,-83.608,10.883,0.058,-0.665,0.087,0.739
0.006875,9.583,-0.294,1.033,0.242,0.977,0.178,-66.7,22.2,-14.4,7.402,-0.353,1.257,7.317,-83.608,10.883,0.058,-0.665,0.087,0.739
0.007500,9.598,-0.263,1.017,0.225,0.986,0.126,-66.7,22.2,-14.4,6.390,0.000,4.067,7.318,-83.609,10.883,0.058,-0.665,0.087,0.739
0.008125,9.613,-0.233,1.001,0.208,0.995,0.074,-66.7,22.2,-14.4,5.183,-0.079,1.831,7.319,-83.609,10.883,0.058,-0.665,0.087,0.739
0.008750,9.628,-0.202,0.986,0.190,1.003,0.022,-66.7,22.2,-14.4,5.119,-0.311,3.827,7.320,-83.609,10.883,0.058,-0.665,0.087,0.739
0.009375,9.643,-0.171,0.970,0.173,1.012,-0.031,-66.6,22.2,-14.5,7.654,0.859,3.697,7.321,-83.610,10.883,0.058,-0.665,0.087,0.739
0.010000,9.658,-0.140,0.954,0.155,1.021,-0.083,-66.6,22.2,-14.5,7.608,-0.478,1.960,7.322,-83.610,10.883,0.058,-0.665,0.087,0.739
0.010625,9.673,-0.110,0.939,0.138,1.029,-0.135,-66.6,22.2,-14.5,5.332,-0.478,4.235,7.323,-83.610,10.883,0.058,-0.665,0.087,0.739
0.011250,9.686,-0.084,0.926,0.122,1.037,-0.177,-66.6,22.2,-14.6,6.144,-0.037,4.305,7.324,-83.611,10.883,0.058,-0.665,0.087,0.739
0.011875,9.674,-0.119,0.951,0.122,1.037,-0.099,-66.6,22.2,-14.6,6.637,0.000,5.141,7.325,-83.610,10.884,0.058,-0.665,0.087,0.739
0.012500,9.663,-0.154,0.975,0.122,1.037,-0.020,-66.6,22.2,-14.6,6.697,0.789,2.501,7.325,-83.610,10.885,0.058,-0.665,0.087,0.739
0.013125,9.651,-0.189,1.000,0.122,1.037,0.058,-66.6,22.2,-14.6,7.068,0.214,2.285,7.325,-83.610,10.886,0.058,-0.665,0.087,0.739
0.013750,9.640,-0.223,1.024,0.122,1.037,0.136,-66.6,22.2,-14.6,9.263,0.000,1.348,7.326,-83.610,10.886,0.058,-0.665,0.087,0.739
0.014375,9.628,-0.258,1.049,0.122,1.037,0.215,-66.6,22.2,-14.6,8.423,1.298,2.255,7.326,-83.610,10.887,0.058,-0.665,0.087,0.739
0.015000,9.616,-0.293,1.074,0.122,1.037,0.293,-66.6,22.2,-14.6,7.955,0.708,2.268,7.327,-83.610,10.888,0.058,-0.665,0.087,0.739
0.015625,9.606,-0.326,1.096,0.121,1.038,0.367,-66.6,22.2,-14.6,7.576,-0.278,3.304,7.327,-83.609,10.888,0.058,-0.665,0.087,0.739
0.016250,9.606,-0.326,1.080,0.113,1.047,0.375,-66.6,22.2,-14.6,7.430,-0.224,3.286,7.328,-83.610,10.889,0.058,-0.665,0.087,0.739
0.016875,9.607,-0.327,1.064,0.104,1.055,0.384,-66.6,22.2,-14.6,6.728,-0.463,2.623,7.328,-83.610,10.890,0.058,-0.665,0.087,0.739
0.017500,9.608,-0.328,1.048,0.095,1.064,0.393,-66.6,22.2,-14.6,5.949,-0.540,2.038,7.328,-83.610,10.891,0.058,-0.665,0.087,0.739
0.018125,9.608,-0.328,1.033,0.087,1.073,0.401,-66.6,22.2,-14.6,6.219,-0.555,0.957,7.329,-83.610,10.891,0.058,-0.665,0.087,0.739
0.018750,9.609,-0.329,1.017,0.078,1.081,0.410,-66.6,22.2,-14.6,6.219,-1.112,2.411,7.329,-83.610,10.892,0.058,-0.665,0.087,0.739
0.019375,9.610,-0.330,1.001,0.069,1.090,0.419,-66.6,22.2,-14.6,6.495,-0.340,4.294,7.330,-83.610,10.893,0.058,-0.665,0.087,0.739
0.020000,9.611,-0.330,0.987,0.061,1.098,0.425,-66.6,22.2,-14.6,6.831,-0.115,2.373,7.330,-83.611,10.894,0.058,-0.665,0.087,0.739
0.020625,9.629,-0.316,0.991,0.052,1.098,0.372,-66.6,22.2,-14.6,5.465,-0.387,3.094,7.331,-83.611,10.894,0.058,-0.665,0.087,0.739
0.021250,9.647,-0.302,0.995,0.043,1.098,0.320,-66.6,22.2,-14.6,4.374,-0.205,0.410,7.331,-83.611,10.894,0.058,-0.665,0.087,0.739
0.021875,9.664,-0.289,0.999,0.034,1.098,0.268,-66.6,22.2,-14.6,5.009,-1.345,2.825,7.331,-83.611,10.894,0.058,-0.665,0.087,0.739
0.022500,9.682,-0.275,1.003,0.026,1.098,0.216,-66.6,22.2,-14.6,7.241,-0.500,2.327,7.331,-83.611,10.894,0.058,-0.665,0.087,0.739
0.023125,9.700,-0.261,1.007,0.017,1.098,0.164,-66.6,22.2,-14.6,8.606,-0.955,0.961,7.332,-83.611,10.894,0.058,-0.665,0.087,0.739
0.023750,9.718,-0.248,1.011,0.008,1.098,0.111,-66.6,22.2,-14.6,8.157,-1.410,0.050,7.332,-83.611,10.894,0.058,-0.665,0.087,0.739
0.024375,9.734,-0.235,1.015,0.002,1.097,0.062,-66.6,22.2,-14.6,5.120,-1.435,1.291,7.332,-83.611,10.894,0.058,-0.665,0.087,0.739
0.025000,9.724,-0.248,1.007,0.054,1.062,0.097,-66.6,22.2,-14.6,6.819,-0.214,2.249,7.332,-83.612,10.894,0.058,-0.665,0.087,0.739
0.025625,9.713,-0.261,0.998,0.106,1.028,0.132,-66.6,22.2,-14.6,7.559,-0.767,4.310,7.332,-83.612,10.894,0.058,-0.665,0.087,0.739
0.026250,9.702,-0.274,0.990,0.158,0.993,0.167,-66.6,22.3,-14.6,6.933,-0.236,6.225,7.332,-83.612,10.894,0.058,-0.665,0.087,0.739
0.026875,9.691,-0.287,0.982,0.211,0.958,0.201,-66.6,22.3,-14.6,5.686,-1.011,2.989,7.332,-83.613,10.894,0.058,-0.665,0.087,0.739
0.027500,9.680,-0.300,0.974,0.263,0.923,0.236,-66.6,22.3,-14.6,7.459,-0.807,2.063,7.332,-83.613,10.895,0.058,-0.665,0.087,0.739
0.028125,9.669,-0.313,0.966,0.315,0.888,0.271,-66.6,22.3,-14.6,8.611,-0.188,2.392,7.332,-83.613,10.895,0.058,-0.665,0.087,0.739
0.028750,9.658,-0.325,0.958,0.366,0.855,0.304,-66.5,22.4,-14.6,8.076,-0.267,2.125,7.332,-83.614,10.895,0.058,-0.665,0.087,0.739
0.029375,9.641,-0.317,0.961,0.384,0.872,0.252,-66.5,22.4,-14.6,7.166,-0.478,1.913,7.332,-83.614,10.895,0.058,-0.665,0.087,0.739
0.030000,9.624,-0.309,0.965,0.401,0.889,0.200,-66.5,22.4,-14.6,6.256,-0.478,2.355,7.332,-83.614,10.895,0.058,-0.665,0.087,0.739
0.030625,9.607,-0.301,0.968,0.419,0.907,0.147,-66.5,22.4,-14.6,6.530,-0.676,2.870,7.332,-83.614,10.895,0.058,-0.665,0.087,0.739
0.031250,9.590,-0.293,0.971,0.436,0.924,0.095,-66.5,22.4,-14.6,6.784,-0.609,3.044,7.333,-83.614,10.895,0.058,-0.665,0.087,0.739
0.031875,9.573,-0.284,0.975,0.453,0.942,0.043,-66.5,22.5,-14.6,6.619,0.000,2.595,7.333,-83.614,10.895,0.058,-0.665,0.087,0.739
0.032500,9.555,-0.276,0.978,0.471,0.959,-0.009,-66.5,22.5,-14.6,8.803,-0.127,1.084,7.333,-83.615,10.895,0.058,-0.665,0.087,0.739
0.033125,9.539,-0.268,0.982,0.488,0.976,-0.061,-66.5,22.5,-14.7,6.697,-0.478,1.123,7.333,-83.615,10.895,0.058,-0.665,0.087,0.739
0.033750,9.574,-0.270,0.988,0.453,0.950,-0.052,-66.5,22.5,-14.7,6.535,-0.478,0.647,7.333,-83.615,10.895,0.058,-0.665,0.087,0.739
0.034375,9.608,-0.272,0.994,0.418,0.924,-0.044,-66.5,22.5,-14.7,5.913,-0.421,3.539,7.333,-83.615,10.895,0.058,-0.665,0.087,0.739
0.035000,9.643,-0.274,1.000,0.384,0.898,-0.035,-66.5,22.6,-14.7,7.073,-0.069,1.435,7.333,-83.615,10.895,0.058,-0.665,0.087,0.739
0.035625,9.678,-0.276,1.006,0.349,0.872,-0.026,-66.5,22.6,-14.7,5.751,-0.946,1.435,7.333,-83.615,10.895,0.058,-0.665,0.087,0.739
0.036250,9.713,-0.278,1.012,0.314,0.846,-0.017,-66.5,22.6,-14.7,6.207,-0.491,1.435,7.333,-83.615,10.895,0.058,-0.665,0.087,0.739
