time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,3.634,8.284,3.802,0.305,0.366,-0.122,3.3,31.0,10.1,-15.609,-87.021,-130.210,-0.097,-0.542,-0.811,0.196
0.004444,3.568,8.322,3.859,0.487,0.064,-0.484,3.4,31.1,10.7,-15.608,-87.023,-130.212,-0.097,-0.542,-0.811,0.196
0.008889,3.620,8.323,3.827,0.367,0.417,0.006,3.5,31.2,11.3,-15.609,-87.025,-130.214,-0.097,-0.542,-0.811,0.196
0.013333,3.646,8.380,3.893,0.429,-0.172,0.349,3.5,31.3,11.8,-15.611,-87.026,-130.216,-0.097,-0.542,-0.811,0.196
0.017778,3.725,8.377,3.893,0.486,0.254,-0.282,3.6,31.4,12.4,-15.614,-87.027,-130.218,-0.097,-0.542,-0.811,0.196
0.022222,3.720,8.306,3.892,0.417,0.536,0.356,3.6,31.5,12.8,-15.619,-87.027,-130.220,-0.097,-0.542,-0.811,0.196
0.026667,3.603,8.261,3.876,0.177,0.266,0.134,3.3,31.6,12.3,-15.622,-87.028,-130.224,-0.097,-0.542,-0.811,0.196
0.031111,3.561,8.279,3.917,0.072,0.614,0.345,3.1,31.6,11.9,-15.624,-87.028,-130.230,-0.097,-0.542,-0.811,0.196
0.035556,3.685,8.268,3.846,0.265,-0.276,-0.016,3.1,31.5,11.3,-15.626,-87.028,-130.230,-0.097,-0.542,-0.811,0.196
0.040000,3.594,8.249,3.851,0.498,0.108,-0.221,3.4,31.0,10.8,-15.626,-87.029,-130.231,-0.097,-0.542,-0.811,0.196
0.044444,3.683,8.234,3.807,-0.050,-0.076,0.061,3.8,30.5,10.2,-15.629,-87.030,-130.231,-0.097,-0.542,-0.811,0.196
0.048889,3.678,8.317,3.812,0.676,-0.159,0.033,3.6,30.6,10.0,-15.633,-87.032,-130.232,-0.097,-0.542,-0.811,0.196
