time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.735,-0.779,-0.228,2.052,0.381,-1.278,-98.6,-8.8,-8.6,-101.666,-38.672,-95.893,-0.669,-0.254,-0.631,0.301
0.004444,9.753,-0.743,-0.178,2.146,-0.090,-1.531,-98.3,-9.0,-9.4,-101.666,-38.667,-95.902,-0.669,-0.254,-0.631,0.301
0.008889,9.676,-0.734,-0.144,1.840,-0.228,-1.378,-98.0,-9.2,-10.2,-101.672,-38.657,-95.913,-0.669,-0.254,-0.631,0.301
0.013333,9.675,-0.763,-0.164,1.588,0.031,-1.251,-97.9,-9.4,-10.4,-101.679,-38.646,-95.923,-0.669,-0.254,-0.631,0.300
0.017778,9.738,-0.792,-0.256,1.805,-0.155,-1.345,-98.3,-9.8,-9.8,-101.684,-38.642,-95.927,-0.669,-0.254,-0.631,0.300
0.022222,9.740,-0.749,-0.221,1.593,-0.209,-1.208,-98.6,-10.1,-9.3,-101.682,-38.645,-95.926,-0.669,-0.254,-0.631,0.300
0.026667,9.635,-0.776,-0.198,1.226,-0.553,-1.175,-98.7,-10.1,-8.8,-101.678,-38.649,-95.923,-0.669,-0.254,-0.631,0.300
0.031111,9.604,-0.798,-0.246,1.487,-0.881,-1.240,-98.6,-10.0,-8.5,-101.677,-38.651,-95.920,-0.669,-0.254,-0.631,0.300
0.035556,9.666,-0.779,-0.317,1.506,-0.607,-1.053,-98.6,-9.8,-8.2,-101.678,-38.653,-95.919,-0.669,-0.254,-0.631,0.300
0.040000,9.680,-0.797,-0.218,1.622,-0.427,-0.794,-98.8,-9.8,-8.5,-101.678,-38.653,-95.918,-0.669,-0.254,-0.631,0.300
0.044444,9.720,-0.808,-0.112,1.807,-0.390,-0.971,-99.3,-9.9,-9.1,-101.677,-38.648,-95.922,-0.669,-0.254,-0.631,0.300
0.048889,9.671,-0.789,-0.152,1.484,-0.520,-1.121,-99.7,-10.0,-9.7,-101.680,-38.642,-95.928,-0.669,-0.254,-0.631,0.300
0.053333,9.746,-0.712,-0.138,1.242,-0.214,-1.138,-99.7,-9.9,-9.9,-101.683,-38.637,-95.936,-0.669,-0.254,-0.631,0.300
0.057778,9.808,-0.650,-0.198,0.732,-0.691,-0.671,-99.4,-9.6,-9.8,-101.683,-38.639,-95.940,-0.669,-0.254,-0.631,0.300
0.062222,9.830,-0.663,-0.233,0.405,-0.870,-0.719,-99.1,-9.2,-9.8,-101.681,-38.644,-95.940,-0.669,-0.254,-0.631,0.300
0.066667,9.800,-0.642,-0.240,0.238,-0.622,-0.897,-99.1,-9.5,-9.6,-101.678,-38.651,-95.940,-0.669,-0.254,-0.631,0.300
0.071111,9.766,-0.459,-0.265,-0.168,-0.330,-0.521,-99.2,-10.1,-9.4,-101.680,-38.654,-95.946,-0.669,-0.254,-0.631,0.300
0.075556,9.826,-0.583,-0.245,-0.260,-0.199,-0.546,-99.3,-10.7,-9.2,-101.681,-38.655,-95.950,-0.669,-0.254,-0.631,0.300
0.080000,9.619,-0.713,-0.224,-0.244,-0.367,-0.978,-99.1,-10.6,-9.2,-101.682,-38.655,-95.953,-0.669,-0.254,-0.631,0.300
0.084444,9.702,-0.696,-0.165,-0.385,-0.380,-1.287,-98.8,-10.4,-9.2,-101.682,-38.655,-95.956,-0.669,-0.254,-0.631,0.300
0.088889,9.806,-0.790,-0.164,-1.052,-0.078,-1.054,-98.5,-10.2,-9.3,-101.682,-38.650,-95.962,-0.669,-0.254,-0.631,0.300
0.093333,9.701,-0.776,-0.225,-0.925,-0.049,-0.780,-98.7,-10.6,-9.0,-101.682,-38.646,-95.965,-0.669,-0.254,-0.631,0.300
0.097778,9.744,-0.806,-0.247,-1.156,-0.362,-0.732,-99.1,-11.0,-8.6,-101.684,-38.641,-95.967,-0.669,-0.254,-0.631,0.300
0.102222,9.763,-0.750,-0.342,-1.426,-0.325,-0.989,-99.5,-11.5,-8.2,-101.690,-38.637,-95.971,-0.669,-0.254,-0.631,0.300
0.106667,9.640,-0.881,-0.384,-1.046,0.061,-0.985,-99.0,-11.0,-8.4,-101.695,-38.631,-95.973,-0.669,-0.254,-0.631,0.300
0.111111,9.746,-1.052,-0.409,-0.442,-0.252,-0.976,-98.3,-10.4,-8.8,-101.698,-38.628,-95.966,-0.669,-0.254,-0.631,0.300
0.115556,9.661,-0.940,-0.275,-0.312,-0.142,-1.194,-97.6,-9.8,-9.1,-101.697,-38.627,-95.960,-0.669,-0.254,-0.631,0.300
0.120000,9.762,-1.020,-0.385,0.139,-0.178,-1.054,-97.8,-10.1,-9.2,-101.699,-38.625,-95.953,-0.669,-0.254,-0.631,0.300
0.124444,9.684,-0.870,-0.300,0.126,0.043,-1.207,-98.2,-10.4,-9.2,-101.699,-38.627,-95.948,-0.669,-0.254,-0.631,0.300
0.128889,9.673,-1.006,-0.328,0.180,0.407,-1.220,-98.5,-10.8,-9.2,-101.701,-38.623,-95.943,-0.669,-0.254,-0.631,0.300
0.133333,9.677,-0.941,-0.243,0.888,-0.101,-1.162,-98.6,-10.8,-9.2,-101.702,-38.619,-95.941,-0.669,-0.254,-0.631,0.300
0.137778,9.766,-0.878,-0.178,0.676,-0.361,-1.159,-98.6,-10.8,-9.2,-101.701,-38.616,-95.941,-0.669,-0.254,-0.631,0.300
0.142222,9.725,-0.867,-0.163,1.219,-0.853,-1.038,-98.6,-10.8,-9.2,-101.698,-38.617,-95.938,-0.669,-0.254,-0.631,0.300
0.146667,9.787,-0.864,-0.144,1.227,-0.244,-1.278,-98.3,-10.5,-9.0,-101.693,-38.619,-95.935,-0.669,-0.254,-0.631,0.300
0.151111,9.773,-0.677,-0.199,1.630,-0.258,-1.049,-98.1,-10.2,-8.8,-101.689,-38.625,-95.934,-0.669,-0.254,-0.631,0.300
0.155556,9.761,-0.590,-0.133,1.077,-0.659,-1.379,-98.0,-9.9,-8.7,-101.683,-38.633,-95.936,-0.669,-0.254,-0.631,0.300
0.160000,9.796,-0.702,-0.122,0.647,-0.447,-0.919,-98.6,-9.8,-8.8,-101.681,-38.633,-95.940,-0.669,-0.254,-0.631,0.300
0.164444,9.782,-0.606,-0.218,0.310,-0.732,-0.997,-99.3,-9.8,-8.8,-101.683,-38.635,-95.945,-0.669,-0.254,-0.631,0.300
0.168889,9.798,-0.550,-0.150,0.298,-0.745,-1.202,-99.8,-9.8,-8.9,-101.682,-38.638,-95.952,-0.669,-0.254,-0.631,0.300
0.173333,9.582,-0.753,-0.213,-0.240,-0.825,-1.008,-99.2,-10.2,-9.2,-101.684,-38.635,-95.955,-0.669,-0.254,-0.631,0.300
0.177778,9.818,-0.768,-0.252,0.186,-0.702,-0.760,-98.5,-10.6,-9.5,-101.687,-38.633,-95.958,-0.669,-0.254,-0.631,0.300
0.182222,9.743,-0.781,-0.159,-0.202,-1.235,-0.624,-98.0,-10.9,-9.7,-101.687,-38.630,-95.960,-0.669,-0.254,-0.631,0.300
0.186667,9.794,-0.796,-0.192,-0.274,-0.862,-1.090,-98.2,-10.2,-9.3,-101.682,-38.636,-95.956,-0.669,-0.254,-0.631,0.300
0.191111,9.897,-0.856,-0.199,-0.214,-0.328,-1.296,-98.5,-9.6,-9.0,-101.675,-38.642,-95.950,-0.669,-0.254,-0.631,0.300
