time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.694,2.142,0.620,0.758,0.419,0.802,-57.2,48.4,4.2,57.424,-68.906,43.547,0.440,-0.528,0.334,0.645
0.004444,9.669,2.088,0.555,0.690,0.836,1.098,-57.7,47.8,4.0,57.431,-68.901,43.558,0.440,-0.528,0.334,0.645
0.008889,9.647,2.134,0.540,0.484,0.717,0.767,-58.3,47.2,3.9,57.440,-68.895,43.569,0.440,-0.528,0.334,0.645
0.013333,9.619,2.206,0.498,-0.061,0.669,0.916,-58.5,46.9,3.6,57.448,-68.891,43.574,0.440,-0.528,0.334,0.645
0.017778,9.605,2.116,0.485,-0.040,0.853,0.731,-58.0,47.2,3.1,57.447,-68.893,43.572,0.440,-0.528,0.334,0.645
0.022222,9.686,2.061,0.496,-0.130,0.602,0.783,-57.6,47.5,2.7,57.443,-68.896,43.569,0.440,-0.528,0.334,0.645
0.026667,9.666,2.103,0.511,-0.231,0.433,0.964,-57.4,47.5,2.4,57.440,-68.899,43.566,0.440,-0.528,0.334,0.645
0.031111,9.620,2.178,0.528,-0.023,0.503,0.756,-57.5,47.0,2.4,57.438,-68.900,43.562,0.440,-0.528,0.334,0.645
0.035556,9.629,2.195,0.534,-0.230,0.500,0.576,-57.7,46.5,2.4,57.439,-68.899,43.560,0.440,-0.528,0.334,0.645
0.040000,9.645,2.202,0.598,-0.139,0.660,0.394,-57.8,46.5,2.4,57.439,-68.897,43.559,0.440,-0.528,0.334,0.645
0.044444,9.683,2.209,0.555,0.005,0.913,0.610,-57.8,47.3,2.3,57.437,-68.898,43.555,0.440,-0.528,0.334,0.645
0.048889,9.675,2.166,0.484,-0.249,0.973,0.770,-57.8,48.1,2.2,57.430,-68.903,43.545,0.440,-0.528,0.334,0.645
0.053333,9.692,2.064,0.540,0.061,0.815,1.004,-57.7,48.2,2.2,57.421,-68.909,43.537,0.440,-0.528,0.334,0.645
0.057778,9.689,2.031,0.584,-0.080,0.972,0.896,-57.6,47.4,2.4,57.415,-68.912,43.534,0.440,-0.528,0.334,0.645
0.062222,9.696,2.063,0.579,0.251,0.805,0.994,-57.5,46.5,2.6,57.416,-68.911,43.538,0.440,-0.528,0.334,0.645
0.066667,9.659,2.109,0.480,0.464,0.609,1.102,-57.4,46.1,3.0,57.420,-68.910,43.542,0.440,-0.528,0.334,0.645
0.071111,9.675,2.179,0.549,0.061,0.917,0.792,-57.3,46.3,3.8,57.419,-68.910,43.540,0.440,-0.528,0.334,0.645
0.075556,9.690,2.215,0.645,0.189,0.686,0.955,-57.2,46.4,4.5,57.411,-68.911,43.532,0.440,-0.528,0.334,0.645
0.080000,9.682,2.136,0.597,0.301,0.633,1.123,-57.3,46.8,4.5,57.403,-68.915,43.523,0.440,-0.528,0.334,0.645
0.084444,9.687,2.077,0.577,0.410,0.943,1.071,-57.7,47.3,4.0,57.397,-68.918,43.519,0.440,-0.528,0.334,0.645
0.088889,9.764,2.082,0.588,0.822,1.017,0.792,-58.0,47.8,3.5,57.394,-68.919,43.518,0.440,-0.528,0.334,0.645
0.093333,9.769,2.056,0.547,1.177,1.133,1.177,-58.0,47.7,3.4,57.393,-68.920,43.523,0.440,-0.528,0.334,0.645
0.097778,9.688,2.071,0.491,1.424,1.088,1.076,-57.7,47.3,3.6,57.396,-68.921,43.529,0.440,-0.528,0.334,0.645
0.102222,9.674,2.141,0.542,1.672,1.001,0.671,-57.4,46.8,3.8,57.403,-68.918,43.534,0.440,-0.528,0.334,0.645
0.106667,9.657,2.192,0.572,1.695,0.827,0.933,-57.4,46.8,3.9,57.411,-68.914,43.541,0.440,-0.528,0.334,0.645
0.111111,9.626,2.122,0.511,1.495,0.923,1.366,-57.6,47.1,4.0,57.418,-68.913,43.550,0.440,-0.528,0.334,0.645
0.115556,9.707,2.144,0.540,0.936,1.388,1.253,-57.8,47.4,4.0,57.419,-68.913,43.553,0.440,-0.528,0.334,0.645
0.120000,9.706,2.084,0.553,0.472,0.989,0.899,-58.0,47.5,3.8,57.416,-68.914,43.552,0.440,-0.528,0.334,0.645
0.124444,9.716,2.110,0.423,0.610,0.752,0.712,-58.1,47.4,3.5,57.416,-68.918,43.550,0.440,-0.528,0.334,0.645
0.128889,9.653,2.163,0.383,0.566,1.084,0.713,-58.2,47.3,3.1,57.419,-68.920,43.549,0.440,-0.528,0.334,0.645
0.133333,9.672,2.149,0.499,0.150,1.094,0.648,-58.1,47.1,3.1,57.422,-68.919,43.550,0.440,-0.528,0.334,0.645
0.137778,9.683,2.188,0.492,0.302,0.908,0.826,-58.0,47.0,3.2,57.425,-68.917,43.552,0.440,-0.528,0.334,0.645
0.142222,9.753,2.114,0.400,0.471,0.722,0.871,-57.9,46.8,3.3,57.427,-68.920,43.552,0.440,-0.528,0.334,0.645
0.146667,9.709,2.033,0.500,-0.094,0.850,0.675,-57.9,46.8,3.3,57.424,-68.923,43.551,0.440,-0.528,0.334,0.645
0.151111,9.725,2.102,0.603,-0.442,0.779,0.884,-57.9,46.8,3.3,57.421,-68.924,43.550,0.440,-0.528,0.334,0.645
