time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,3.710,8.210,3.976,0.029,0.058,-0.097,9.8,35.3,11.5,-37.294,-89.719,-148.013,-0.211,-0.507,-0.836,0.026
0.004444,3.668,8.184,4.006,-0.360,0.033,-0.118,10.0,35.4,11.3,-37.293,-89.716,-148.016,-0.211,-0.507,-0.836,0.026
0.008889,3.696,8.201,3.937,-0.339,0.426,-0.161,10.0,35.2,11.3,-37.293,-89.716,-148.017,-0.211,-0.507,-0.836,0.026
0.013333,3.739,8.189,3.847,0.040,0.193,0.026,9.8,34.9,11.4,-37.297,-89.717,-148.017,-0.211,-0.507,-0.836,0.026
0.017778,3.721,8.120,3.896,-0.083,-0.039,-0.030,9.7,34.5,11.5,-37.301,-89.716,-148.020,-0.211,-0.507,-0.836,0.026
0.022222,3.723,8.118,3.915,-0.348,-0.017,-0.070,9.7,34.7,11.5,-37.306,-89.714,-148.023,-0.211,-0.507,-0.836,0.026
0.026667,3.690,8.209,3.896,-0.110,0.019,-0.045,9.9,35.5,11.5,-37.307,-89.715,-148.024,-0.211,-0.507,-0.836,0.026
0.031111,3.732,8.274,3.919,0.122,-0.128,-0.265,10.1,36.2,11.4,-37.306,-89.716,-148.024,-0.211,-0.507,-0.836,0.026
0.035556,3.724,8.305,3.880,-0.277,-0.015,-0.112,9.9,36.2,11.3,-37.306,-89.718,-148.022,-0.211,-0.507,-0.836,0.026
0.040000,3.693,8.278,3.894,0.040,0.367,0.135,9.4,35.8,11.2,-37.304,-89.720,-148.021,-0.211,-0.507,-0.836,0.026
0.044444,3.662,8.229,3.953,0.203,0.675,-0.227,8.9,35.4,11.1,-37.306,-89.720,-148.025,-0.211,-0.507,-0.836,0.026
0.048889,3.639,8.248,3.967,0.288,0.226,-0.299,8.9,35.3,11.0,-37.310,-89.720,-148.032,-0.211,-0.507,-0.836,0.026
0.053333,3.621,8.194,3.929,-0.110,-0.199,-0.221,9.3,35.3,10.9,-37.315,-89.721,-148.039,-0.211,-0.507,-0.836,0.025
0.057778,3.696,8.150,3.883,-0.505,0.261,-0.438,9.6,35.3,10.7,-37.315,-89.721,-148.039,-0.211,-0.507,-0.836,0.025
0.062222,3.714,8.230,3.928,-0.155,0.667,0.002,9.9,35.4,10.7,-37.310,-89.720,-148.034,-0.211,-0.507,-0.836,0.026
0.066667,3.659,8.271,3.922,-0.138,0.453,-0.094,10.2,35.7,10.9,-37.301,-89.721,-148.030,-0.211,-0.507,-0.836,0.026
0.071111,3.646,8.241,3.896,-0.123,0.143,-0.346,10.4,35.9,11.0,-37.296,-89.722,-148.028,-0.211,-0.507,-0.836,0.026
0.075556,3.674,8.259,3.877,-0.061,0.266,-0.243,10.6,35.7,11.2,-37.294,-89.724,-148.027,-0.211,-0.507,-0.836,0.026
0.080000,3.759,8.268,3.931,0.353,-0.172,-0.390,10.8,35.2,11.4,-37.294,-89.724,-148.026,-0.211,-0.507,-0.836,0.026
