time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.594,2.354,0.678,0.246,1.432,0.977,-59.0,47.3,4.2,55.530,-68.793,40.184,0.429,-0.531,0.310,0.662
0.004444,9.547,2.288,0.659,0.000,0.995,0.948,-58.9,46.9,4.1,55.531,-68.793,40.187,0.429,-0.531,0.310,0.662
0.008889,9.606,2.265,0.672,0.032,0.877,1.005,-58.7,46.6,4.1,55.532,-68.793,40.191,0.429,-0.531,0.310,0.662
0.013333,9.633,2.265,0.659,-0.004,0.720,0.813,-58.4,46.1,4.0,55.531,-68.795,40.193,0.429,-0.531,0.310,0.662
0.017778,9.585,2.276,0.685,-0.397,0.720,0.638,-57.8,45.4,3.8,55.529,-68.796,40.192,0.429,-0.531,0.310,0.662
0.022222,9.586,2.246,0.739,-0.809,0.918,0.473,-57.2,44.7,3.7,55.524,-68.798,40.192,0.429,-0.531,0.310,0.662
0.026667,9.566,2.248,0.730,-0.915,0.239,0.507,-57.2,44.8,3.8,55.516,-68.805,40.183,0.429,-0.531,0.310,0.662
0.031111,9.531,2.334,0.687,-0.915,0.311,0.394,-57.6,45.6,4.2,55.505,-68.813,40.168,0.428,-0.531,0.310,0.662
0.035556,9.599,2.288,0.733,-0.841,0.721,0.429,-57.9,46.4,4.5,55.492,-68.820,40.156,0.428,-0.531,0.310,0.662
0.040000,9.633,2.234,0.756,-0.718,0.907,0.209,-58.1,47.0,4.6,55.484,-68.823,40.153,0.428,-0.531,0.310,0.662
0.044444,9.660,2.269,0.726,-0.363,0.938,0.193,-58.3,47.5,4.4,55.482,-68.824,40.155,0.428,-0.531,0.310,0.662
0.048889,9.634,2.273,0.757,-0.301,1.112,0.542,-58.4,48.0,4.3,55.481,-68.823,40.158,0.428,-0.531,0.310,0.662
0.053333,9.601,2.312,0.784,0.197,0.979,0.349,-58.1,47.8,4.3,55.483,-68.819,40.164,0.428,-0.531,0.310,0.662
0.057778,9.561,2.301,0.743,0.447,1.060,0.840,-57.6,47.2,4.4,55.488,-68.814,40.173,0.428,-0.531,0.310,0.662
0.062222,9.560,2.379,0.670,0.637,0.782,0.908,-57.0,46.7,4.5,55.495,-68.809,40.181,0.428,-0.531,0.310,0.662
0.066667,9.574,2.285,0.670,0.348,0.610,0.323,-56.7,46.2,4.4,55.502,-68.806,40.190,0.428,-0.531,0.310,0.662
0.071111,9.621,2.288,0.704,0.009,0.784,0.514,-56.5,45.7,4.3,55.504,-68.804,40.196,0.428,-0.531,0.310,0.662
0.075556,9.541,2.320,0.689,0.117,0.632,1.026,-56.3,45.3,4.2,55.506,-68.803,40.199,0.428,-0.531,0.310,0.662
0.080000,9.540,2.365,0.641,-0.179,0.594,0.526,-56.7,45.6,4.3,55.509,-68.802,40.201,0.428,-0.531,0.310,0.662
0.084444,9.654,2.351,0.728,-0.443,0.794,0.674,-57.3,46.2,4.5,55.506,-68.802,40.199,0.428,-0.531,0.310,0.662
0.088889,9.628,2.386,0.688,0.168,0.807,0.887,-57.9,46.8,4.6,55.501,-68.805,40.193,0.428,-0.531,0.310,0.662
0.093333,9.674,2.362,0.669,0.175,1.080,0.581,-57.9,46.9,4.4,55.496,-68.808,40.187,0.428,-0.531,0.310,0.662
0.097778,9.547,2.317,0.632,-0.412,0.917,0.148,-57.6,46.8,4.0,55.497,-68.809,40.187,0.428,-0.531,0.310,0.662
0.102222,9.607,2.254,0.681,-0.401,1.151,0.012,-57.3,46.7,3.7,55.497,-68.809,40.192,0.428,-0.531,0.310,0.662
0.106667,9.574,2.367,0.718,-0.266,1.371,0.251,-57.3,46.6,3.8,55.500,-68.807,40.195,0.428,-0.531,0.310,0.662
0.111111,9.522,2.286,0.819,-0.040,0.995,0.611,-57.2,46.6,4.2,55.498,-68.804,40.197,0.428,-0.531,0.310,0.662
0.115556,9.677,2.330,0.683,-0.104,1.278,0.308,-57.2,46.5,4.5,55.497,-68.805,40.197,0.428,-0.531,0.310,0.662
0.120000,9.718,2.259,0.681,0.405,1.079,0.033,-57.5,46.6,4.5,55.495,-68.807,40.199,0.428,-0.531,0.310,0.662
0.124444,9.725,2.288,0.681,0.060,1.251,0.803,-58.0,46.8,4.6,55.494,-68.808,40.201,0.428,-0.531,0.310,0.662
0.128889,9.738,2.294,0.680,0.272,1.227,0.372,-58.5,46.9,4.6,55.495,-68.808,40.204,0.428,-0.531,0.310,0.662
0.133333,9.493,2.315,0.654,0.029,1.055,0.746,-58.3,46.6,4.9,55.496,-68.808,40.206,0.428,-0.531,0.310,0.662
0.137778,9.537,2.322,0.739,0.448,1.037,0.401,-58.0,46.3,5.1,55.496,-68.806,40.208,0.428,-0.531,0.310,0.662
0.142222,9.668,2.456,0.778,0.204,1.321,0.309,-57.8,45.9,5.4,55.498,-68.802,40.210,0.428,-0.531,0.310,0.662
0.146667,9.610,2.475,0.704,0.068,0.651,0.247,-57.1,46.2,5.3,55.501,-68.799,40.210,0.428,-0.531,0.310,0.662
0.151111,9.624,2.370,0.658,0.353,0.727,0.186,-56.5,46.6,5.1,55.504,-68.798,40.212,0.428,-0.531,0.310,0.662
0.155556,9.569,2.412,0.623,0.485,1.266,0.183,-55.8,46.9,5.0,55.506,-68.798,40.211,0.428,-0.531,0.310,0.662
0.160000,9.690,2.409,0.740,0.188,0.861,0.484,-56.7,46.4,4.7,55.505,-68.796,40.211,0.428,-0.531,0.310,0.662
0.164444,9.491,2.327,0.699,0.244,1.098,0.183,-57.7,45.9,4.4,55.504,-68.796,40.211,0.428,-0.531,0.310,0.662
0.168889,9.672,2.391,0.710,0.552,0.851,0.301,-58.7,45.3,4.1,55.509,-68.792,40.217,0.428,-0.531,0.310,0.662
0.173333,9.645,2.524,0.787,0.776,0.559,-0.042,-58.7,46.0,4.2,55.516,-68.784,40.222,0.429,-0.531,0.310,0.662
0.177778,9.526,2.379,0.657,0.127,0.946,0.662,-58.7,46.6,4.4,55.523,-68.780,40.229,0.429,-0.531,0.311,0.662
0.182222,9.564,2.475,0.680,0.228,1.660,0.450,-58.7,47.3,4.5,55.519,-68.782,40.220,0.429,-0.531,0.310,0.662
0.186667,9.606,2.293,0.676,-0.069,0.834,0.834,-58.7,47.3,4.5,55.511,-68.788,40.212,0.428,-0.531,0.310,0.662
