time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.380,2.390,-0.714,0.501,1.211,-0.571,-50.0,19.3,63.5,94.917,-43.887,74.172,0.666,-0.308,0.520,0.437
0.004444,9.502,2.420,-0.770,0.264,1.568,-0.845,-50.7,19.3,63.7,94.920,-43.886,74.178,0.666,-0.308,0.520,0.437
0.008889,9.420,2.457,-0.752,0.553,1.596,-0.555,-51.0,19.1,63.8,94.923,-43.883,74.184,0.666,-0.308,0.521,0.437
0.013333,9.477,2.445,-0.719,0.973,1.224,-0.177,-51.1,18.8,63.8,94.925,-43.881,74.190,0.666,-0.308,0.521,0.437
0.017778,9.515,2.450,-0.701,0.515,1.473,-0.435,-51.3,18.5,63.9,94.925,-43.882,74.194,0.666,-0.308,0.521,0.437
0.022222,9.466,2.373,-0.811,1.480,1.526,-0.120,-51.0,18.7,64.1,94.925,-43.886,74.197,0.666,-0.308,0.521,0.437
0.026667,9.490,2.406,-0.720,1.276,2.215,-0.485,-50.6,18.9,64.4,94.924,-43.889,74.200,0.666,-0.308,0.521,0.437
0.031111,9.403,2.493,-0.792,1.541,1.998,-0.122,-50.3,19.2,64.6,94.921,-43.895,74.196,0.666,-0.308,0.521,0.437
0.035556,9.369,2.458,-0.750,1.263,2.168,-0.276,-50.7,19.2,64.0,94.916,-43.903,74.191,0.666,-0.308,0.521,0.437
0.040000,9.451,2.422,-0.725,1.329,1.817,-0.359,-51.2,19.2,63.2,94.910,-43.911,74.188,0.666,-0.308,0.521,0.437
0.044444,9.410,2.457,-0.732,1.397,2.043,0.017,-51.7,19.2,62.5,94.907,-43.917,74.186,0.666,-0.308,0.521,0.437
0.048889,9.292,2.414,-0.676,1.073,1.469,-0.324,-51.5,19.3,62.9,94.903,-43.921,74.186,0.666,-0.308,0.521,0.437
0.053333,9.432,2.517,-0.666,0.982,1.570,-0.366,-51.3,19.4,63.4,94.899,-43.923,74.185,0.666,-0.308,0.521,0.437
0.057778,9.426,2.524,-0.626,1.032,1.195,-0.254,-51.0,19.5,63.9,94.896,-43.922,74.188,0.666,-0.308,0.521,0.437
0.062222,9.313,2.479,-0.684,0.418,1.272,-0.357,-51.0,19.5,63.9,94.896,-43.921,74.190,0.666,-0.308,0.521,0.437
0.066667,9.406,2.485,-0.734,1.046,1.451,-0.083,-51.0,19.5,63.9,94.896,-43.921,74.192,0.666,-0.308,0.521,0.437
0.071111,9.436,2.557,-0.630,1.384,1.636,-0.175,-51.0,19.5,63.9,94.894,-43.920,74.194,0.666,-0.308,0.521,0.437
0.075556,9.397,2.593,-0.803,1.403,1.475,-0.528,-51.0,19.1,63.6,94.895,-43.919,74.193,0.666,-0.308,0.521,0.437
0.080000,9.372,2.586,-0.691,1.230,1.291,-0.491,-50.9,18.6,63.3,94.894,-43.918,74.193,0.666,-0.308,0.521,0.437
0.084444,9.334,2.517,-0.612,1.512,1.515,-0.838,-50.9,18.2,63.0,94.892,-43.917,74.194,0.666,-0.308,0.521,0.437
0.088889,9.388,2.583,-0.700,1.115,1.467,-0.972,-51.2,18.1,62.5,94.888,-43.919,74.191,0.666,-0.308,0.521,0.437
0.093333,9.404,2.488,-0.732,0.685,1.878,-0.917,-51.5,18.0,62.0,94.884,-43.925,74.188,0.666,-0.308,0.521,0.437
0.097778,9.451,2.499,-0.677,0.433,1.713,-0.677,-51.9,17.9,61.5,94.878,-43.930,74.185,0.666,-0.308,0.521,0.437
0.102222,9.349,2.584,-0.600,0.667,1.289,-0.791,-51.6,17.9,61.9,94.872,-43.932,74.182,0.666,-0.308,0.521,0.437
0.106667,9.356,2.600,-0.693,0.189,1.764,-0.733,-51.2,18.0,62.3,94.868,-43.934,74.178,0.666,-0.308,0.521,0.437
0.111111,9.361,2.572,-0.761,-0.181,1.223,-1.400,-50.9,18.1,62.7,94.865,-43.938,74.173,0.666,-0.308,0.520,0.437
0.115556,9.371,2.595,-0.814,0.548,1.709,-1.037,-51.4,18.4,63.0,94.864,-43.942,74.167,0.666,-0.308,0.520,0.437
0.120000,9.348,2.514,-0.771,0.005,1.950,-0.791,-52.0,18.6,63.3,94.861,-43.946,74.164,0.666,-0.308,0.520,0.437
0.124444,9.491,2.560,-0.832,0.555,1.647,-0.560,-52.5,18.8,63.6,94.860,-43.951,74.159,0.666,-0.308,0.520,0.437
0.128889,9.513,2.469,-0.747,0.930,1.593,-1.273,-52.5,18.8,63.1,94.855,-43.958,74.156,0.666,-0.308,0.520,0.437
0.133333,9.431,2.609,-0.744,1.566,1.883,-0.908,-52.5,18.8,62.6,94.850,-43.963,74.150,0.666,-0.309,0.520,0.437
0.137778,9.371,2.428,-0.662,0.882,1.599,-0.678,-52.5,18.7,62.1,94.844,-43.970,74.147,0.666,-0.309,0.520,0.437
0.142222,9.373,2.554,-0.819,1.658,1.942,-0.844,-52.2,18.6,62.4,94.844,-43.973,74.144,0.666,-0.309,0.520,0.437
0.146667,9.412,2.490,-0.715,1.871,1.723,-0.587,-52.0,18.5,62.6,94.841,-43.976,74.143,0.666,-0.309,0.520,0.437
0.151111,9.382,2.403,-0.842,1.481,1.990,-0.129,-51.8,18.5,62.8,94.842,-43.981,74.143,0.666,-0.309,0.520,0.437
0.155556,9.399,2.477,-0.749,1.777,1.609,-0.270,-51.8,18.5,62.4,94.840,-43.984,74.142,0.666,-0.309,0.520,0.437
0.160000,9.319,2.506,-0.769,1.900,1.961,-0.659,-51.8,18.5,62.0,94.838,-43.988,74.139,0.666,-0.309,0.520,0.437
0.164444,9.386,2.519,-0.680,2.023,2.043,-0.488,-51.8,18.5,61.7,94.835,-43.988,74.142,0.666,-0.309,0.520,0.437
0.168889,9.283,2.420,-0.795,2.131,1.628,-0.533,-52.0,19.0,62.4,94.833,-43.994,74.139,0.666,-0.309,0.520,0.437
0.173333,9.363,2.534,-0.741,2.069,1.425,-1.011,-52.3,19.5,63.0,94.832,-43.996,74.138,0.666,-0.309,0.520,0.437
