time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.322,2.486,-0.878,0.098,1.467,-0.757,-50.5,20.6,61.9,98.192,-41.318,76.133,0.682,-0.287,0.529,0.415
0.004444,9.369,2.509,-0.830,0.305,1.083,-0.641,-50.6,20.7,61.9,98.193,-41.314,76.139,0.682,-0.287,0.529,0.415
0.008889,9.326,2.561,-0.848,0.195,0.837,-0.642,-50.8,20.8,61.8,98.192,-41.312,76.141,0.682,-0.287,0.529,0.415
0.013333,9.359,2.546,-1.056,0.545,0.934,-0.342,-51.0,21.0,61.7,98.195,-41.313,76.140,0.682,-0.287,0.529,0.415
0.017778,9.454,2.579,-1.097,0.100,1.167,-0.197,-51.1,20.9,61.0,98.198,-41.315,76.138,0.682,-0.287,0.529,0.415
0.022222,9.299,2.640,-1.043,0.035,1.461,-0.569,-51.2,20.8,60.1,98.202,-41.313,76.136,0.682,-0.287,0.529,0.415
0.026667,9.423,2.614,-0.980,0.305,1.477,-0.379,-51.3,20.7,59.3,98.204,-41.310,76.137,0.682,-0.287,0.529,0.415
0.031111,9.366,2.651,-0.866,0.366,1.415,-0.503,-51.2,20.5,59.5,98.204,-41.306,76.138,0.682,-0.287,0.529,0.415
0.035556,9.319,2.596,-0.933,0.066,1.403,-0.499,-51.1,20.2,60.0,98.209,-41.299,76.143,0.682,-0.287,0.529,0.415
0.040000,9.389,2.565,-0.885,-0.051,1.100,-0.336,-51.0,20.0,60.5,98.214,-41.291,76.151,0.682,-0.287,0.529,0.415
0.044444,9.465,2.658,-0.859,0.297,0.423,-0.612,-50.7,20.6,61.0,98.218,-41.281,76.158,0.682,-0.287,0.529,0.415
0.048889,9.371,2.575,-0.898,0.729,0.409,-1.034,-50.4,21.4,61.4,98.224,-41.272,76.166,0.682,-0.287,0.529,0.415
0.053333,9.368,2.573,-0.987,1.055,0.794,-0.312,-50.1,22.2,61.9,98.226,-41.270,76.167,0.682,-0.287,0.529,0.415
0.057778,9.246,2.630,-0.897,0.780,1.066,-0.607,-50.6,21.9,62.0,98.226,-41.268,76.166,0.682,-0.287,0.529,0.415
0.062222,9.261,2.588,-0.936,1.161,0.723,-0.564,-51.1,21.3,62.0,98.226,-41.267,76.165,0.682,-0.287,0.529,0.415
0.066667,9.334,2.572,-0.973,1.166,0.942,-0.929,-51.7,20.8,62.1,98.233,-41.260,76.170,0.682,-0.287,0.529,0.415
0.071111,9.308,2.666,-1.016,0.776,1.031,-1.031,-51.1,20.4,61.8,98.242,-41.249,76.176,0.682,-0.287,0.529,0.415
0.075556,9.343,2.629,-0.968,0.178,0.982,-0.871,-50.4,20.0,61.5,98.250,-41.238,76.183,0.683,-0.286,0.529,0.415
0.080000,9.285,2.620,-0.936,0.178,0.752,-1.022,-49.7,19.7,61.2,98.251,-41.235,76.183,0.683,-0.286,0.529,0.415
0.084444,9.284,2.615,-1.040,0.183,0.619,-1.264,-50.3,19.9,61.7,98.252,-41.237,76.178,0.683,-0.286,0.529,0.415
0.088889,9.325,2.659,-0.941,-0.275,0.839,-1.110,-50.9,20.2,62.2,98.251,-41.238,76.174,0.683,-0.286,0.529,0.415
0.093333,9.210,2.676,-1.074,0.042,1.375,-1.041,-51.6,20.5,62.7,98.253,-41.238,76.168,0.683,-0.286,0.529,0.415
0.097778,9.304,2.590,-1.068,-0.640,0.994,-1.271,-51.6,20.5,62.7,98.252,-41.242,76.158,0.683,-0.287,0.529,0.415
0.102222,9.318,2.609,-1.035,-0.022,1.331,-1.577,-51.6,20.5,62.7,98.252,-41.244,76.154,0.683,-0.287,0.529,0.415
0.106667,9.267,2.455,-0.973,-0.477,0.627,-1.288,-51.6,20.5,62.7,98.249,-41.253,76.143,0.683,-0.287,0.529,0.415
0.111111,9.360,2.518,-0.873,-1.151,0.490,-0.860,-51.4,20.8,62.7,98.240,-41.265,76.131,0.683,-0.287,0.529,0.415
0.115556,9.452,2.485,-0.934,-1.464,1.340,-1.098,-51.2,21.2,62.8,98.228,-41.276,76.121,0.682,-0.287,0.529,0.415
0.120000,9.456,2.561,-0.981,-2.194,1.098,-1.160,-51.0,21.4,62.8,98.216,-41.288,76.107,0.682,-0.287,0.529,0.415
0.124444,9.359,2.441,-0.852,-1.763,1.049,-1.212,-50.7,21.0,62.3,98.206,-41.295,76.100,0.682,-0.287,0.529,0.415
0.128889,9.489,2.406,-0.852,-1.389,1.694,-0.732,-50.5,20.6,61.8,98.195,-41.302,76.100,0.682,-0.287,0.529,0.415
0.133333,9.429,2.472,-0.837,-0.825,1.166,-0.732,-50.2,20.3,61.4,98.189,-41.307,76.099,0.682,-0.287,0.529,0.415
0.137778,9.334,2.387,-0.811,-0.021,1.334,-0.715,-50.1,20.4,61.6,98.186,-41.309,76.104,0.682,-0.287,0.529,0.415
0.142222,9.456,2.435,-0.751,0.855,1.211,-0.387,-49.9,20.6,61.9,98.182,-41.310,76.109,0.682,-0.287,0.529,0.415
