time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,3.754,8.048,4.069,-0.264,0.470,0.019,2.8,30.6,12.0,-16.158,-84.488,-130.243,-0.101,-0.530,-0.816,0.207
0.004444,3.776,8.146,4.058,0.256,0.297,0.122,3.2,31.4,12.3,-16.154,-84.489,-130.238,-0.101,-0.530,-0.816,0.207
0.008889,3.865,8.024,4.035,0.021,0.022,0.070,3.6,32.3,12.7,-16.156,-84.490,-130.235,-0.101,-0.530,-0.816,0.207
0.013333,3.754,8.118,4.113,0.100,0.416,-0.129,3.8,32.9,12.8,-16.155,-84.491,-130.235,-0.101,-0.530,-0.816,0.207
0.017778,3.784,8.061,4.170,0.034,0.366,0.156,3.4,32.4,12.4,-16.157,-84.489,-130.238,-0.101,-0.530,-0.816,0.207
0.022222,3.816,8.183,4.118,0.088,0.271,0.281,2.9,31.9,12.0,-16.170,-84.493,-130.250,-0.101,-0.530,-0.816,0.207
0.026667,3.761,8.187,4.089,-0.156,-0.085,0.071,2.5,31.5,11.7,-16.184,-84.499,-130.265,-0.101,-0.530,-0.816,0.207
0.031111,3.775,8.062,4.052,0.324,-0.004,-0.379,2.1,31.3,11.9,-16.197,-84.503,-130.277,-0.102,-0.530,-0.816,0.207
0.035556,3.743,8.117,4.100,-0.021,-0.217,-0.400,1.7,31.2,12.0,-16.201,-84.505,-130.282,-0.102,-0.530,-0.816,0.207
0.040000,3.804,8.105,4.238,0.122,-0.080,-0.277,1.5,31.2,12.2,-16.203,-84.503,-130.286,-0.102,-0.530,-0.816,0.207
0.044444,3.836,8.033,4.170,0.122,0.075,-0.212,2.3,31.7,12.2,-16.206,-84.501,-130.287,-0.102,-0.530,-0.816,0.207
0.048889,3.764,8.145,4.127,0.122,0.167,-0.200,3.1,32.3,12.3,-16.200,-84.500,-130.282,-0.102,-0.530,-0.816,0.207
0.053333,3.755,8.165,4.070,0.153,0.274,0.045,3.6,32.5,12.3,-16.192,-84.501,-130.276,-0.101,-0.530,-0.816,0.207
0.057778,3.697,8.145,4.128,0.148,0.119,-0.055,2.8,31.6,12.2,-16.183,-84.500,-130.270,-0.101,-0.530,-0.816,0.207
0.062222,3.744,8.156,4.138,-0.072,0.005,0.074,2.0,30.8,12.1,-16.179,-84.501,-130.269,-0.101,-0.530,-0.816,0.207
0.066667,3.815,8.134,4.155,0.010,0.217,-0.226,1.5,30.3,12.1,-16.190,-84.502,-130.279,-0.101,-0.530,-0.816,0.207
0.071111,3.879,8.093,4.130,-0.017,0.165,0.400,1.3,30.9,12.5,-16.205,-84.505,-130.291,-0.102,-0.530,-0.816,0.207
0.075556,3.893,8.076,4.119,0.063,-0.057,-0.014,1.2,31.4,12.9,-16.216,-84.506,-130.298,-0.102,-0.530,-0.816,0.207
0.080000,3.854,8.113,4.111,-0.310,0.133,0.170,1.1,31.8,13.2,-16.213,-84.505,-130.292,-0.102,-0.530,-0.816,0.207
0.084444,3.750,8.092,4.166,0.008,-0.027,0.038,1.1,31.7,13.1,-16.204,-84.502,-130.285,-0.102,-0.530,-0.816,0.207
0.088889,3.718,8.039,4.093,0.408,0.222,-0.035,1.2,31.7,13.1,-16.195,-84.500,-130.278,-0.101,-0.530,-0.816,0.207
0.093333,3.720,8.036,4.094,0.386,0.365,-0.185,1.4,31.6,13.1,-16.187,-84.499,-130.272,-0.101,-0.530,-0.816,0.207
0.097778,3.772,8.108,4.108,0.200,0.447,0.101,1.9,31.4,13.1,-16.181,-84.498,-130.266,-0.101,-0.530,-0.816,0.207
0.102222,3.786,8.091,4.075,0.115,0.303,-0.103,2.4,31.3,13.1,-16.174,-84.498,-130.259,-0.101,-0.530,-0.816,0.207
0.106667,3.707,8.100,4.144,0.750,0.226,-0.118,2.7,31.2,13.1,-16.166,-84.496,-130.254,-0.101,-0.530,-0.816,0.207
0.111111,3.778,8.119,4.137,0.405,0.327,-0.044,2.7,31.2,13.1,-16.160,-84.494,-130.248,-0.101,-0.530,-0.816,0.207
0.115556,3.846,8.122,4.136,0.211,0.230,-0.145,2.7,31.2,13.1,-16.158,-84.493,-130.244,-0.101,-0.530,-0.816,0.207
