time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.732,2.326,0.395,0.088,1.031,0.821,-56.9,45.9,1.7,56.297,-70.567,39.774,0.433,-0.543,0.306,0.652
0.004444,9.782,2.333,0.365,0.353,1.208,1.174,-56.7,45.9,2.2,56.293,-70.570,39.769,0.433,-0.543,0.306,0.652
0.008889,9.623,2.329,0.365,0.578,1.207,1.567,-56.7,46.0,2.6,56.289,-70.572,39.764,0.433,-0.543,0.306,0.652
0.013333,9.651,2.312,0.445,0.656,1.114,1.418,-57.1,46.2,2.9,56.286,-70.572,39.762,0.433,-0.543,0.306,0.652
0.017778,9.657,2.271,0.411,0.858,1.052,1.296,-57.4,46.5,3.2,56.284,-70.571,39.763,0.433,-0.543,0.306,0.652
0.022222,9.626,2.394,0.355,0.630,1.132,1.661,-57.6,46.4,2.9,56.286,-70.570,39.761,0.433,-0.543,0.306,0.652
0.026667,9.696,2.440,0.273,0.694,0.821,1.576,-57.9,46.2,2.5,56.291,-70.569,39.762,0.433,-0.543,0.306,0.652
0.031111,9.569,2.396,0.381,0.290,0.880,1.280,-58.2,46.1,2.0,56.296,-70.564,39.765,0.433,-0.543,0.306,0.652
0.035556,9.667,2.420,0.306,0.333,1.115,1.020,-57.7,45.9,2.4,56.303,-70.561,39.768,0.433,-0.542,0.306,0.652
0.040000,9.661,2.364,0.298,0.468,1.109,1.230,-57.2,45.7,3.0,56.304,-70.562,39.767,0.433,-0.542,0.306,0.652
0.044444,9.617,2.412,0.302,0.488,1.150,1.281,-56.6,45.5,3.5,56.304,-70.563,39.762,0.433,-0.542,0.306,0.652
0.048889,9.544,2.365,0.207,0.016,1.159,1.596,-56.9,45.4,3.4,56.305,-70.566,39.757,0.433,-0.543,0.306,0.652
0.053333,9.484,2.306,0.254,-0.061,1.106,1.115,-57.3,45.3,3.1,56.304,-70.569,39.753,0.433,-0.543,0.306,0.652
0.057778,9.561,2.247,0.204,-0.602,1.261,1.687,-57.7,45.2,2.9,56.305,-70.572,39.752,0.433,-0.543,0.306,0.652
0.062222,9.688,2.297,0.291,-0.946,1.062,1.330,-57.5,45.6,2.7,56.307,-70.574,39.753,0.433,-0.543,0.306,0.652
0.066667,9.706,2.321,0.394,-0.809,1.205,1.226,-57.2,46.2,2.5,56.307,-70.572,39.754,0.433,-0.543,0.306,0.652
0.071111,9.644,2.300,0.309,-0.624,1.164,0.994,-56.9,46.8,2.3,56.305,-70.575,39.751,0.433,-0.543,0.306,0.652
0.075556,9.720,2.357,0.333,-1.184,1.274,1.436,-57.3,46.7,2.8,56.295,-70.579,39.744,0.433,-0.543,0.306,0.652
