time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,3.716,8.174,4.080,-0.365,0.184,0.366,19.7,17.0,40.8,67.798,2.446,45.862,0.543,0.020,0.367,0.755
0.004444,3.539,8.317,4.051,-0.304,0.426,-0.181,20.2,17.1,40.9,67.798,2.445,45.855,0.543,0.020,0.367,0.755
0.008889,3.611,8.222,4.038,-0.052,0.186,0.183,20.7,17.3,41.0,67.797,2.443,45.850,0.543,0.020,0.367,0.755
0.013333,3.650,8.224,4.113,0.603,0.361,0.182,21.1,17.4,41.1,67.796,2.439,45.846,0.543,0.020,0.367,0.755
0.017778,3.687,8.103,4.111,0.318,0.116,0.111,20.6,17.2,41.4,67.794,2.434,45.844,0.543,0.019,0.367,0.755
0.022222,3.683,8.151,4.057,0.699,-0.063,-0.237,20.1,17.1,41.6,67.793,2.435,45.848,0.543,0.019,0.367,0.755
0.026667,3.575,8.177,4.103,-0.110,-0.090,-0.064,19.7,17.0,41.8,67.792,2.439,45.852,0.543,0.020,0.367,0.755
0.031111,3.630,8.144,4.183,0.098,0.535,-0.132,20.0,17.1,41.8,67.789,2.441,45.857,0.542,0.020,0.367,0.755
0.035556,3.634,8.201,4.142,-0.281,0.277,-0.281,20.3,17.2,41.7,67.786,2.437,45.852,0.542,0.020,0.367,0.755
0.040000,3.554,8.245,4.119,0.034,-0.086,0.052,20.6,17.3,41.7,67.784,2.433,45.844,0.542,0.019,0.367,0.755
0.044444,3.563,8.184,3.893,-0.255,0.356,-0.031,21.0,17.3,41.7,67.786,2.429,45.836,0.542,0.019,0.367,0.755
0.048889,3.574,8.238,3.945,0.305,0.244,0.294,21.4,17.3,41.7,67.788,2.429,45.832,0.543,0.019,0.367,0.755
0.053333,3.691,8.201,3.947,0.287,0.208,0.195,21.7,17.3,41.7,67.790,2.427,45.831,0.543,0.019,0.367,0.755
0.057778,3.708,8.106,4.041,0.142,-0.090,0.253,21.5,17.3,42.1,67.790,2.424,45.832,0.543,0.019,0.367,0.755
0.062222,3.562,8.184,4.008,0.277,0.204,-0.141,21.3,17.4,42.5,67.790,2.428,45.836,0.543,0.019,0.367,0.755
0.066667,3.602,8.208,4.075,0.046,0.321,0.206,21.2,17.3,42.9,67.790,2.433,45.842,0.543,0.019,0.367,0.755
0.071111,3.639,8.295,4.020,-0.021,-0.008,0.334,21.2,16.9,42.8,67.791,2.436,45.846,0.543,0.019,0.367,0.755
0.075556,3.617,8.179,4.092,0.227,-0.018,0.131,21.3,16.4,42.8,67.790,2.436,45.846,0.543,0.019,0.367,0.755
0.080000,3.681,8.176,4.059,0.158,0.244,0.201,21.3,16.1,42.7,67.789,2.435,45.847,0.543,0.019,0.367,0.755
0.084444,3.633,8.174,4.091,0.328,0.244,0.229,21.4,16.4,42.1,67.788,2.433,45.846,0.543,0.019,0.367,0.755
0.088889,3.590,8.265,4.022,0.142,0.284,-0.083,21.4,16.7,41.6,67.789,2.434,45.844,0.543,0.019,0.367,0.755
0.093333,3.678,8.296,4.011,0.170,0.520,0.322,21.4,17.0,41.0,67.790,2.430,45.839,0.543,0.019,0.367,0.755
0.097778,3.644,8.219,3.982,-0.194,0.616,-0.028,21.3,17.2,40.7,67.791,2.427,45.834,0.543,0.019,0.367,0.755
0.102222,3.580,8.214,4.092,-0.337,0.355,0.555,21.2,17.5,40.3,67.789,2.425,45.830,0.543,0.019,0.367,0.755
