time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.796,-0.927,-0.940,-0.738,-0.902,-0.103,-55.1,-20.7,-10.3,62.737,-80.831,63.277,0.452,-0.583,0.456,0.498
0.004444,9.735,-0.844,-0.850,-0.748,-0.854,-0.504,-54.7,-20.5,-10.7,62.734,-80.833,63.275,0.452,-0.583,0.456,0.498
0.008889,9.855,-0.901,-0.904,-1.026,-0.761,0.275,-54.6,-20.4,-10.8,62.730,-80.836,63.274,0.452,-0.583,0.456,0.498
0.013333,9.888,-0.981,-0.907,-1.051,-0.732,0.549,-54.7,-20.3,-10.9,62.726,-80.840,63.275,0.452,-0.583,0.456,0.498
0.017778,9.849,-1.022,-0.874,-0.652,-0.395,0.260,-54.7,-20.3,-10.9,62.723,-80.843,63.278,0.452,-0.583,0.456,0.498
0.022222,9.863,-0.930,-0.855,-0.598,-0.011,0.379,-55.4,-20.3,-10.8,62.722,-80.844,63.281,0.452,-0.583,0.456,0.498
0.026667,9.885,-0.921,-0.923,-0.162,0.111,0.775,-56.1,-20.3,-10.7,62.722,-80.846,63.283,0.452,-0.583,0.456,0.498
0.031111,9.833,-0.857,-1.061,-0.162,0.122,0.399,-56.9,-20.3,-10.5,62.725,-80.850,63.283,0.452,-0.583,0.456,0.498
0.035556,9.793,-0.807,-0.950,0.382,0.430,0.921,-57.0,-20.5,-10.4,62.726,-80.849,63.289,0.452,-0.583,0.456,0.498
0.040000,9.767,-0.812,-0.789,0.332,0.175,0.725,-56.9,-20.8,-10.2,62.726,-80.847,63.292,0.452,-0.583,0.456,0.498
0.044444,9.863,-0.831,-0.745,0.464,0.228,0.671,-56.9,-21.1,-10.1,62.727,-80.843,63.297,0.452,-0.583,0.456,0.498
0.048889,9.866,-0.812,-0.864,0.273,0.137,0.027,-56.6,-20.8,-10.4,62.730,-80.841,63.300,0.452,-0.583,0.456,0.498
0.053333,9.843,-0.843,-0.890,-0.028,0.612,0.211,-56.4,-20.4,-10.7,62.733,-80.839,63.304,0.452,-0.583,0.456,0.498
0.057778,9.845,-0.852,-0.938,-0.337,0.174,0.078,-56.1,-20.0,-11.1,62.733,-80.841,63.303,0.452,-0.583,0.456,0.498
0.062222,9.801,-0.888,-0.842,-0.030,0.346,-0.275,-56.1,-20.0,-11.1,62.730,-80.843,63.303,0.452,-0.583,0.456,0.498
0.066667,9.708,-0.779,-0.842,0.000,-0.828,-0.305,-56.1,-20.0,-11.1,62.728,-80.843,63.301,0.452,-0.583,0.456,0.498
0.071111,9.801,-0.852,-0.960,0.519,-0.454,0.214,-56.1,-20.0,-11.1,62.731,-80.844,63.303,0.452,-0.583,0.456,0.498
0.075556,9.770,-0.857,-0.944,0.666,-0.427,0.186,-55.6,-20.1,-10.6,62.736,-80.844,63.307,0.452,-0.583,0.456,0.498
0.080000,9.778,-0.690,-0.883,0.316,-0.486,-0.232,-55.1,-20.2,-10.1,62.741,-80.840,63.309,0.452,-0.583,0.456,0.497
0.084444,9.797,-0.774,-0.914,0.905,-0.548,-0.844,-54.6,-20.4,-9.6,62.754,-80.834,63.312,0.452,-0.583,0.456,0.497
0.088889,9.816,-0.876,-0.810,0.611,0.059,-0.246,-54.6,-20.2,-10.1,62.755,-80.832,63.316,0.452,-0.583,0.456,0.497
0.093333,9.849,-0.771,-0.820,1.215,-0.180,-0.728,-54.7,-20.0,-10.7,62.764,-80.824,63.321,0.452,-0.583,0.456,0.497
0.097778,9.769,-0.811,-0.938,0.607,0.106,-0.311,-54.8,-19.8,-11.2,62.767,-80.824,63.322,0.452,-0.583,0.456,0.497
0.102222,9.813,-0.886,-0.916,0.473,-0.617,-0.545,-55.4,-20.0,-11.2,62.770,-80.824,63.326,0.452,-0.583,0.456,0.497
0.106667,9.726,-0.765,-0.827,0.026,-0.781,-0.421,-56.0,-20.2,-11.1,62.774,-80.820,63.330,0.453,-0.583,0.457,0.497
0.111111,9.757,-0.925,-1.072,-0.667,-0.564,-0.309,-56.5,-20.4,-11.1,62.780,-80.824,63.333,0.453,-0.583,0.457,0.497
0.115556,9.878,-0.808,-1.061,-0.578,-0.798,-0.380,-56.2,-20.0,-10.9,62.784,-80.826,63.333,0.453,-0.583,0.457,0.497
0.120000,9.849,-0.963,-1.012,-0.151,-0.844,-0.464,-55.8,-19.7,-10.7,62.786,-80.830,63.336,0.453,-0.583,0.457,0.497
0.124444,9.653,-0.879,-0.844,0.220,-0.744,0.421,-55.5,-19.4,-10.5,62.787,-80.829,63.339,0.453,-0.583,0.457,0.497
0.128889,9.785,-0.943,-0.945,0.598,-0.730,0.359,-55.2,-19.8,-10.8,62.794,-80.828,63.348,0.453,-0.583,0.457,0.497
