time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.372,2.420,-1.192,0.182,1.343,-0.385,-51.9,13.0,27.1,-73.216,-82.694,-80.409,-0.498,-0.562,-0.547,0.370
0.004444,9.328,2.377,-1.313,-0.232,1.776,-0.350,-52.1,13.6,27.0,-73.211,-82.698,-80.403,-0.498,-0.562,-0.547,0.370
0.008889,9.257,2.372,-1.331,-0.096,1.467,-0.262,-52.2,14.3,26.9,-73.206,-82.703,-80.397,-0.498,-0.563,-0.547,0.370
0.013333,9.383,2.394,-1.390,-0.507,1.322,-0.387,-52.4,14.6,26.8,-73.206,-82.705,-80.393,-0.498,-0.563,-0.547,0.370
0.017778,9.344,2.433,-1.296,-0.835,1.200,-0.285,-52.8,14.4,26.6,-73.218,-82.700,-80.401,-0.498,-0.562,-0.547,0.370
0.022222,9.351,2.444,-1.321,-0.972,1.037,-0.327,-53.1,14.2,26.4,-73.232,-82.695,-80.410,-0.498,-0.562,-0.547,0.370
0.026667,9.306,2.453,-1.252,-0.801,1.122,-0.573,-53.2,14.2,26.4,-73.242,-82.691,-80.419,-0.498,-0.562,-0.547,0.369
0.031111,9.305,2.448,-1.232,-1.138,1.022,-0.473,-53.0,14.6,26.9,-73.250,-82.688,-80.427,-0.498,-0.562,-0.547,0.369
0.035556,9.296,2.452,-1.187,-0.658,0.637,-0.484,-52.8,14.9,27.3,-73.255,-82.685,-80.430,-0.498,-0.562,-0.547,0.369
0.040000,9.333,2.408,-1.231,0.189,0.838,-1.006,-52.5,15.1,27.7,-73.257,-82.684,-80.433,-0.498,-0.562,-0.547,0.369
0.044444,9.370,2.425,-1.264,0.556,1.006,-0.701,-52.0,14.9,27.8,-73.265,-82.680,-80.439,-0.498,-0.562,-0.547,0.369
0.048889,9.308,2.392,-1.228,1.092,1.322,-1.299,-51.6,14.7,28.0,-73.274,-82.675,-80.446,-0.498,-0.562,-0.547,0.369
0.053333,9.341,2.337,-1.248,1.093,1.634,-1.195,-51.4,14.4,28.1,-73.284,-82.669,-80.452,-0.498,-0.562,-0.547,0.369
0.057778,9.389,2.338,-1.331,0.913,1.661,-0.935,-51.5,14.0,28.1,-73.294,-82.665,-80.455,-0.498,-0.562,-0.547,0.369
0.062222,9.366,2.390,-1.222,1.318,1.855,-1.318,-51.7,13.6,28.1,-73.302,-82.660,-80.461,-0.498,-0.562,-0.547,0.369
0.066667,9.313,2.370,-1.186,1.846,2.233,-1.281,-51.7,13.5,28.0,-73.306,-82.656,-80.467,-0.498,-0.562,-0.547,0.369
0.071111,9.331,2.339,-1.200,2.161,2.046,-1.080,-51.5,13.9,27.9,-73.304,-82.655,-80.467,-0.498,-0.562,-0.547,0.369
0.075556,9.364,2.342,-1.168,2.401,1.677,-0.742,-51.4,14.3,27.8,-73.298,-82.656,-80.461,-0.498,-0.562,-0.547,0.369
0.080000,9.353,2.363,-1.228,2.607,1.672,-0.749,-51.3,14.5,27.6,-73.291,-82.660,-80.453,-0.498,-0.562,-0.547,0.369
0.084444,9.365,2.404,-1.286,2.818,1.610,-0.986,-51.2,14.3,27.3,-73.286,-82.665,-80.447,-0.498,-0.562,-0.547,0.369
0.088889,9.377,2.435,-1.268,3.047,1.481,-1.052,-51.2,14.1,27.0,-73.286,-82.669,-80.444,-0.498,-0.562,-0.547,0.369
0.093333,9.422,2.510,-1.250,2.753,1.810,-0.508,-51.4,14.0,26.9,-73.287,-82.670,-80.444,-0.498,-0.562,-0.547,0.369
0.097778,9.421,2.554,-1.260,2.271,1.626,-0.248,-52.1,14.2,27.0,-73.289,-82.670,-80.445,-0.498,-0.562,-0.547,0.369
0.102222,9.335,2.509,-1.281,1.714,1.442,-0.577,-52.7,14.3,27.1,-73.291,-82.671,-80.449,-0.498,-0.562,-0.547,0.369
0.106667,9.335,2.416,-1.230,1.818,1.087,-0.553,-52.9,14.4,27.0,-73.293,-82.671,-80.448,-0.498,-0.562,-0.547,0.369
