time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,-9.596,-0.235,1.858,-0.305,0.671,-0.732,4.0,5.0,2.0,12.303,78.739,-17.309,0.099,0.631,-0.139,0.757
0.004444,-9.548,-0.310,1.762,-0.002,0.489,-1.464,4.0,4.8,2.4,12.297,78.740,-17.304,0.098,0.631,-0.139,0.757
0.008889,-9.591,-0.159,1.725,-0.369,0.669,-1.278,4.0,4.7,2.9,12.300,78.741,-17.303,0.099,0.631,-0.139,0.757
0.013333,-9.554,-0.224,1.837,-0.594,0.426,-0.983,4.1,4.7,3.3,12.302,78.740,-17.305,0.099,0.631,-0.139,0.757
0.017778,-9.609,-0.184,1.735,0.487,0.376,-1.400,4.4,5.3,3.3,12.305,78.742,-17.307,0.099,0.631,-0.139,0.757
0.022222,-9.559,-0.303,1.803,0.409,0.845,-1.217,4.6,5.8,3.3,12.308,78.741,-17.312,0.099,0.631,-0.139,0.757
0.026667,-9.609,-0.336,1.720,-0.311,0.479,-1.106,4.8,6.1,3.4,12.311,78.743,-17.318,0.099,0.631,-0.139,0.757
0.031111,-9.576,-0.210,1.907,-0.462,0.174,-1.340,4.8,5.8,3.8,12.316,78.740,-17.323,0.099,0.631,-0.139,0.757
0.035556,-9.565,-0.323,1.820,0.219,-0.036,-1.264,4.8,5.5,4.2,12.323,78.739,-17.334,0.099,0.631,-0.139,0.757
0.040000,-9.510,-0.156,1.834,-0.341,0.541,-0.838,4.8,5.2,4.4,12.333,78.737,-17.343,0.099,0.631,-0.139,0.757
0.044444,-9.618,-0.108,1.938,0.146,0.366,-0.507,4.8,4.8,4.4,12.344,78.733,-17.351,0.099,0.631,-0.139,0.757
0.048889,-9.592,-0.160,1.819,-0.525,0.363,-0.858,4.8,4.4,4.4,12.352,78.732,-17.358,0.099,0.631,-0.139,0.757
0.053333,-9.679,-0.348,1.885,-0.133,0.272,-0.930,4.4,4.3,4.1,12.356,78.730,-17.367,0.099,0.630,-0.139,0.757
0.057778,-9.479,-0.255,1.847,-0.329,-0.224,-1.139,3.9,4.4,3.7,12.362,78.728,-17.374,0.099,0.630,-0.139,0.757
0.062222,-9.512,-0.265,1.760,-0.650,0.057,-0.820,3.3,4.5,3.2,12.368,78.729,-17.382,0.099,0.630,-0.139,0.757
0.066667,-9.479,-0.217,1.858,-0.380,0.000,-0.422,3.5,4.5,3.4,12.371,78.727,-17.384,0.099,0.630,-0.139,0.757
0.071111,-9.508,-0.130,1.915,-0.603,0.025,-1.153,3.9,4.5,3.6,12.374,78.723,-17.385,0.099,0.630,-0.139,0.757
0.075556,-9.492,-0.189,1.855,-1.252,0.310,-1.701,4.3,4.5,3.9,12.377,78.722,-17.386,0.099,0.630,-0.139,0.757
0.080000,-9.564,-0.108,1.874,-1.564,0.349,-1.015,4.2,5.1,3.8,12.383,78.719,-17.389,0.099,0.630,-0.139,0.757
0.084444,-9.571,-0.090,1.899,-1.342,0.236,-1.362,4.0,5.7,3.6,12.390,78.716,-17.392,0.099,0.630,-0.139,0.757
0.088889,-9.477,-0.176,1.923,-1.361,0.695,-0.952,3.9,6.3,3.4,12.396,78.712,-17.397,0.099,0.630,-0.139,0.757
0.093333,-9.525,-0.247,1.863,-1.558,0.431,-0.771,3.8,5.9,3.2,12.401,78.711,-17.404,0.099,0.630,-0.139,0.757
0.097778,-9.536,-0.187,1.861,-1.715,0.942,-1.071,3.7,5.5,3.0,12.403,78.712,-17.406,0.099,0.630,-0.139,0.757
0.102222,-9.567,-0.195,1.852,-0.829,0.650,-0.854,3.8,5.1,2.7,12.410,78.711,-17.412,0.099,0.630,-0.139,0.757
0.106667,-9.616,-0.261,1.896,-1.054,0.503,-0.802,4.7,4.4,2.3,12.411,78.709,-17.415,0.099,0.630,-0.139,0.757
0.111111,-9.463,-0.302,1.746,-0.778,0.633,-0.458,5.6,3.7,1.9,12.411,78.710,-17.417,0.099,0.630,-0.139,0.757
0.115556,-9.568,-0.237,1.688,-1.042,0.793,-0.727,6.2,3.3,1.7,12.412,78.712,-17.416,0.099,0.630,-0.139,0.757
0.120000,-9.573,-0.250,1.796,-0.655,0.768,-1.073,6.2,3.3,1.7,12.401,78.713,-17.404,0.099,0.630,-0.139,0.757
0.124444,-9.598,-0.269,1.781,-0.489,0.662,-0.907,6.2,3.3,1.7,12.389,78.715,-17.390,0.099,0.630,-0.139,0.757
0.128889,-9.667,-0.328,1.856,-0.122,0.958,-0.872,5.9,3.9,1.9,12.375,78.716,-17.376,0.099,0.630,-0.139,0.757
0.133333,-9.509,-0.324,1.785,-0.076,0.780,-0.930,5.5,5.0,2.3,12.363,78.718,-17.364,0.099,0.630,-0.139,0.757
0.137778,-9.597,-0.374,1.768,0.107,0.290,-0.681,5.1,6.0,2.7,12.361,78.719,-17.365,0.099,0.630,-0.139,0.757
0.142222,-9.625,-0.272,1.844,-0.364,-0.023,-0.742,4.4,6.3,3.1,12.361,78.719,-17.367,0.099,0.630,-0.139,0.757
0.146667,-9.481,-0.263,1.819,-0.529,0.417,-0.803,3.6,6.2,3.4,12.364,78.718,-17.371,0.099,0.630,-0.139,0.757
0.151111,-9.496,-0.233,1.793,0.141,0.155,-0.844,2.8,6.2,3.7,12.371,78.717,-17.380,0.099,0.630,-0.139,0.757
0.155556,-9.479,-0.243,1.809,-0.050,0.599,-0.761,3.5,6.2,3.6,12.380,78.716,-17.390,0.099,0.630,-0.139,0.757
0.160000,-9.580,-0.317,1.822,-0.067,0.516,-0.644,4.4,6.2,3.5,12.387,78.715,-17.401,0.099,0.630,-0.139,0.757
0.164444,-9.477,-0.265,1.819,-0.286,0.263,-0.942,5.2,6.1,3.3,12.391,78.714,-17.406,0.099,0.630,-0.139,0.757
0.168889,-9.455,-0.228,1.934,-0.009,-0.171,-1.598,4.5,5.8,2.9,12.394,78.710,-17.411,0.099,0.630,-0.139,0.757
0.173333,-9.532,-0.288,1.887,-0.245,-0.134,-1.587,3.7,5.5,2.4,12.396,78.708,-17.415,0.099,0.630,-0.139,0.757
0.177778,-9.540,-0.229,1.829,-0.160,-0.158,-1.268,3.3,5.3,2.3,12.395,78.708,-17.412,0.099,0.630,-0.139,0.757
0.182222,-9.551,-0.239,1.954,-0.642,0.027,-1.090,3.8,5.4,3.2,12.392,78.705,-17.409,0.099,0.630,-0.139,0.757
0.186667,-9.607,-0.329,1.875,-0.048,0.353,-1.474,4.4,5.6,4.2,12.390,78.704,-17.410,0.099,0.630,-0.139,0.757
0.191111,-9.490,-0.200,1.892,-0.066,0.212,-1.242,4.6,5.6,4.5,12.399,78.700,-17.420,0.099,0.630,-0.140,0.757
0.195556,-9.468,-0.198,1.830,-0.332,0.041,-1.058,4.2,5.2,3.6,12.411,78.698,-17.433,0.099,0.630,-0.140,0.757
0.200000,-9.576,-0.205,1.931,-0.455,0.624,-0.901,3.7,4.8,2.7,12.423,78.694,-17.446,0.099,0.630,-0.140,0.757
0.204444,-9.566,-0.230,1.821,-0.606,0.629,-0.996,3.9,4.5,2.4,12.432,78.693,-17.456,0.100,0.630,-0.140,0.757
0.208889,-9.498,-0.307,1.856,-0.837,0.590,-1.349,4.6,4.3,2.6,12.429,78.692,-17.456,0.100,0.630,-0.140,0.757
0.213333,-9.554,-0.278,1.803,-0.917,0.945,-0.947,5.4,4.1,2.8,12.426,78.693,-17.453,0.100,0.630,-0.140,0.757
0.217778,-9.553,-0.344,1.780,-0.762,0.871,-0.733,5.2,4.3,2.9,12.420,78.694,-17.450,0.099,0.630,-0.140,0.757
0.222222,-9.549,-0.285,1.729,-0.716,0.443,-0.274,4.6,4.6,2.9,12.416,78.696,-17.445,0.099,0.630,-0.140,0.757
0.226667,-9.583,-0.311,1.756,-0.289,0.828,-0.157,3.9,4.9,3.0,12.411,78.698,-17.442,0.099,0.630,-0.140,0.757
0.231111,-9.568,-0.210,1.863,-0.372,1.121,-0.642,3.8,5.1,2.8,12.409,78.697,-17.438,0.099,0.630,-0.140,0.757
0.235556,-9.536,-0.156,1.853,-0.634,0.737,-0.814,3.8,5.2,2.5,12.411,78.695,-17.437,0.099,0.630,-0.140,0.757
0.240000,-9.589,-0.240,1.885,-0.383,0.949,-1.021,3.8,5.4,2.3,12.412,78.694,-17.437,0.099,0.630,-0.140,0.757
0.244444,-9.545,-0.269,1.766,-0.444,0.749,-0.773,4.1,4.8,2.6,12.411,78.695,-17.438,0.099,0.630,-0.140,0.757
0.248889,-9.482,-0.281,1.768,-0.367,0.035,-0.555,4.4,4.2,2.9,12.409,78.696,-17.436,0.099,0.630,-0.140,0.757
0.253333,-9.497,-0.284,1.787,-0.166,0.210,-1.360,4.6,3.8,3.2,12.406,78.696,-17.434,0.099,0.630,-0.140,0.757
0.257778,-9.548,-0.265,1.786,-0.230,0.284,-1.207,4.5,4.2,3.5,12.404,78.697,-17.431,0.099,0.630,-0.140,0.757
0.262222,-9.617,-0.318,1.770,0.008,0.048,-0.714,4.4,4.5,3.7,12.401,78.698,-17.430,0.099,0.630,-0.140,0.757
0.266667,-9.558,-0.271,1.822,-0.586,0.361,-0.727,4.4,4.9,3.8,12.399,78.698,-17.428,0.099,0.630,-0.140,0.757
0.271111,-9.635,-0.213,1.801,-0.540,0.281,-0.854,4.4,5.1,3.6,12.398,78.699,-17.426,0.099,0.630,-0.140,0.757
0.275556,-9.592,-0.229,1.715,-0.416,-0.221,-0.816,4.4,5.4,3.3,12.399,78.701,-17.425,0.099,0.630,-0.140,0.757
0.280000,-9.626,-0.224,1.771,-0.657,-0.266,-0.868,4.2,5.5,3.1,12.403,78.701,-17.430,0.099,0.630,-0.140,0.757
0.284444,-9.528,-0.243,1.800,-0.406,-0.065,-1.021,3.7,5.4,3.0,12.408,78.701,-17.435,0.099,0.630,-0.140,0.757
0.288889,-9.464,-0.211,1.785,-0.528,0.123,-0.712,3.2,5.3,2.9,12.413,78.700,-17.440,0.099,0.630,-0.140,0.757
0.293333,-9.465,-0.236,1.794,-0.671,-0.020,-0.834,2.9,5.2,2.8,12.416,78.700,-17.443,0.099,0.630,-0.140,0.757
0.297778,-9.479,-0.241,1.845,-0.669,0.084,-0.953,3.2,4.9,2.6,12.419,78.698,-17.446,0.099,0.630,-0.140,0.757
0.302222,-9.516,-0.209,1.745,-0.301,0.240,-0.822,3.4,4.7,2.5,12.422,78.699,-17.448,0.099,0.630,-0.140,0.757
0.306667,-9.554,-0.222,1.744,-0.253,0.064,-1.151,3.5,4.5,2.7,12.424,78.700,-17.449,0.099,0.630,-0.140,0.757
0.311111,-9.474,-0.288,1.855,-0.502,0.377,-1.009,3.3,4.6,3.5,12.425,78.699,-17.452,0.100,0.630,-0.140,0.757
0.315556,-9.516,-0.269,1.809,-0.699,0.710,-1.272,3.1,4.6,4.3,12.425,78.699,-17.452,0.099,0.630,-0.140,0.757
0.320000,-9.582,-0.269,1.787,-1.070,0.627,-1.015,3.0,4.7,4.8,12.422,78.699,-17.449,0.099,0.630,-0.140,0.757
0.324444,-9.479,-0.250,1.803,-0.601,0.527,-0.864,3.0,4.7,4.8,12.418,78.700,-17.446,0.099,0.630,-0.140,0.757
0.328889,-9.514,-0.289,1.818,-0.679,0.420,-0.511,3.0,4.7,4.8,12.419,78.699,-17.448,0.099,0.630,-0.140,0.757
0.333333,-9.605,-0.266,1.779,-0.696,0.328,-0.545,3.2,4.8,4.5,12.428,78.699,-17.459,0.100,0.630,-0.140,0.757
0.337778,-9.567,-0.249,1.694,-0.967,0.460,-0.780,3.7,5.1,3.6,12.439,78.700,-17.471,0.100,0.630,-0.140,0.757
