time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,1.475,-8.614,5.124,-0.488,-0.122,-0.610,-9.0,-45.9,2.9,-57.806,-13.869,6.790,-0.482,-0.116,0.057,0.867
0.004444,1.527,-8.461,5.122,-1.095,0.121,-0.797,-8.2,-46.2,2.8,-57.806,-13.864,6.779,-0.482,-0.116,0.057,0.867
0.008889,1.439,-8.408,4.986,-0.784,0.058,-1.089,-7.3,-46.5,2.7,-57.807,-13.866,6.783,-0.482,-0.116,0.057,0.867
0.013333,1.343,-8.410,5.037,-0.358,-0.065,-0.679,-6.7,-46.8,2.7,-57.807,-13.868,6.791,-0.482,-0.116,0.057,0.867
0.017778,1.289,-8.470,5.150,-0.133,-0.175,-0.913,-7.5,-46.6,2.7,-57.805,-13.869,6.800,-0.482,-0.116,0.057,0.867
0.022222,1.419,-8.551,5.095,-0.370,-0.020,-0.841,-8.3,-46.5,2.7,-57.807,-13.864,6.795,-0.482,-0.116,0.057,0.867
0.026667,1.369,-8.453,5.168,-0.427,-0.366,-0.622,-8.8,-46.4,2.7,-57.806,-13.857,6.786,-0.482,-0.116,0.057,0.867
0.031111,1.498,-8.410,5.065,-0.441,-0.390,-0.789,-8.5,-46.6,2.8,-57.807,-13.853,6.777,-0.482,-0.115,0.056,0.867
0.035556,1.488,-8.490,5.162,-0.648,-0.611,-0.732,-8.2,-46.7,2.9,-57.806,-13.851,6.772,-0.482,-0.115,0.056,0.867
0.040000,1.513,-8.497,5.103,-1.031,-0.006,-0.763,-8.0,-46.8,3.1,-57.806,-13.850,6.768,-0.482,-0.115,0.056,0.867
0.044444,1.384,-8.561,5.021,-0.942,-0.034,-0.990,-7.9,-46.7,3.3,-57.809,-13.847,6.766,-0.482,-0.115,0.056,0.867
0.048889,1.426,-8.586,5.122,-0.649,0.191,-0.588,-7.8,-46.7,3.5,-57.809,-13.846,6.767,-0.482,-0.115,0.056,0.867
0.053333,1.426,-8.555,5.143,-0.529,0.171,-0.435,-7.7,-46.5,3.6,-57.809,-13.846,6.767,-0.482,-0.115,0.056,0.867
0.057778,1.491,-8.555,5.105,-0.767,-0.305,-0.409,-7.6,-46.4,3.6,-57.810,-13.846,6.767,-0.482,-0.115,0.056,0.867
0.062222,1.508,-8.420,5.052,-0.610,-0.239,0.042,-7.5,-46.2,3.6,-57.810,-13.848,6.767,-0.482,-0.115,0.056,0.867
0.066667,1.402,-8.390,5.073,-0.692,0.041,-0.081,-8.0,-46.4,3.8,-57.809,-13.848,6.770,-0.482,-0.115,0.056,0.867
0.071111,1.524,-8.461,5.167,-1.055,-0.203,-0.281,-8.6,-46.6,4.0,-57.806,-13.851,6.772,-0.482,-0.115,0.056,0.867
0.075556,1.443,-8.528,5.082,-0.947,0.480,-0.663,-9.1,-46.8,4.2,-57.807,-13.851,6.773,-0.482,-0.115,0.056,0.867
0.080000,1.468,-8.465,5.028,-1.208,0.110,-0.427,-8.7,-47.3,3.9,-57.809,-13.848,6.766,-0.482,-0.115,0.056,0.867
0.084444,1.531,-8.518,5.088,-0.671,-0.131,-0.684,-8.2,-47.8,3.5,-57.810,-13.844,6.757,-0.482,-0.115,0.056,0.867
0.088889,1.493,-8.478,5.048,-0.739,0.129,-0.787,-7.8,-48.0,3.3,-57.811,-13.841,6.749,-0.482,-0.115,0.056,0.867
0.093333,1.468,-8.581,5.120,-0.762,0.195,-0.891,-7.9,-47.6,3.2,-57.812,-13.840,6.748,-0.482,-0.115,0.056,0.867
0.097778,1.514,-8.575,5.115,-0.031,-0.247,-0.580,-8.0,-47.1,3.1,-57.813,-13.841,6.747,-0.482,-0.115,0.056,0.867
0.102222,1.401,-8.560,5.085,-0.033,0.075,-0.504,-8.1,-46.8,3.0,-57.814,-13.840,6.747,-0.482,-0.115,0.056,0.867
0.106667,1.456,-8.427,5.082,-0.305,-0.110,-0.549,-8.2,-46.8,2.9,-57.814,-13.838,6.745,-0.482,-0.115,0.056,0.867
0.111111,1.447,-8.443,5.110,-0.356,-0.091,-0.651,-8.4,-46.8,2.7,-57.813,-13.836,6.742,-0.482,-0.115,0.056,0.867
0.115556,1.450,-8.531,5.091,-0.470,0.040,-0.986,-8.4,-46.8,2.7,-57.814,-13.834,6.738,-0.482,-0.115,0.056,0.867
0.120000,1.556,-8.418,5.093,-0.482,-0.574,-1.031,-8.4,-46.8,2.7,-57.814,-13.833,6.732,-0.482,-0.115,0.056,0.867
0.124444,1.456,-8.487,5.111,-0.591,-0.355,-0.941,-8.4,-46.8,2.7,-57.814,-13.830,6.726,-0.482,-0.115,0.056,0.867
0.128889,1.449,-8.444,5.030,-0.608,0.018,-1.246,-7.9,-46.9,2.5,-57.815,-13.827,6.720,-0.482,-0.115,0.056,0.867
0.133333,1.443,-8.519,5.044,-0.732,0.081,-0.834,-7.3,-47.1,2.2,-57.817,-13.825,6.718,-0.482,-0.115,0.056,0.867
0.137778,1.464,-8.565,5.112,-0.606,-0.059,-0.819,-6.7,-47.2,2.0,-57.817,-13.828,6.722,-0.482,-0.115,0.056,0.867
0.142222,1.509,-8.530,5.109,-0.497,0.213,-1.185,-7.3,-47.3,2.1,-57.816,-13.832,6.728,-0.482,-0.115,0.056,0.867
0.146667,1.484,-8.469,5.106,-0.598,0.286,-1.163,-8.1,-47.5,2.3,-57.815,-13.833,6.730,-0.482,-0.115,0.056,0.867
0.151111,1.417,-8.531,5.055,-0.412,-0.061,-0.831,-8.8,-47.6,2.4,-57.818,-13.828,6.723,-0.482,-0.115,0.056,0.867
0.155556,1.505,-8.509,5.122,-0.488,0.105,-0.651,-8.3,-47.6,2.9,-57.818,-13.824,6.713,-0.482,-0.115,0.056,0.867
0.160000,1.460,-8.472,5.167,-0.610,0.195,-0.452,-7.7,-47.6,3.4,-57.817,-13.821,6.707,-0.482,-0.115,0.056,0.867
0.164444,1.480,-8.504,5.100,-0.718,0.065,-0.639,-7.5,-47.4,3.8,-57.817,-13.823,6.710,-0.482,-0.115,0.056,0.867
0.168889,1.523,-8.494,5.099,-0.584,0.038,-0.828,-8.2,-46.7,4.0,-57.816,-13.826,6.713,-0.482,-0.115,0.056,0.867
0.173333,1.493,-8.469,5.147,-0.761,-0.138,-0.714,-8.8,-46.0,4.1,-57.815,-13.826,6.713,-0.482,-0.115,0.056,0.867
0.177778,1.490,-8.485,5.140,-0.929,0.082,-0.746,-9.0,-45.8,4.1,-57.815,-13.823,6.705,-0.482,-0.115,0.056,0.867
0.182222,1.436,-8.468,5.132,-0.682,-0.012,-0.804,-8.8,-46.2,3.8,-57.815,-13.818,6.697,-0.482,-0.115,0.056,0.867
0.186667,1.405,-8.520,5.096,-0.549,-0.130,-0.957,-8.5,-46.6,3.6,-57.816,-13.813,6.691,-0.482,-0.115,0.056,0.867
0.191111,1.462,-8.522,5.079,-0.549,-0.175,-0.960,-8.2,-47.0,3.3,-57.817,-13.810,6.686,-0.482,-0.115,0.056,0.867
0.195556,1.455,-8.505,5.114,-0.669,-0.037,-0.610,-7.9,-47.4,3.1,-57.818,-13.807,6.682,-0.482,-0.115,0.056,0.867
