time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,3.405,8.763,2.811,-0.183,0.671,-0.305,5.4,32.3,7.5,-18.688,-97.051,-130.167,-0.113,-0.588,-0.788,0.144
0.004444,3.429,8.715,2.863,0.179,0.004,0.001,6.0,31.5,7.4,-18.694,-97.049,-130.172,-0.113,-0.588,-0.788,0.144
0.008889,3.481,8.707,2.814,-0.304,0.416,0.114,6.6,30.8,7.4,-18.702,-97.049,-130.177,-0.113,-0.588,-0.788,0.144
0.013333,3.443,8.831,2.717,-0.235,-0.241,-0.375,6.9,30.3,7.3,-18.709,-97.052,-130.180,-0.113,-0.588,-0.788,0.144
0.017778,3.440,8.673,2.785,0.126,-0.112,-0.696,6.2,31.1,6.8,-18.717,-97.052,-130.185,-0.113,-0.588,-0.788,0.144
0.022222,3.502,8.708,2.737,0.249,0.173,0.391,5.6,32.0,6.3,-18.720,-97.052,-130.183,-0.113,-0.588,-0.788,0.144
0.026667,3.433,8.763,2.798,0.339,-0.040,0.928,5.2,32.4,6.0,-18.719,-97.052,-130.182,-0.113,-0.588,-0.788,0.144
0.031111,3.428,8.860,2.813,-0.155,0.402,0.007,5.5,31.8,6.1,-18.718,-97.052,-130.182,-0.113,-0.588,-0.788,0.144
0.035556,3.425,8.803,2.703,0.313,0.936,0.081,5.8,31.2,6.1,-18.719,-97.054,-130.180,-0.113,-0.588,-0.788,0.144
0.040000,3.453,8.824,2.798,0.386,0.325,-0.443,5.9,31.2,6.2,-18.720,-97.054,-130.181,-0.113,-0.588,-0.788,0.144
0.044444,3.514,8.752,2.756,-0.081,-0.097,0.117,5.6,31.7,6.4,-18.723,-97.054,-130.179,-0.113,-0.588,-0.788,0.144
0.048889,3.491,8.810,2.785,0.344,0.782,0.022,5.3,32.2,6.5,-18.724,-97.054,-130.178,-0.113,-0.588,-0.788,0.144
0.053333,3.354,9.012,2.779,0.171,0.067,-0.299,5.1,32.5,6.8,-18.721,-97.057,-130.178,-0.113,-0.588,-0.788,0.144
0.057778,3.424,8.758,2.867,0.597,0.115,0.226,4.9,32.8,7.1,-18.720,-97.054,-130.179,-0.113,-0.588,-0.788,0.144
0.062222,3.487,8.800,2.783,0.509,0.125,-0.392,4.7,33.0,7.4,-18.719,-97.054,-130.176,-0.113,-0.588,-0.788,0.144
0.066667,3.364,8.835,2.799,0.557,0.587,-0.107,4.3,32.8,7.4,-18.714,-97.054,-130.174,-0.113,-0.588,-0.788,0.144
0.071111,3.486,8.876,2.842,-0.139,0.411,-0.008,4.0,32.5,7.2,-18.711,-97.052,-130.171,-0.113,-0.588,-0.788,0.144
0.075556,3.482,8.889,2.775,0.515,0.296,-0.078,3.6,32.3,7.1,-18.700,-97.050,-130.161,-0.113,-0.588,-0.788,0.144
0.080000,3.450,8.689,2.807,0.250,0.235,-0.147,4.0,32.1,7.2,-18.688,-97.045,-130.151,-0.113,-0.588,-0.788,0.144
