time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.823,-0.602,-0.476,-0.684,-0.488,-0.111,-50.0,-21.4,-42.3,-60.753,-76.733,-54.064,-0.450,-0.568,-0.400,0.561
0.004444,9.811,-0.504,-0.587,-0.892,-0.188,-0.080,-50.0,-21.6,-42.2,-60.759,-76.732,-54.068,-0.450,-0.568,-0.400,0.561
0.008889,9.811,-0.530,-0.516,-0.570,-0.383,-0.016,-50.4,-21.9,-42.3,-60.764,-76.729,-54.072,-0.450,-0.568,-0.400,0.561
0.013333,9.819,-0.552,-0.484,-0.210,-0.415,0.252,-50.7,-22.2,-42.4,-60.767,-76.726,-54.074,-0.450,-0.568,-0.400,0.561
0.017778,9.765,-0.568,-0.575,-0.401,-0.105,0.427,-50.9,-22.4,-42.5,-60.770,-76.726,-54.072,-0.450,-0.568,-0.400,0.560
0.022222,9.829,-0.482,-0.555,-0.346,-0.204,0.224,-50.9,-22.4,-42.5,-60.771,-76.727,-54.072,-0.450,-0.568,-0.400,0.560
0.026667,9.885,-0.473,-0.598,-0.161,-0.388,-0.500,-50.9,-22.4,-42.5,-60.769,-76.730,-54.069,-0.450,-0.568,-0.400,0.560
0.031111,9.845,-0.497,-0.582,0.259,-0.427,-0.455,-50.7,-22.1,-42.5,-60.766,-76.734,-54.064,-0.450,-0.568,-0.400,0.561
0.035556,9.893,-0.437,-0.516,0.039,-0.255,-0.047,-50.4,-21.7,-42.6,-60.761,-76.737,-54.060,-0.450,-0.568,-0.400,0.561
0.040000,9.870,-0.488,-0.546,-0.210,-0.490,0.105,-50.2,-21.3,-42.7,-60.756,-76.741,-54.055,-0.450,-0.568,-0.400,0.561
0.044444,9.811,-0.479,-0.523,0.069,-0.119,0.256,-50.1,-21.7,-42.9,-60.756,-76.741,-54.055,-0.450,-0.568,-0.400,0.561
0.048889,9.897,-0.511,-0.529,0.138,-0.166,0.123,-50.2,-22.5,-43.1,-60.759,-76.740,-54.057,-0.450,-0.568,-0.400,0.561
0.053333,9.928,-0.512,-0.638,0.399,-0.013,-0.216,-50.2,-23.2,-43.3,-60.764,-76.740,-54.058,-0.450,-0.568,-0.400,0.560
0.057778,9.878,-0.574,-0.615,1.005,0.155,-0.305,-50.5,-22.8,-43.1,-60.757,-76.745,-54.049,-0.450,-0.568,-0.400,0.561
0.062222,9.905,-0.526,-0.606,0.777,-0.056,-0.209,-50.8,-22.1,-42.8,-60.748,-76.751,-54.038,-0.450,-0.568,-0.400,0.561
0.066667,9.860,-0.504,-0.559,0.525,-0.560,-0.037,-51.1,-21.3,-42.5,-60.739,-76.757,-54.028,-0.450,-0.569,-0.400,0.561
0.071111,9.876,-0.538,-0.558,0.340,-0.276,0.049,-51.2,-21.4,-42.7,-60.739,-76.759,-54.025,-0.450,-0.569,-0.400,0.561
0.075556,9.848,-0.475,-0.458,0.305,-0.133,-0.190,-51.2,-21.7,-42.9,-60.740,-76.757,-54.028,-0.450,-0.569,-0.400,0.561
0.080000,9.856,-0.452,-0.504,-0.205,-0.020,0.164,-51.2,-22.0,-43.2,-60.742,-76.756,-54.031,-0.450,-0.568,-0.400,0.561
0.084444,9.937,-0.507,-0.477,0.161,-0.207,0.037,-51.2,-22.1,-43.2,-60.742,-76.755,-54.031,-0.450,-0.568,-0.400,0.561
0.088889,9.872,-0.472,-0.556,-0.282,-0.139,-0.368,-51.2,-22.2,-43.2,-60.741,-76.756,-54.030,-0.450,-0.568,-0.400,0.561
0.093333,9.813,-0.548,-0.453,-0.206,-0.495,-0.267,-51.2,-22.3,-43.2,-60.740,-76.755,-54.028,-0.450,-0.568,-0.400,0.561
0.097778,9.836,-0.458,-0.508,-0.021,-0.441,0.135,-51.3,-22.0,-42.8,-60.737,-76.757,-54.026,-0.450,-0.569,-0.400,0.561
0.102222,9.681,-0.553,-0.573,-0.330,-0.262,-0.256,-51.4,-21.6,-42.4,-60.735,-76.759,-54.021,-0.450,-0.569,-0.400,0.561
0.106667,9.869,-0.574,-0.518,-0.533,-0.188,-0.027,-51.6,-21.2,-42.0,-60.733,-76.760,-54.016,-0.450,-0.569,-0.400,0.561
0.111111,9.830,-0.513,-0.605,-0.493,-0.353,0.226,-51.5,-20.7,-42.7,-60.731,-76.763,-54.012,-0.450,-0.569,-0.400,0.561
0.115556,9.862,-0.472,-0.438,-0.775,-0.309,0.072,-51.3,-20.2,-43.5,-60.731,-76.762,-54.013,-0.450,-0.569,-0.400,0.561
0.120000,9.869,-0.456,-0.581,-0.851,-0.421,0.061,-51.2,-19.7,-44.2,-60.734,-76.763,-54.015,-0.450,-0.569,-0.400,0.561
0.124444,9.934,-0.538,-0.580,-0.265,-0.368,0.002,-50.7,-20.5,-43.6,-60.737,-76.762,-54.016,-0.450,-0.569,-0.400,0.561
0.128889,9.786,-0.461,-0.514,-0.602,0.171,-0.119,-50.3,-21.3,-42.9,-60.750,-76.755,-54.029,-0.450,-0.568,-0.400,0.561
0.133333,9.840,-0.512,-0.527,-0.671,0.002,-0.545,-49.8,-22.2,-42.2,-60.766,-76.747,-54.044,-0.450,-0.568,-0.400,0.561
0.137778,9.807,-0.422,-0.460,-0.426,0.060,0.181,-49.9,-22.0,-42.5,-60.780,-76.738,-54.061,-0.450,-0.568,-0.400,0.560
0.142222,9.858,-0.511,-0.524,-0.115,-0.117,-0.364,-50.0,-21.8,-42.9,-60.780,-76.739,-54.060,-0.450,-0.568,-0.400,0.560
0.146667,9.798,-0.429,-0.639,0.296,0.178,-0.250,-50.1,-21.6,-43.2,-60.777,-76.744,-54.056,-0.450,-0.568,-0.400,0.560
0.151111,9.690,-0.514,-0.559,0.003,0.008,-0.414,-50.4,-21.7,-43.1,-60.774,-76.747,-54.050,-0.450,-0.568,-0.400,0.560
0.155556,9.955,-0.532,-0.544,0.102,0.180,-0.129,-50.7,-21.7,-43.0,-60.775,-76.747,-54.049,-0.450,-0.568,-0.400,0.560
0.160000,9.792,-0.394,-0.595,0.781,0.114,-0.236,-51.0,-21.7,-42.9,-60.776,-76.749,-54.051,-0.450,-0.568,-0.400,0.560
