time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.716,2.296,0.779,-0.032,1.166,0.729,-56.4,49.0,3.9,76.059,-52.794,65.950,0.560,-0.389,0.486,0.547
0.004444,9.579,2.304,0.662,-0.487,1.092,0.482,-56.8,49.0,4.0,76.059,-52.794,65.951,0.560,-0.389,0.486,0.547
0.008889,9.548,2.304,0.785,-0.803,0.941,0.813,-56.3,49.2,4.0,76.058,-52.792,65.953,0.560,-0.389,0.486,0.547
0.013333,9.503,2.307,0.709,-0.707,0.915,0.474,-55.7,49.3,4.0,76.058,-52.792,65.953,0.560,-0.389,0.486,0.547
0.017778,9.491,2.296,0.700,-0.671,0.965,0.865,-55.0,49.5,4.0,76.058,-52.792,65.954,0.560,-0.389,0.486,0.547
0.022222,9.638,2.262,0.708,-0.925,0.824,0.976,-55.9,49.3,4.2,76.057,-52.793,65.955,0.560,-0.389,0.486,0.547
0.026667,9.603,2.251,0.701,-0.513,0.845,0.667,-57.2,49.0,4.3,76.059,-52.791,65.960,0.560,-0.389,0.486,0.547
0.031111,9.525,2.329,0.716,-0.113,1.377,0.401,-58.5,48.8,4.5,76.063,-52.786,65.966,0.560,-0.389,0.486,0.547
0.035556,9.619,2.346,0.685,-0.380,0.986,0.419,-58.4,48.9,4.3,76.068,-52.782,65.971,0.560,-0.389,0.486,0.547
0.040000,9.651,2.410,0.735,-0.913,1.023,0.805,-58.1,49.1,4.1,76.072,-52.776,65.976,0.560,-0.389,0.486,0.547
0.044444,9.542,2.371,0.712,-0.483,0.763,0.799,-57.8,49.3,3.9,76.071,-52.776,65.974,0.560,-0.389,0.486,0.547
0.048889,9.568,2.396,0.687,-0.594,1.177,0.070,-57.5,48.8,3.8,76.068,-52.778,65.968,0.560,-0.389,0.486,0.547
0.053333,9.723,2.390,0.640,0.744,0.430,0.282,-57.3,48.3,3.7,76.065,-52.782,65.962,0.560,-0.389,0.486,0.547
0.057778,9.618,2.479,0.727,0.682,0.423,0.763,-57.0,47.7,3.6,76.065,-52.780,65.959,0.560,-0.389,0.486,0.547
0.062222,9.528,2.417,0.610,1.368,1.182,0.561,-56.8,48.5,4.1,76.068,-52.779,65.957,0.560,-0.389,0.486,0.547
0.066667,9.552,2.409,0.668,1.816,1.103,0.549,-56.6,49.4,4.6,76.075,-52.772,65.959,0.560,-0.389,0.486,0.547
0.071111,9.572,2.380,0.774,1.532,0.680,0.549,-56.4,50.2,5.1,76.076,-52.772,65.954,0.560,-0.389,0.486,0.547
0.075556,9.629,2.399,0.799,1.465,1.156,1.094,-56.5,50.0,5.0,76.072,-52.773,65.951,0.560,-0.389,0.486,0.547
0.080000,9.539,2.403,0.694,2.008,0.978,0.795,-56.7,49.7,4.9,76.072,-52.774,65.945,0.560,-0.389,0.486,0.547
0.084444,9.609,2.354,0.629,1.054,1.273,1.101,-56.9,49.5,4.8,76.077,-52.771,65.949,0.560,-0.389,0.486,0.547
0.088889,9.544,2.521,0.730,1.861,0.842,1.208,-56.9,49.5,4.8,76.090,-52.760,65.958,0.560,-0.389,0.486,0.547
0.093333,9.551,2.457,0.803,0.988,0.505,0.877,-56.9,49.5,4.8,76.094,-52.750,65.964,0.560,-0.388,0.486,0.547
0.097778,9.514,2.386,0.760,1.169,0.876,1.298,-56.8,49.5,4.8,76.096,-52.746,65.967,0.560,-0.388,0.486,0.547
0.102222,9.580,2.485,0.661,0.353,1.202,0.628,-56.4,49.5,4.9,76.099,-52.742,65.967,0.560,-0.388,0.486,0.547
0.106667,9.571,2.420,0.658,0.215,1.024,0.849,-56.0,49.5,5.0,76.102,-52.739,65.967,0.560,-0.388,0.486,0.547
0.111111,9.704,2.394,0.623,0.592,1.495,0.836,-55.7,49.5,5.0,76.106,-52.738,65.968,0.560,-0.388,0.486,0.547
0.115556,9.634,2.428,0.591,0.914,1.158,1.213,-55.8,49.3,4.2,76.111,-52.735,65.969,0.560,-0.388,0.486,0.547
0.120000,9.580,2.387,0.642,0.349,0.741,1.136,-56.0,49.2,3.4,76.115,-52.732,65.971,0.560,-0.388,0.486,0.547
0.124444,9.510,2.376,0.608,-0.131,1.160,0.950,-56.1,49.0,2.8,76.120,-52.730,65.973,0.561,-0.388,0.486,0.547
0.128889,9.553,2.400,0.588,0.126,0.888,0.793,-55.8,49.0,3.5,76.124,-52.728,65.973,0.561,-0.388,0.486,0.547
0.133333,9.506,2.345,0.677,-0.255,1.332,0.793,-55.4,48.9,4.1,76.126,-52.726,65.974,0.561,-0.388,0.486,0.547
0.137778,9.635,2.312,0.744,-0.577,0.954,0.871,-55.3,48.8,4.6,76.126,-52.725,65.977,0.561,-0.388,0.486,0.547
0.142222,9.563,2.427,0.711,-0.463,0.878,1.256,-56.0,48.4,4.2,76.127,-52.722,65.977,0.561,-0.388,0.486,0.547
0.146667,9.602,2.443,0.817,-0.585,0.976,1.263,-56.7,48.0,3.9,76.126,-52.718,65.977,0.561,-0.388,0.486,0.547
0.151111,9.592,2.348,0.798,-0.461,0.814,0.786,-57.3,47.8,3.6,76.124,-52.717,65.977,0.561,-0.388,0.486,0.547
0.155556,9.614,2.280,0.741,-0.323,0.316,0.904,-57.2,48.4,3.7,76.116,-52.724,65.970,0.561,-0.388,0.486,0.547
0.160000,9.638,2.354,0.732,-0.168,0.686,0.610,-57.1,48.9,3.8,76.108,-52.730,65.961,0.560,-0.388,0.486,0.547
0.164444,9.674,2.341,0.818,-0.154,1.034,0.587,-56.9,49.4,3.9,76.100,-52.734,65.955,0.560,-0.388,0.486,0.547
0.168889,9.635,2.364,0.696,0.043,0.955,1.105,-56.3,49.4,4.0,76.100,-52.733,65.955,0.560,-0.388,0.486,0.547
0.173333,9.578,2.344,0.735,0.528,1.238,1.140,-55.7,49.5,4.0,76.100,-52.732,65.956,0.560,-0.388,0.486,0.547
0.177778,9.633,2.328,0.773,0.119,1.133,0.960,-55.5,49.6,4.1,76.100,-52.730,65.959,0.560,-0.388,0.486,0.547
0.182222,9.676,2.404,0.689,1.000,0.735,1.342,-56.2,49.8,4.1,76.104,-52.727,65.962,0.560,-0.388,0.486,0.547
0.186667,9.681,2.471,0.768,1.668,0.691,1.181,-56.9,50.0,4.2,76.113,-52.720,65.969,0.560,-0.388,0.486,0.547
0.191111,9.669,2.506,0.784,1.482,0.749,1.106,-57.2,50.1,4.2,76.122,-52.711,65.976,0.561,-0.388,0.486,0.547
0.195556,9.636,2.456,0.751,1.151,0.745,1.434,-56.8,50.0,4.3,76.129,-52.705,65.983,0.561,-0.388,0.486,0.547
0.200000,9.618,2.424,0.666,0.893,0.804,1.159,-56.4,49.9,4.4,76.134,-52.700,65.987,0.561,-0.388,0.486,0.547
0.204444,9.669,2.470,0.671,0.714,0.540,1.230,-56.3,49.8,4.3,76.140,-52.694,65.990,0.561,-0.388,0.486,0.547
0.208889,9.649,2.533,0.718,0.707,0.672,1.488,-56.9,49.7,3.8,76.147,-52.688,65.995,0.561,-0.388,0.486,0.547
0.213333,9.560,2.509,0.730,0.937,0.556,1.608,-57.5,49.6,3.3,76.154,-52.682,65.999,0.561,-0.388,0.486,0.547
0.217778,9.589,2.441,0.737,0.430,0.863,1.724,-57.5,49.5,3.1,76.158,-52.676,66.003,0.561,-0.388,0.486,0.547
0.222222,9.578,2.426,0.675,-0.034,0.633,1.753,-56.6,49.6,3.3,76.163,-52.672,66.006,0.561,-0.388,0.486,0.547
