time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,-9.493,-0.222,1.947,-0.041,0.793,-0.758,3.5,38.5,5.0,100.116,24.181,-123.761,0.613,0.148,-0.758,0.165
0.004444,-9.421,-0.176,1.979,-0.521,0.987,-0.829,3.8,39.0,5.6,100.119,24.175,-123.765,0.613,0.148,-0.758,0.165
0.008889,-9.463,-0.282,1.946,-0.329,0.549,-1.196,3.5,38.9,5.7,100.122,24.174,-123.768,0.613,0.148,-0.758,0.165
0.013333,-9.523,-0.172,1.919,-0.735,0.673,-0.643,2.9,38.6,5.8,100.124,24.172,-123.768,0.613,0.148,-0.758,0.165
0.017778,-9.499,-0.123,2.117,-0.854,0.238,-0.834,2.4,38.3,5.8,100.122,24.167,-123.770,0.613,0.148,-0.758,0.165
0.022222,-9.522,-0.291,2.137,-0.606,0.371,-0.766,2.2,38.1,5.4,100.116,24.171,-123.771,0.613,0.148,-0.758,0.165
0.026667,-9.533,-0.185,2.040,-0.799,0.527,-0.732,2.1,38.0,4.9,100.112,24.174,-123.768,0.613,0.148,-0.758,0.165
0.031111,-9.546,-0.240,2.056,-0.199,0.650,-1.286,2.0,37.8,4.4,100.107,24.179,-123.766,0.613,0.148,-0.758,0.165
0.035556,-9.512,-0.227,2.044,-0.365,0.671,-1.403,2.2,38.1,4.8,100.105,24.178,-123.767,0.613,0.148,-0.758,0.165
0.040000,-9.481,-0.224,1.968,-1.039,0.671,-1.352,2.4,38.5,5.5,100.107,24.176,-123.769,0.613,0.148,-0.758,0.165
0.044444,-9.428,-0.233,2.103,-0.852,0.671,-1.394,2.7,38.9,6.1,100.106,24.173,-123.774,0.613,0.148,-0.758,0.165
0.048889,-9.459,-0.162,2.078,-0.432,0.465,-1.094,3.0,38.8,5.8,100.102,24.172,-123.774,0.613,0.148,-0.758,0.165
0.053333,-9.446,-0.185,1.967,-0.678,0.531,-0.726,3.3,38.5,5.3,100.100,24.175,-123.771,0.613,0.148,-0.758,0.165
0.057778,-9.480,-0.163,2.076,-0.784,0.915,-0.619,3.7,38.3,4.9,100.095,24.176,-123.769,0.613,0.148,-0.758,0.165
0.062222,-9.535,-0.220,2.089,-0.636,0.976,-0.873,3.7,38.3,4.8,100.090,24.179,-123.767,0.613,0.148,-0.758,0.165
0.066667,-9.543,-0.188,2.046,-0.663,0.818,-0.968,3.6,38.3,4.8,100.089,24.176,-123.769,0.613,0.148,-0.758,0.165
0.071111,-9.464,-0.115,2.098,-0.618,1.006,-0.976,3.5,38.3,4.8,100.089,24.170,-123.773,0.613,0.148,-0.758,0.165
0.075556,-9.507,-0.219,2.040,-0.289,0.663,-0.388,3.1,38.3,5.3,100.090,24.165,-123.778,0.613,0.148,-0.758,0.165
0.080000,-9.565,-0.235,2.013,-0.943,0.503,-0.843,2.8,38.3,5.8,100.092,24.162,-123.781,0.613,0.148,-0.758,0.165
0.084444,-9.496,-0.269,2.037,-0.605,0.867,-0.483,2.4,38.4,6.4,100.093,24.160,-123.786,0.613,0.148,-0.758,0.165
0.088889,-9.486,-0.192,1.920,-1.039,0.698,-0.427,2.6,38.4,6.1,100.097,24.156,-123.788,0.613,0.148,-0.758,0.165
0.093333,-9.653,-0.281,2.009,-0.770,0.617,-0.701,2.9,38.4,5.7,100.094,24.162,-123.784,0.613,0.148,-0.758,0.165
0.097778,-9.500,-0.301,1.990,-0.897,0.720,-0.622,3.1,38.4,5.3,100.089,24.171,-123.779,0.613,0.148,-0.758,0.165
0.102222,-9.468,-0.228,2.022,-0.915,0.677,-0.555,2.9,38.8,5.3,100.082,24.178,-123.774,0.613,0.148,-0.758,0.165
0.106667,-9.532,-0.203,1.921,-0.748,0.560,-0.938,2.6,39.3,5.4,100.083,24.180,-123.771,0.613,0.148,-0.758,0.165
0.111111,-9.323,-0.249,1.933,-0.620,0.549,-0.641,2.3,39.7,5.5,100.084,24.180,-123.772,0.613,0.148,-0.758,0.165
0.115556,-9.507,-0.245,2.089,-1.116,0.830,-0.779,2.4,39.2,5.4,100.082,24.180,-123.775,0.613,0.148,-0.758,0.165
0.120000,-9.440,-0.147,2.075,-0.820,0.854,-0.906,2.6,38.7,5.2,100.080,24.176,-123.777,0.613,0.148,-0.758,0.165
0.124444,-9.339,-0.170,2.091,-0.793,0.741,-1.029,2.8,38.1,5.0,100.078,24.172,-123.780,0.613,0.148,-0.758,0.165
0.128889,-9.395,-0.199,1.976,-1.422,0.446,-1.666,2.8,38.2,5.3,100.079,24.170,-123.782,0.613,0.148,-0.758,0.165
0.133333,-9.355,-0.305,1.991,-0.832,0.312,-0.789,2.8,38.4,5.7,100.079,24.170,-123.785,0.613,0.148,-0.758,0.165
0.137778,-9.388,-0.293,2.078,-0.562,0.478,-1.137,2.7,38.5,6.1,100.077,24.170,-123.790,0.613,0.148,-0.758,0.165
0.142222,-9.367,-0.146,2.092,-0.607,1.069,-0.811,2.7,38.2,5.3,100.075,24.166,-123.792,0.613,0.148,-0.758,0.165
0.146667,-9.458,-0.217,2.125,-0.785,0.631,-1.027,2.8,37.8,4.4,100.072,24.164,-123.796,0.613,0.148,-0.758,0.165
0.151111,-9.361,-0.202,2.029,-1.204,0.669,-0.040,2.8,37.4,3.5,100.068,24.166,-123.794,0.613,0.148,-0.758,0.165
0.155556,-9.449,-0.196,1.933,-0.099,0.789,-0.413,2.6,37.9,4.5,100.066,24.170,-123.789,0.613,0.148,-0.758,0.165
0.160000,-9.531,-0.164,2.000,-0.358,1.031,-0.664,2.4,38.5,5.6,100.062,24.174,-123.785,0.613,0.148,-0.758,0.165
0.164444,-9.571,-0.214,1.988,-0.426,0.918,-0.969,2.1,39.1,6.7,100.066,24.168,-123.789,0.613,0.148,-0.758,0.165
0.168889,-9.464,-0.225,1.978,-0.427,0.676,-0.677,1.6,39.0,6.7,100.072,24.161,-123.796,0.613,0.148,-0.758,0.165
0.173333,-9.405,-0.239,2.006,0.356,0.972,-0.671,1.0,38.8,6.7,100.077,24.153,-123.804,0.613,0.148,-0.758,0.165
0.177778,-9.471,-0.296,1.978,-0.421,0.976,-0.792,0.5,38.6,6.6,100.074,24.159,-123.801,0.613,0.148,-0.758,0.165
0.182222,-9.639,-0.263,1.992,-0.123,1.341,-0.976,0.5,38.6,6.6,100.069,24.167,-123.796,0.613,0.148,-0.758,0.165
0.186667,-9.520,-0.344,2.007,0.122,0.793,-0.976,0.5,38.6,6.6,100.064,24.178,-123.791,0.613,0.148,-0.758,0.165
0.191111,-9.585,-0.149,2.106,0.118,0.548,-0.672,0.5,38.6,6.6,100.054,24.185,-123.783,0.613,0.148,-0.758,0.165
0.195556,-9.429,-0.249,1.989,-0.364,0.426,-0.789,1.5,38.8,5.8,100.046,24.196,-123.775,0.613,0.148,-0.758,0.165
0.200000,-9.521,-0.235,2.096,-0.189,0.376,-0.437,2.5,39.1,5.1,100.036,24.206,-123.768,0.613,0.148,-0.758,0.165
0.204444,-9.589,-0.226,2.010,-0.530,0.913,-0.971,3.4,39.3,4.4,100.028,24.216,-123.759,0.613,0.148,-0.758,0.165
