time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,1.452,-8.482,5.247,-0.218,0.087,-0.440,2.6,-12.4,31.0,3.225,-82.748,145.456,0.019,-0.491,0.864,0.110
0.004444,1.442,-8.470,5.235,-0.917,0.332,-0.488,2.6,-12.4,31.0,3.218,-82.743,145.447,0.019,-0.491,0.864,0.110
0.008889,1.357,-8.447,5.146,-0.947,0.013,-0.740,2.1,-12.7,31.0,3.206,-82.739,145.437,0.019,-0.491,0.864,0.110
0.013333,1.365,-8.426,5.048,-0.915,-0.061,-1.151,1.4,-12.9,31.0,3.195,-82.737,145.425,0.019,-0.491,0.864,0.110
0.017778,1.386,-8.504,5.175,-0.864,-0.630,-0.755,0.8,-13.2,31.0,3.184,-82.733,145.414,0.019,-0.491,0.864,0.110
0.022222,1.417,-8.477,5.036,-0.749,0.159,-0.566,0.7,-13.1,31.1,3.181,-82.736,145.409,0.019,-0.491,0.864,0.110
0.026667,1.443,-8.442,5.196,-0.573,0.040,-0.708,0.6,-13.0,31.1,3.182,-82.734,145.409,0.019,-0.491,0.864,0.110
0.031111,1.446,-8.446,5.182,-1.141,0.054,-0.894,0.5,-12.9,31.2,3.183,-82.734,145.409,0.019,-0.491,0.864,0.110
0.035556,1.420,-8.498,5.095,-0.730,-0.484,-1.079,0.6,-12.8,31.2,3.185,-82.737,145.409,0.019,-0.491,0.864,0.110
0.040000,1.374,-8.348,5.137,-0.781,-0.053,-0.823,0.8,-12.6,31.3,3.187,-82.738,145.413,0.019,-0.491,0.864,0.110
0.044444,1.334,-8.441,5.108,-1.128,0.112,-1.184,1.0,-12.5,31.3,3.187,-82.740,145.416,0.019,-0.491,0.864,0.110
0.048889,1.393,-8.443,5.264,-0.312,-0.273,-0.373,1.0,-12.6,31.3,3.187,-82.738,145.418,0.019,-0.491,0.864,0.110
0.053333,1.430,-8.446,5.178,-0.130,0.381,-0.648,1.0,-12.7,31.3,3.187,-82.737,145.417,0.019,-0.491,0.864,0.110
0.057778,1.491,-8.451,5.153,-0.353,-0.151,-0.613,0.9,-12.9,31.2,3.189,-82.737,145.416,0.019,-0.491,0.864,0.110
0.062222,1.398,-8.461,5.189,-0.425,0.110,-0.376,0.7,-12.6,31.0,3.188,-82.737,145.416,0.019,-0.491,0.864,0.110
0.066667,1.398,-8.494,5.149,-0.131,-0.233,-0.781,0.5,-12.3,30.8,3.187,-82.738,145.415,0.019,-0.491,0.864,0.110
0.071111,1.285,-8.448,5.176,-0.421,-0.005,-1.033,0.3,-12.0,30.6,3.184,-82.738,145.417,0.019,-0.491,0.864,0.110
0.075556,1.445,-8.499,5.195,-0.791,0.303,-0.674,0.6,-12.0,30.6,3.188,-82.739,145.420,0.019,-0.491,0.864,0.110
0.080000,1.408,-8.452,5.248,-0.914,0.243,-0.855,0.9,-12.1,30.5,3.192,-82.739,145.426,0.019,-0.491,0.864,0.110
0.084444,1.465,-8.491,5.181,-0.487,-0.062,-1.031,1.2,-12.2,30.4,3.198,-82.741,145.430,0.019,-0.491,0.864,0.110
0.088889,1.449,-8.557,5.169,-0.429,-0.138,-0.636,1.3,-12.5,30.2,3.203,-82.745,145.434,0.019,-0.491,0.864,0.110
0.093333,1.366,-8.560,5.250,-0.502,-0.703,-1.539,1.4,-12.9,30.0,3.201,-82.744,145.434,0.019,-0.491,0.864,0.110
0.097778,1.391,-8.507,5.170,-0.831,0.070,-0.335,1.5,-13.2,29.9,3.198,-82.744,145.433,0.019,-0.491,0.864,0.110
