time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.424,2.476,-0.804,2.401,1.143,-1.197,-49.9,19.7,62.5,98.258,-41.162,77.731,0.680,-0.285,0.538,0.408
0.004444,9.378,2.441,-0.789,1.996,1.000,-0.378,-49.8,20.0,62.4,98.252,-41.167,77.726,0.680,-0.285,0.538,0.408
0.008889,9.352,2.472,-0.746,1.831,1.214,-0.546,-50.4,20.1,62.1,98.248,-41.166,77.726,0.680,-0.285,0.538,0.408
0.013333,9.353,2.465,-0.850,1.749,1.221,-1.010,-50.9,20.2,61.9,98.248,-41.165,77.724,0.680,-0.285,0.538,0.408
0.017778,9.367,2.369,-0.765,1.062,1.658,-0.772,-51.3,20.3,61.7,98.246,-41.166,77.726,0.680,-0.285,0.538,0.408
0.022222,9.392,2.552,-0.845,0.763,1.266,-0.572,-50.9,20.3,61.8,98.247,-41.162,77.725,0.680,-0.285,0.538,0.408
0.026667,9.493,2.422,-0.746,0.533,1.143,-0.337,-50.6,20.3,62.0,98.245,-41.160,77.728,0.680,-0.285,0.538,0.408
0.031111,9.379,2.461,-0.865,0.326,1.037,-0.549,-50.3,20.2,62.1,98.246,-41.158,77.728,0.680,-0.285,0.538,0.408
0.035556,9.383,2.529,-0.848,-0.244,1.169,-0.514,-50.8,20.0,62.0,98.247,-41.154,77.728,0.680,-0.285,0.538,0.408
0.040000,9.474,2.406,-0.808,0.076,1.824,-0.379,-51.2,19.8,62.0,98.247,-41.152,77.730,0.680,-0.285,0.538,0.408
0.044444,9.423,2.458,-0.764,-0.221,1.118,-0.726,-51.6,19.7,62.0,98.246,-41.151,77.732,0.680,-0.285,0.538,0.408
0.048889,9.383,2.361,-0.872,-0.347,1.200,-0.456,-51.9,20.1,62.1,98.241,-41.159,77.727,0.680,-0.285,0.538,0.408
0.053333,9.439,2.367,-0.924,0.061,1.171,-0.895,-52.1,20.5,62.2,98.239,-41.164,77.724,0.680,-0.285,0.538,0.408
0.057778,9.432,2.406,-0.824,0.104,1.439,-0.761,-52.2,20.8,62.2,98.236,-41.167,77.722,0.680,-0.285,0.538,0.408
0.062222,9.462,2.447,-0.887,0.272,1.127,-0.610,-51.5,20.6,62.1,98.234,-41.170,77.719,0.680,-0.285,0.538,0.408
0.066667,9.402,2.457,-0.832,0.215,1.456,-0.552,-50.7,20.3,62.0,98.234,-41.169,77.718,0.680,-0.285,0.538,0.408
0.071111,9.349,2.335,-0.782,0.682,1.207,-0.377,-50.1,20.1,62.0,98.233,-41.169,77.721,0.680,-0.285,0.538,0.408
0.075556,9.438,2.412,-0.840,1.088,1.528,-0.671,-50.1,19.9,62.3,98.233,-41.168,77.722,0.680,-0.285,0.538,0.408
0.080000,9.504,2.429,-0.821,1.577,1.834,-0.594,-50.1,19.8,62.5,98.233,-41.167,77.725,0.680,-0.285,0.538,0.408
0.084444,9.408,2.396,-0.860,1.704,1.292,-0.305,-50.2,19.7,62.5,98.234,-41.166,77.726,0.680,-0.285,0.538,0.408
0.088889,9.479,2.438,-0.845,1.546,1.620,-0.332,-50.5,20.1,61.5,98.235,-41.165,77.727,0.680,-0.285,0.538,0.408
0.093333,9.487,2.363,-0.896,1.732,1.098,-0.469,-50.8,20.4,60.6,98.233,-41.169,77.726,0.680,-0.285,0.538,0.408
0.097778,9.431,2.327,-0.960,1.476,1.199,-0.596,-50.9,20.6,60.0,98.233,-41.175,77.723,0.680,-0.285,0.538,0.408
0.102222,9.424,2.337,-0.904,1.634,1.481,-0.623,-50.3,20.1,60.5,98.233,-41.178,77.723,0.680,-0.285,0.538,0.408
0.106667,9.402,2.327,-0.894,1.464,1.251,-0.748,-49.8,19.7,61.1,98.240,-41.172,77.731,0.680,-0.285,0.538,0.408
0.111111,9.415,2.340,-0.860,1.475,1.055,-0.443,-49.5,19.4,61.6,98.247,-41.163,77.742,0.680,-0.285,0.538,0.408
0.115556,9.318,2.367,-0.848,1.057,1.330,-0.536,-50.2,19.7,62.1,98.253,-41.155,77.749,0.680,-0.285,0.538,0.408
0.120000,9.436,2.428,-0.910,1.232,1.382,-0.622,-50.8,20.0,62.5,98.256,-41.154,77.750,0.680,-0.285,0.538,0.408
0.124444,9.353,2.352,-0.848,1.132,1.109,-0.606,-51.2,20.2,62.8,98.256,-41.154,77.752,0.680,-0.285,0.538,0.408
0.128889,9.335,2.346,-0.911,1.238,1.097,-0.829,-51.0,19.9,62.7,98.257,-41.156,77.752,0.680,-0.285,0.538,0.408
0.133333,9.281,2.402,-0.876,1.158,1.315,-0.751,-50.7,19.7,62.5,98.258,-41.156,77.751,0.680,-0.285,0.538,0.408
0.137778,9.302,2.378,-0.845,0.746,1.207,-1.116,-50.5,19.6,62.4,98.256,-41.159,77.749,0.680,-0.285,0.538,0.408
0.142222,9.371,2.421,-0.809,0.673,1.317,-1.030,-50.5,19.8,62.3,98.253,-41.160,77.747,0.680,-0.285,0.538,0.408
0.146667,9.420,2.472,-0.900,0.759,0.995,-0.789,-50.4,20.0,62.3,98.251,-41.163,77.743,0.680,-0.285,0.538,0.408
0.151111,9.371,2.532,-0.892,0.347,1.153,-1.166,-50.3,20.3,62.3,98.250,-41.165,77.737,0.680,-0.285,0.538,0.408
0.155556,9.352,2.435,-0.843,1.177,1.423,-1.354,-50.1,20.8,62.4,98.246,-41.168,77.733,0.680,-0.285,0.538,0.408
0.160000,9.341,2.399,-0.836,1.202,1.444,-0.670,-49.8,21.3,62.6,98.244,-41.171,77.731,0.680,-0.285,0.538,0.408
0.164444,9.294,2.370,-0.859,0.854,1.281,-0.732,-49.8,21.6,62.4,98.244,-41.172,77.730,0.680,-0.285,0.538,0.408
0.168889,9.340,2.386,-0.849,0.690,1.163,-0.736,-50.3,21.5,61.5,98.243,-41.172,77.731,0.680,-0.285,0.538,0.408
0.173333,9.474,2.438,-0.806,0.419,1.361,-0.763,-50.8,21.4,60.6,98.244,-41.169,77.733,0.680,-0.285,0.538,0.408
0.177778,9.409,2.412,-0.765,0.191,1.368,-0.431,-51.2,21.3,60.0,98.247,-41.162,77.741,0.680,-0.285,0.538,0.408
0.182222,9.412,2.428,-0.790,0.449,1.503,-0.483,-51.2,21.3,60.0,98.252,-41.153,77.749,0.680,-0.285,0.538,0.408
0.186667,9.358,2.451,-0.807,0.556,1.510,-0.411,-51.2,21.3,60.0,98.258,-41.142,77.757,0.680,-0.285,0.538,0.408
0.191111,9.385,2.395,-0.897,0.671,1.403,-0.419,-51.1,21.1,60.2,98.268,-41.130,77.768,0.680,-0.285,0.538,0.408
0.195556,9.389,2.319,-0.856,0.578,1.355,-0.352,-51.0,20.5,60.9,98.277,-41.119,77.781,0.680,-0.285,0.538,0.407
0.200000,9.346,2.347,-0.848,0.522,1.580,-0.451,-50.9,20.0,61.6,98.287,-41.107,77.793,0.680,-0.285,0.539,0.407
0.204444,9.353,2.387,-0.909,0.526,1.281,-0.416,-50.7,19.8,61.9,98.294,-41.100,77.800,0.680,-0.285,0.539,0.407
0.208889,9.386,2.344,-0.909,0.379,1.306,-0.182,-50.3,20.2,61.9,98.295,-41.102,77.800,0.680,-0.285,0.539,0.407
0.213333,9.498,2.361,-0.902,0.463,1.168,-0.324,-49.9,20.6,61.9,98.294,-41.106,77.799,0.680,-0.285,0.539,0.407
0.217778,9.482,2.307,-0.945,0.300,1.143,-0.895,-49.8,20.6,61.8,98.296,-41.109,77.801,0.680,-0.285,0.539,0.407
0.222222,9.391,2.266,-0.915,0.405,1.387,-0.909,-50.0,20.1,61.4,98.301,-41.107,77.807,0.680,-0.285,0.539,0.407
0.226667,9.379,2.370,-0.919,0.793,1.543,-0.497,-50.3,19.6,61.0,98.307,-41.102,77.812,0.681,-0.285,0.539,0.407
0.231111,9.360,2.422,-0.910,0.979,1.600,-0.528,-50.5,19.3,61.1,98.311,-41.098,77.815,0.681,-0.284,0.539,0.407
0.235556,9.322,2.368,-0.908,1.113,1.382,-1.057,-50.7,19.3,61.8,98.313,-41.097,77.816,0.681,-0.284,0.539,0.407
0.240000,9.330,2.389,-0.955,1.223,1.422,-0.749,-50.9,19.2,62.5,98.316,-41.097,77.815,0.681,-0.284,0.539,0.407
0.244444,9.341,2.427,-0.904,1.553,1.359,-0.522,-50.9,19.4,62.8,98.316,-41.100,77.812,0.681,-0.284,0.539,0.407
0.248889,9.301,2.404,-0.820,1.727,1.497,-0.967,-50.7,19.9,62.6,98.310,-41.106,77.806,0.681,-0.285,0.539,0.407
0.253333,9.367,2.404,-0.831,1.949,1.207,-1.070,-50.5,20.3,62.4,98.303,-41.114,77.799,0.681,-0.285,0.539,0.407
0.257778,9.401,2.445,-0.855,2.043,1.263,-0.979,-50.5,20.3,62.2,98.300,-41.118,77.795,0.680,-0.285,0.539,0.407
0.262222,9.431,2.455,-0.870,1.898,1.648,-0.798,-50.7,19.9,62.0,98.301,-41.116,77.795,0.680,-0.285,0.539,0.407
0.266667,9.411,2.458,-0.805,1.917,1.409,-0.701,-50.9,19.4,61.8,98.302,-41.112,77.797,0.680,-0.285,0.539,0.407
0.271111,9.363,2.469,-0.776,1.894,1.190,-0.883,-51.0,19.3,61.7,98.302,-41.108,77.799,0.680,-0.285,0.539,0.407
0.275556,9.388,2.459,-0.776,1.892,1.526,-0.823,-51.1,19.7,61.8,98.300,-41.107,77.799,0.680,-0.285,0.539,0.407
0.280000,9.381,2.514,-0.744,2.167,1.800,-0.517,-51.1,20.0,61.9,98.295,-41.107,77.796,0.680,-0.285,0.539,0.407
0.284444,9.355,2.501,-0.740,2.103,1.927,-0.521,-51.3,20.0,62.0,98.290,-41.108,77.793,0.680,-0.285,0.539,0.407
0.288889,9.318,2.484,-0.717,1.791,1.979,-0.769,-51.5,19.8,62.0,98.285,-41.108,77.791,0.680,-0.285,0.539,0.407
0.293333,9.399,2.522,-0.750,1.812,1.827,-0.819,-51.7,19.6,62.1,98.282,-41.106,77.790,0.680,-0.285,0.539,0.407
0.297778,9.374,2.515,-0.804,1.851,1.639,-0.732,-51.2,19.6,62.2,98.281,-41.104,77.788,0.680,-0.285,0.539,0.407
0.302222,9.359,2.474,-0.826,1.510,1.559,-0.567,-50.2,19.9,62.5,98.279,-41.105,77.785,0.680,-0.285,0.539,0.407
0.306667,9.400,2.444,-0.837,1.309,1.620,-0.093,-49.2,20.1,62.7,98.275,-41.109,77.781,0.680,-0.285,0.539,0.408
0.311111,9.353,2.427,-0.855,1.112,1.715,-0.088,-48.9,20.3,62.5,98.271,-41.113,77.776,0.680,-0.285,0.538,0.408
0.315556,9.357,2.469,-0.874,0.805,1.667,-0.237,-49.2,20.4,62.0,98.270,-41.115,77.773,0.680,-0.285,0.538,0.408
0.320000,9.405,2.433,-0.866,0.463,1.483,-0.218,-49.5,20.5,61.4,98.271,-41.114,77.773,0.680,-0.285,0.538,0.408
0.324444,9.421,2.375,-0.821,0.445,1.509,-0.524,-49.7,20.4,61.4,98.271,-41.113,77.776,0.680,-0.285,0.538,0.408
0.328889,9.461,2.433,-0.810,0.443,1.480,-0.732,-49.7,20.2,61.8,98.273,-41.108,77.780,0.680,-0.285,0.539,0.408
0.333333,9.398,2.439,-0.885,0.008,1.439,-0.625,-49.8,20.0,62.2,98.279,-41.101,77.785,0.680,-0.285,0.539,0.408
0.337778,9.395,2.416,-0.866,-0.027,1.356,-0.803,-49.9,20.0,62.7,98.284,-41.094,77.792,0.680,-0.284,0.539,0.407
0.342222,9.406,2.487,-0.870,0.122,1.172,-0.830,-50.1,20.0,63.1,98.290,-41.086,77.797,0.680,-0.284,0.539,0.407
0.346667,9.397,2.495,-0.906,-0.137,0.876,-0.584,-50.3,20.1,63.6,98.293,-41.084,77.795,0.680,-0.284,0.539,0.407
0.351111,9.384,2.480,-0.892,-0.155,0.882,-0.825,-50.4,19.9,63.4,98.293,-41.085,77.792,0.680,-0.284,0.539,0.407
0.355556,9.430,2.470,-0.831,-0.969,0.976,-0.697,-50.4,19.5,62.9,98.289,-41.089,77.787,0.680,-0.284,0.539,0.407
0.360000,9.443,2.494,-0.800,-0.952,0.900,-0.488,-50.4,19.0,62.4,98.281,-41.097,77.778,0.680,-0.285,0.538,0.408
0.364444,9.428,2.502,-0.800,-0.379,1.125,-0.758,-50.5,19.2,62.4,98.275,-41.102,77.771,0.680,-0.285,0.538,0.408
0.368889,9.398,2.443,-0.794,-0.400,1.398,-0.954,-50.7,19.6,62.6,98.267,-41.107,77.764,0.680,-0.285,0.538,0.408
0.373333,9.325,2.491,-0.815,-0.409,1.228,-0.819,-50.9,20.1,62.8,98.260,-41.112,77.756,0.680,-0.285,0.538,0.408
0.377778,9.322,2.471,-0.853,-0.048,1.377,-0.772,-50.9,20.3,62.6,98.255,-41.117,77.749,0.680,-0.285,0.538,0.408
0.382222,9.416,2.437,-0.841,0.162,1.244,-0.914,-50.7,20.4,62.1,98.250,-41.124,77.743,0.680,-0.285,0.538,0.408
0.386667,9.387,2.393,-0.927,-0.182,1.180,-1.261,-50.5,20.5,61.7,98.246,-41.130,77.734,0.680,-0.285,0.538,0.408
0.391111,9.381,2.402,-0.919,-0.161,1.220,-1.198,-50.4,20.5,61.5,98.245,-41.133,77.729,0.680,-0.285,0.538,0.408
0.395556,9.460,2.343,-0.881,0.146,0.889,-0.933,-50.4,20.5,61.5,98.243,-41.138,77.728,0.680,-0.285,0.538,0.408
0.400000,9.373,2.305,-0.840,0.369,0.941,-1.021,-50.4,20.5,61.5,98.244,-41.138,77.732,0.680,-0.285,0.538,0.408
0.404444,9.378,2.363,-0.887,0.216,1.417,-1.141,-50.7,20.3,61.9,98.248,-41.135,77.736,0.680,-0.285,0.538,0.408
0.408889,9.388,2.326,-0.841,0.718,1.288,-1.159,-51.1,19.9,62.5,98.251,-41.132,77.742,0.680,-0.285,0.538,0.408
0.413333,9.458,2.349,-0.853,0.718,1.288,-1.245,-51.5,19.5,63.1,98.254,-41.128,77.748,0.680,-0.285,0.538,0.408
0.417778,9.501,2.404,-0.899,0.827,1.559,-1.195,-51.5,19.2,62.8,98.253,-41.133,77.745,0.680,-0.285,0.538,0.408
0.422222,9.481,2.377,-0.917,1.309,1.341,-0.722,-51.3,19.0,62.2,98.247,-41.143,77.738,0.680,-0.285,0.538,0.408
0.426667,9.485,2.357,-0.951,1.244,1.353,-0.682,-51.1,18.8,61.5,98.242,-41.155,77.729,0.680,-0.285,0.538,0.408
