time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,-9.545,-0.067,1.763,-1.030,0.285,-0.788,2.9,39.7,3.8,104.255,19.270,-125.653,0.628,0.116,-0.757,0.136
0.004444,-9.540,0.010,1.729,-1.017,0.346,-0.576,2.9,40.0,3.5,104.254,19.272,-125.649,0.628,0.116,-0.757,0.136
0.008889,-9.552,0.070,1.731,-0.723,0.577,-0.831,2.9,40.3,2.5,104.252,19.273,-125.643,0.628,0.116,-0.757,0.136
0.013333,-9.597,0.049,1.742,-0.544,0.610,-1.015,2.9,40.5,1.6,104.250,19.276,-125.637,0.628,0.116,-0.757,0.136
0.017778,-9.573,-0.033,1.717,-0.807,0.610,-1.084,2.8,40.6,1.6,104.254,19.272,-125.638,0.628,0.116,-0.757,0.136
0.022222,-9.495,-0.068,1.707,-1.094,0.382,-1.196,2.6,40.4,2.7,104.265,19.259,-125.648,0.628,0.116,-0.757,0.136
0.026667,-9.543,-0.012,1.770,-1.016,0.381,-0.868,2.4,40.2,3.8,104.275,19.242,-125.660,0.628,0.116,-0.757,0.136
0.031111,-9.577,-0.094,1.798,-1.087,0.584,-0.814,2.3,39.9,4.0,104.280,19.236,-125.666,0.628,0.116,-0.757,0.135
0.035556,-9.561,-0.122,1.761,-1.049,0.488,-0.979,2.5,39.7,3.2,104.277,19.244,-125.662,0.628,0.116,-0.757,0.136
0.040000,-9.589,-0.088,1.777,-0.881,0.399,-0.886,2.6,39.4,2.4,104.272,19.252,-125.656,0.628,0.116,-0.757,0.136
0.044444,-9.579,-0.106,1.827,-0.827,0.515,-0.884,2.6,39.5,2.1,104.270,19.256,-125.656,0.628,0.116,-0.757,0.136
0.048889,-9.610,-0.084,1.743,-0.641,0.459,-0.764,2.3,39.8,2.4,104.274,19.252,-125.659,0.628,0.116,-0.757,0.136
0.053333,-9.649,-0.060,1.734,-0.886,0.336,-0.886,1.9,40.2,2.7,104.280,19.246,-125.663,0.628,0.116,-0.757,0.135
0.057778,-9.595,-0.002,1.798,-0.913,0.395,-0.819,1.9,40.3,2.8,104.283,19.240,-125.666,0.628,0.116,-0.757,0.135
0.062222,-9.559,-0.003,1.818,-0.763,0.368,-0.863,2.0,40.1,2.6,104.284,19.236,-125.668,0.628,0.116,-0.757,0.135
0.066667,-9.561,0.014,1.779,-0.793,0.490,-0.810,2.1,40.0,2.5,104.285,19.232,-125.669,0.628,0.116,-0.757,0.135
0.071111,-9.481,-0.040,1.766,-0.730,0.422,-0.809,2.4,39.6,2.5,104.286,19.230,-125.670,0.628,0.116,-0.757,0.135
0.075556,-9.466,-0.165,1.704,-0.285,0.402,-0.773,2.9,39.1,2.8,104.290,19.230,-125.673,0.628,0.116,-0.757,0.135
0.080000,-9.488,-0.181,1.693,-0.329,0.845,-0.427,3.4,38.6,3.0,104.295,19.230,-125.676,0.628,0.116,-0.757,0.135
0.084444,-9.468,-0.144,1.765,-0.638,0.766,-0.591,3.3,38.6,3.4,104.298,19.228,-125.681,0.628,0.116,-0.757,0.135
0.088889,-9.458,-0.163,1.764,-0.511,0.129,-0.567,2.7,39.0,3.9,104.299,19.229,-125.683,0.628,0.116,-0.757,0.135
0.093333,-9.546,-0.136,1.791,-0.527,0.078,-0.728,2.1,39.4,4.4,104.298,19.233,-125.683,0.628,0.116,-0.757,0.135
