time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.732,-0.598,-0.584,0.420,-1.111,-0.936,-98.2,-5.2,-8.6,-110.614,-31.467,-102.053,-0.701,-0.199,-0.646,0.227
0.004444,9.794,-0.495,-0.666,0.797,-1.197,-0.788,-98.6,-5.2,-8.3,-110.615,-31.471,-102.052,-0.701,-0.199,-0.646,0.227
0.008889,9.765,-0.549,-0.593,1.159,-1.186,-1.058,-98.9,-5.3,-8.3,-110.614,-31.473,-102.053,-0.701,-0.199,-0.646,0.227
0.013333,9.682,-0.606,-0.591,0.586,-0.919,-1.070,-98.9,-5.5,-8.6,-110.613,-31.473,-102.052,-0.701,-0.199,-0.646,0.227
0.017778,9.704,-0.611,-0.627,0.375,-0.580,-1.136,-98.9,-5.6,-9.0,-110.615,-31.471,-102.052,-0.701,-0.199,-0.646,0.227
0.022222,9.695,-0.563,-0.627,0.765,-0.449,-1.242,-98.9,-5.7,-9.2,-110.619,-31.467,-102.055,-0.701,-0.199,-0.646,0.227
0.026667,9.637,-0.546,-0.612,0.493,-0.606,-1.098,-98.9,-5.7,-9.2,-110.624,-31.463,-102.059,-0.701,-0.199,-0.646,0.227
0.031111,9.710,-0.527,-0.631,0.451,-0.889,-1.064,-98.9,-5.7,-9.2,-110.625,-31.463,-102.061,-0.701,-0.199,-0.646,0.227
0.035556,9.680,-0.549,-0.589,0.539,-1.022,-1.108,-98.7,-5.8,-9.0,-110.624,-31.466,-102.060,-0.701,-0.199,-0.646,0.227
0.040000,9.666,-0.645,-0.630,0.781,-1.098,-0.867,-98.5,-6.0,-8.8,-110.622,-31.468,-102.056,-0.701,-0.199,-0.646,0.227
0.044444,9.730,-0.646,-0.580,1.014,-0.533,-0.973,-98.3,-6.2,-8.6,-110.619,-31.470,-102.053,-0.701,-0.199,-0.646,0.227
0.048889,9.735,-0.566,-0.564,1.308,-0.299,-0.888,-98.4,-6.2,-8.8,-110.617,-31.473,-102.052,-0.701,-0.199,-0.646,0.227
0.053333,9.771,-0.616,-0.628,1.066,-0.406,-0.852,-98.6,-6.0,-9.1,-110.615,-31.476,-102.049,-0.701,-0.199,-0.646,0.227
0.057778,9.767,-0.571,-0.595,1.467,-0.836,-0.997,-98.8,-5.8,-9.5,-110.614,-31.478,-102.048,-0.701,-0.199,-0.646,0.227
0.062222,9.711,-0.543,-0.622,1.770,-0.660,-1.205,-98.9,-5.6,-9.6,-110.611,-31.484,-102.045,-0.701,-0.199,-0.646,0.227
0.066667,9.705,-0.520,-0.670,1.641,-0.617,-1.453,-98.9,-5.5,-9.7,-110.609,-31.492,-102.040,-0.701,-0.199,-0.646,0.227
0.071111,9.739,-0.611,-0.663,1.542,-0.803,-1.393,-99.0,-5.4,-9.7,-110.606,-31.498,-102.035,-0.701,-0.200,-0.646,0.227
0.075556,9.710,-0.552,-0.635,1.435,-0.674,-1.478,-99.0,-5.4,-9.8,-110.603,-31.505,-102.030,-0.701,-0.200,-0.646,0.227
0.080000,9.773,-0.568,-0.562,1.681,-1.211,-1.110,-98.9,-5.3,-9.8,-110.598,-31.511,-102.027,-0.701,-0.200,-0.646,0.227
0.084444,9.675,-0.618,-0.497,1.202,-1.025,-0.787,-98.9,-5.3,-9.9,-110.592,-31.515,-102.025,-0.701,-0.200,-0.646,0.227
0.088889,9.685,-0.494,-0.480,1.037,-0.674,-0.974,-98.9,-5.3,-9.7,-110.586,-31.522,-102.024,-0.701,-0.200,-0.646,0.227
0.093333,9.681,-0.498,-0.642,1.532,-1.055,-1.284,-98.9,-5.3,-9.4,-110.583,-31.530,-102.021,-0.701,-0.200,-0.646,0.227
0.097778,9.836,-0.638,-0.605,1.092,-0.654,-0.737,-98.9,-5.3,-9.2,-110.579,-31.535,-102.016,-0.701,-0.200,-0.646,0.227
0.102222,9.703,-0.508,-0.601,1.234,-0.755,-0.920,-99.0,-5.2,-9.4,-110.577,-31.540,-102.015,-0.701,-0.200,-0.646,0.227
