time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.897,-0.696,-0.717,-0.183,0.129,-0.067,-49.7,-19.6,-43.2,-68.261,-73.118,-58.406,-0.499,-0.535,-0.427,0.531
0.004444,9.786,-0.671,-0.680,-0.335,-0.114,-0.015,-49.7,-19.6,-43.2,-68.256,-73.121,-58.403,-0.499,-0.535,-0.427,0.531
0.008889,9.753,-0.664,-0.706,-0.770,-0.287,-0.084,-49.7,-19.6,-43.2,-68.252,-73.124,-58.400,-0.499,-0.535,-0.427,0.531
0.013333,9.810,-0.610,-0.659,-0.956,-0.266,0.019,-49.7,-19.8,-43.3,-68.248,-73.127,-58.401,-0.499,-0.535,-0.427,0.531
0.017778,9.799,-0.697,-0.709,-0.915,-0.506,-0.034,-49.7,-20.1,-43.6,-68.245,-73.129,-58.399,-0.499,-0.535,-0.427,0.531
0.022222,9.835,-0.719,-0.743,-0.871,-0.494,0.244,-49.8,-20.4,-43.9,-68.244,-73.131,-58.397,-0.499,-0.535,-0.427,0.531
0.026667,9.847,-0.715,-0.718,-0.908,-0.312,0.221,-50.0,-20.2,-44.1,-68.240,-73.134,-58.393,-0.499,-0.535,-0.427,0.531
0.031111,9.813,-0.757,-0.701,-1.122,0.017,-0.054,-50.4,-19.2,-44.0,-68.235,-73.137,-58.386,-0.499,-0.535,-0.427,0.531
0.035556,9.794,-0.719,-0.701,-1.135,-0.293,-0.084,-50.9,-18.3,-44.0,-68.228,-73.142,-58.380,-0.499,-0.535,-0.427,0.531
0.040000,9.801,-0.758,-0.736,-0.871,-0.391,0.326,-51.0,-18.0,-44.0,-68.228,-73.142,-58.378,-0.499,-0.535,-0.427,0.531
0.044444,9.794,-0.758,-0.594,-0.810,-0.453,0.261,-50.7,-18.6,-44.1,-68.236,-73.134,-58.388,-0.499,-0.535,-0.427,0.531
0.048889,9.892,-0.776,-0.644,-1.025,-0.569,0.393,-50.3,-19.3,-44.2,-68.247,-73.125,-58.399,-0.499,-0.535,-0.427,0.531
0.053333,9.930,-0.812,-0.672,-0.522,-0.450,0.206,-49.9,-19.6,-44.2,-68.255,-73.118,-58.405,-0.499,-0.535,-0.427,0.531
0.057778,9.802,-0.756,-0.652,-0.264,-0.126,0.138,-49.6,-19.4,-44.0,-68.255,-73.117,-58.406,-0.499,-0.535,-0.427,0.531
