time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,1.504,-8.509,5.028,-0.671,0.183,-1.098,5.5,-14.2,31.3,-7.526,-77.859,132.077,-0.048,-0.494,0.838,0.229
0.004444,1.550,-8.565,5.105,-0.728,0.128,-0.611,5.7,-13.8,31.2,-7.527,-77.858,132.072,-0.048,-0.494,0.838,0.229
0.008889,1.448,-8.473,5.189,-0.374,0.663,-0.677,5.9,-13.4,31.1,-7.530,-77.854,132.070,-0.048,-0.494,0.838,0.229
0.013333,1.535,-8.580,5.117,-0.728,0.297,-0.919,6.1,-13.1,31.1,-7.532,-77.852,132.064,-0.048,-0.494,0.837,0.229
0.017778,1.472,-8.553,5.184,-0.602,0.058,-1.019,6.3,-12.8,31.1,-7.536,-77.848,132.060,-0.048,-0.494,0.837,0.229
0.022222,1.303,-8.562,5.046,-0.451,-0.017,-0.603,6.2,-12.8,31.2,-7.545,-77.847,132.056,-0.048,-0.494,0.837,0.229
0.026667,1.414,-8.568,5.043,-0.838,-0.293,-0.508,6.1,-12.8,31.3,-7.549,-77.848,132.053,-0.048,-0.494,0.837,0.229
0.031111,1.567,-8.523,5.125,-0.591,-0.094,-0.817,5.9,-12.7,31.4,-7.549,-77.846,132.049,-0.048,-0.494,0.837,0.229
0.035556,1.527,-8.568,5.081,-0.388,0.174,-1.077,5.5,-12.7,31.5,-7.549,-77.847,132.046,-0.048,-0.494,0.837,0.229
0.040000,1.512,-8.448,5.091,-0.628,-0.513,-0.806,5.1,-12.6,31.6,-7.544,-77.847,132.050,-0.048,-0.494,0.837,0.229
0.044444,1.461,-8.574,5.102,-0.739,-0.062,-0.447,4.9,-12.9,31.8,-7.541,-77.850,132.055,-0.048,-0.494,0.837,0.229
0.048889,1.501,-8.489,5.099,-0.320,0.782,-1.047,4.8,-13.4,32.2,-7.536,-77.852,132.060,-0.048,-0.494,0.837,0.229
0.053333,1.453,-8.544,5.188,-0.443,-0.215,-0.728,4.7,-13.9,32.6,-7.532,-77.853,132.066,-0.048,-0.494,0.837,0.229
0.057778,1.469,-8.491,5.122,-0.488,-0.331,-0.976,5.0,-13.7,31.9,-7.527,-77.855,132.073,-0.048,-0.494,0.838,0.229
0.062222,1.501,-8.474,5.183,-0.226,0.253,-0.329,5.6,-13.2,30.7,-7.522,-77.854,132.078,-0.048,-0.494,0.838,0.229
0.066667,1.545,-8.495,5.091,-0.733,0.285,-0.773,6.1,-12.7,29.5,-7.524,-77.851,132.072,-0.048,-0.494,0.838,0.229
0.071111,1.562,-8.501,5.081,-0.535,0.172,-0.617,5.9,-13.0,30.2,-7.527,-77.849,132.063,-0.048,-0.494,0.837,0.229
0.075556,1.448,-8.529,5.038,-0.934,0.133,-0.469,5.7,-13.4,31.1,-7.534,-77.847,132.055,-0.048,-0.494,0.837,0.229
0.080000,1.447,-8.505,5.120,-0.512,0.256,-0.867,5.4,-13.8,31.9,-7.540,-77.843,132.050,-0.048,-0.494,0.837,0.229
0.084444,1.556,-8.488,5.036,-0.674,0.383,-0.556,6.0,-13.9,31.7,-7.538,-77.844,132.047,-0.048,-0.494,0.837,0.229
0.088889,1.496,-8.543,5.059,-0.740,-0.258,-0.230,6.5,-14.0,31.4,-7.538,-77.845,132.046,-0.048,-0.494,0.837,0.229
0.093333,1.437,-8.512,5.040,-0.249,-0.178,-0.497,6.9,-14.1,31.3,-7.541,-77.845,132.043,-0.048,-0.494,0.837,0.229
0.097778,1.504,-8.528,5.052,-0.494,0.155,-0.255,6.9,-14.0,31.5,-7.548,-77.842,132.032,-0.048,-0.494,0.837,0.230
0.102222,1.505,-8.547,5.003,0.015,-0.107,-0.718,6.9,-13.9,31.8,-7.557,-77.840,132.019,-0.048,-0.494,0.837,0.230
0.106667,1.529,-8.543,5.015,-0.316,-0.077,-0.887,6.7,-13.8,31.9,-7.564,-77.837,132.006,-0.048,-0.494,0.837,0.230
0.111111,1.566,-8.498,5.086,-0.653,0.012,-1.044,6.2,-13.9,31.8,-7.570,-77.833,131.995,-0.048,-0.494,0.837,0.230
0.115556,1.506,-8.530,5.031,-0.035,0.349,-1.046,5.6,-14.1,31.7,-7.576,-77.830,131.984,-0.048,-0.494,0.837,0.230
0.120000,1.462,-8.577,5.000,-0.017,0.251,-0.719,5.6,-13.8,31.3,-7.583,-77.830,131.976,-0.048,-0.494,0.837,0.230
0.124444,1.411,-8.566,5.071,-0.469,0.179,-0.920,6.1,-13.3,30.8,-7.587,-77.830,131.973,-0.048,-0.494,0.837,0.230
0.128889,1.437,-8.482,5.102,-0.486,-0.026,-0.676,6.5,-12.7,30.3,-7.589,-77.829,131.973,-0.048,-0.494,0.837,0.230
0.133333,1.541,-8.549,5.072,-0.509,-0.430,-0.689,6.6,-12.6,30.1,-7.590,-77.828,131.968,-0.048,-0.494,0.837,0.230
0.137778,1.481,-8.493,5.096,-0.326,0.121,-1.054,6.6,-12.6,30.1,-7.595,-77.825,131.961,-0.048,-0.494,0.837,0.230
0.142222,1.522,-8.505,5.080,-0.280,0.043,-0.689,6.6,-12.6,30.1,-7.600,-77.821,131.952,-0.048,-0.494,0.837,0.230
0.146667,1.469,-8.521,5.058,-0.189,0.055,-0.677,6.4,-12.6,30.4,-7.607,-77.818,131.943,-0.048,-0.494,0.837,0.230
0.151111,1.479,-8.485,5.070,-0.351,-0.015,-0.793,6.2,-12.7,30.8,-7.612,-77.815,131.936,-0.048,-0.494,0.837,0.230
0.155556,1.516,-8.465,5.111,-0.262,-0.151,-0.911,5.9,-12.8,31.0,-7.614,-77.813,131.932,-0.048,-0.494,0.837,0.230
0.160000,1.506,-8.476,5.079,-0.194,-0.295,-0.905,5.4,-12.9,30.8,-7.615,-77.811,131.928,-0.048,-0.494,0.837,0.230
0.164444,1.461,-8.503,5.133,-0.389,-0.100,-0.660,4.9,-13.1,30.5,-7.616,-77.810,131.928,-0.048,-0.494,0.837,0.230
0.168889,1.600,-8.590,5.073,-0.295,-0.091,-0.579,4.6,-13.3,30.3,-7.611,-77.813,131.929,-0.048,-0.494,0.837,0.230
0.173333,1.566,-8.621,5.054,-0.445,0.201,-0.628,5.0,-13.7,30.1,-7.606,-77.817,131.931,-0.048,-0.494,0.837,0.230
0.177778,1.476,-8.524,5.076,-0.495,0.117,-0.654,5.3,-14.0,29.9,-7.606,-77.817,131.931,-0.048,-0.494,0.837,0.230
0.182222,1.474,-8.542,5.041,-0.537,-0.094,-0.244,5.3,-14.1,29.8,-7.610,-77.817,131.925,-0.048,-0.494,0.837,0.230
0.186667,1.456,-8.531,5.023,-0.530,-0.061,-0.385,4.8,-13.9,29.7,-7.615,-77.816,131.918,-0.048,-0.494,0.837,0.230
0.191111,1.418,-8.492,5.044,-0.337,-0.177,-0.520,4.3,-13.6,29.6,-7.619,-77.816,131.916,-0.048,-0.494,0.837,0.231
0.195556,1.399,-8.547,5.102,-0.512,-0.246,-0.695,4.5,-13.4,29.9,-7.618,-77.817,131.920,-0.048,-0.494,0.837,0.230
0.200000,1.441,-8.559,5.133,-0.581,0.029,-0.764,5.3,-13.3,30.4,-7.616,-77.819,131.925,-0.048,-0.494,0.837,0.230
0.204444,1.530,-8.571,5.159,-0.705,0.028,-0.548,6.1,-13.2,30.9,-7.614,-77.818,131.925,-0.048,-0.494,0.837,0.230
0.208889,1.469,-8.529,5.125,-0.787,-0.120,-0.583,6.0,-13.1,31.1,-7.618,-77.815,131.920,-0.048,-0.494,0.837,0.230
0.213333,1.440,-8.511,5.064,-0.546,0.036,-0.833,5.7,-13.0,31.1,-7.624,-77.813,131.915,-0.048,-0.494,0.837,0.231
