time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,-9.554,-0.142,1.684,-0.320,0.336,-0.793,3.9,38.5,2.5,105.443,17.246,-127.799,0.629,0.103,-0.762,0.117
0.004444,-9.596,-0.083,1.729,-0.078,0.622,-1.222,3.4,38.9,2.0,105.441,17.253,-127.791,0.629,0.103,-0.762,0.117
0.008889,-9.555,-0.016,1.812,-0.162,0.281,-1.245,3.3,39.2,1.8,105.437,17.258,-127.785,0.629,0.103,-0.762,0.117
0.013333,-9.506,-0.056,1.768,0.163,0.619,-0.907,3.7,39.2,2.2,105.435,17.261,-127.780,0.629,0.103,-0.762,0.117
0.017778,-9.564,-0.075,1.787,-0.110,0.355,-1.187,4.2,39.3,2.7,105.438,17.258,-127.781,0.629,0.103,-0.762,0.117
0.022222,-9.536,-0.092,1.791,-0.278,0.488,-1.048,4.3,39.2,2.9,105.442,17.254,-127.783,0.629,0.103,-0.762,0.117
0.026667,-9.535,-0.138,1.794,-0.349,0.386,-0.915,3.5,38.9,2.4,105.445,17.252,-127.785,0.629,0.103,-0.762,0.117
0.031111,-9.515,-0.118,1.822,-0.079,0.209,-0.950,2.8,38.5,1.9,105.444,17.255,-127.784,0.629,0.103,-0.762,0.117
0.035556,-9.595,-0.138,1.853,0.205,0.587,-0.984,2.4,38.4,1.5,105.442,17.258,-127.783,0.629,0.103,-0.762,0.117
0.040000,-9.597,-0.196,1.804,-0.380,0.742,-0.746,2.8,38.8,1.3,105.442,17.263,-127.782,0.629,0.103,-0.762,0.117
0.044444,-9.491,-0.079,1.809,-0.140,0.256,-0.525,3.3,39.3,1.2,105.443,17.261,-127.783,0.629,0.103,-0.762,0.117
0.048889,-9.506,-0.011,1.756,-0.146,0.539,-0.722,3.5,39.6,1.2,105.446,17.257,-127.782,0.629,0.103,-0.762,0.117
0.053333,-9.555,-0.046,1.746,-0.213,0.717,-0.938,3.3,39.5,1.7,105.450,17.252,-127.783,0.629,0.103,-0.762,0.117
0.057778,-9.531,-0.052,1.798,-0.665,0.357,-0.912,3.1,39.4,2.2,105.457,17.241,-127.789,0.629,0.103,-0.762,0.117
0.062222,-9.508,-0.126,1.797,-0.935,0.096,-0.998,3.0,39.4,2.6,105.464,17.232,-127.797,0.629,0.103,-0.762,0.117
0.066667,-9.552,-0.165,1.839,-0.738,0.487,-0.895,2.9,39.6,2.7,105.469,17.227,-127.803,0.629,0.103,-0.762,0.117
0.071111,-9.620,0.019,1.874,-0.385,0.570,-0.774,2.9,39.8,2.8,105.467,17.224,-127.802,0.629,0.103,-0.762,0.117
0.075556,-9.576,-0.009,1.898,-0.753,0.488,-0.651,3.0,39.9,2.8,105.465,17.223,-127.801,0.629,0.103,-0.762,0.117
0.080000,-9.630,-0.131,1.857,-0.770,0.551,-0.815,3.5,39.8,2.5,105.463,17.225,-127.801,0.629,0.103,-0.762,0.117
0.084444,-9.563,-0.028,1.788,-0.720,0.713,-1.166,4.0,39.7,2.3,105.463,17.226,-127.797,0.629,0.103,-0.762,0.117
0.088889,-9.573,-0.015,1.728,-1.159,0.750,-1.397,4.2,39.5,2.2,105.463,17.227,-127.793,0.629,0.103,-0.762,0.117
0.093333,-9.524,-0.026,1.731,-1.116,0.867,-1.181,3.7,39.4,2.4,105.464,17.228,-127.788,0.629,0.103,-0.762,0.117
0.097778,-9.570,-0.047,1.798,-1.015,0.846,-1.220,3.2,39.2,2.7,105.464,17.228,-127.786,0.629,0.103,-0.762,0.117
0.102222,-9.588,-0.123,1.816,-1.043,0.339,-0.997,2.8,39.4,2.8,105.467,17.226,-127.788,0.629,0.103,-0.762,0.117
0.106667,-9.566,-0.117,1.821,-1.001,0.656,-0.520,2.8,39.9,2.7,105.469,17.222,-127.791,0.629,0.103,-0.762,0.117
0.111111,-9.529,-0.155,1.768,-0.778,0.617,-0.504,2.7,40.5,2.6,105.472,17.223,-127.792,0.629,0.103,-0.762,0.117
0.115556,-9.520,-0.178,1.786,-0.738,0.567,-0.686,2.6,40.8,2.4,105.471,17.229,-127.790,0.629,0.103,-0.762,0.117
0.120000,-9.538,-0.188,1.766,-0.620,0.463,-0.657,2.5,40.7,2.1,105.470,17.235,-127.786,0.629,0.103,-0.762,0.117
0.124444,-9.530,-0.119,1.792,-0.852,0.154,-0.899,2.3,40.6,1.7,105.469,17.239,-127.784,0.629,0.103,-0.762,0.117
0.128889,-9.503,-0.077,1.782,-0.916,0.343,-1.111,2.3,40.5,1.5,105.470,17.238,-127.783,0.629,0.103,-0.762,0.117
0.133333,-9.509,-0.145,1.800,-0.806,0.220,-0.890,2.3,40.5,1.5,105.472,17.238,-127.784,0.629,0.103,-0.762,0.117
0.137778,-9.533,-0.198,1.799,-0.841,0.515,-0.795,2.3,40.5,1.5,105.475,17.238,-127.788,0.629,0.103,-0.762,0.117
0.142222,-9.556,-0.134,1.771,-0.607,0.757,-0.976,2.5,40.4,1.5,105.480,17.233,-127.792,0.629,0.103,-0.762,0.117
0.146667,-9.531,-0.083,1.767,-0.580,0.641,-0.951,3.0,40.1,1.6,105.486,17.225,-127.796,0.629,0.103,-0.762,0.117
0.151111,-9.526,-0.082,1.771,-0.742,0.582,-0.864,3.6,39.8,1.6,105.492,17.218,-127.801,0.629,0.103,-0.762,0.117
0.155556,-9.522,-0.135,1.799,-0.645,0.793,-0.845,3.7,39.7,1.9,105.497,17.212,-127.806,0.629,0.103,-0.762,0.117
0.160000,-9.587,-0.126,1.785,-0.610,0.661,-0.810,3.2,40.0,2.5,105.503,17.207,-127.810,0.629,0.103,-0.762,0.116
0.164444,-9.602,-0.087,1.818,-0.610,0.621,-0.805,2.7,40.2,3.1,105.507,17.200,-127.815,0.629,0.103,-0.762,0.116
0.168889,-9.595,-0.065,1.740,-0.637,0.658,-1.003,2.6,40.3,3.4,105.511,17.198,-127.814,0.629,0.103,-0.762,0.116
0.173333,-9.582,-0.088,1.717,-0.562,0.570,-0.901,2.9,40.1,3.2,105.510,17.203,-127.808,0.629,0.103,-0.762,0.116
0.177778,-9.518,-0.153,1.807,-0.620,0.340,-0.732,3.3,39.9,3.1,105.507,17.211,-127.803,0.629,0.103,-0.762,0.117
0.182222,-9.509,-0.112,1.810,-0.994,0.023,-0.872,3.4,39.8,2.7,105.504,17.217,-127.799,0.629,0.103,-0.762,0.117
0.186667,-9.501,-0.062,1.728,-0.962,0.235,-1.517,3.2,39.8,2.1,105.503,17.220,-127.794,0.629,0.103,-0.762,0.117
0.191111,-9.542,-0.042,1.839,-0.903,0.566,-1.675,3.1,39.8,1.5,105.500,17.222,-127.791,0.629,0.103,-0.762,0.117
0.195556,-9.513,-0.067,1.867,-1.127,0.909,-1.220,3.1,39.6,1.4,105.500,17.220,-127.792,0.629,0.103,-0.762,0.117
0.200000,-9.514,-0.109,1.772,-1.189,0.717,-1.016,3.2,39.4,1.7,105.506,17.214,-127.797,0.629,0.103,-0.762,0.117
0.204444,-9.613,-0.125,1.806,-0.808,0.248,-0.882,3.4,39.1,2.1,105.512,17.206,-127.803,0.629,0.103,-0.762,0.116
0.208889,-9.582,-0.045,1.832,-0.604,0.003,-1.155,3.5,39.0,2.3,105.515,17.200,-127.807,0.629,0.103,-0.762,0.116
0.213333,-9.603,-0.021,1.812,-0.794,-0.122,-1.042,3.5,39.0,2.3,105.516,17.197,-127.806,0.629,0.103,-0.762,0.116
0.217778,-9.599,-0.136,1.817,-0.732,0.091,-0.914,3.5,39.0,2.3,105.517,17.198,-127.806,0.629,0.103,-0.762,0.116
0.222222,-9.577,-0.148,1.817,-0.855,0.029,-0.914,3.2,38.9,2.3,105.517,17.199,-127.807,0.629,0.103,-0.762,0.116
