time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,3.637,8.164,4.041,-0.020,0.535,-0.424,2.4,32.7,12.6,-18.639,-85.974,-133.227,-0.115,-0.530,-0.821,0.177
0.004444,3.627,8.194,4.063,0.292,0.277,-0.146,2.8,32.7,12.6,-18.631,-85.974,-133.223,-0.115,-0.530,-0.821,0.177
0.008889,3.618,8.282,4.062,0.172,0.120,0.108,3.2,32.7,12.6,-18.622,-85.974,-133.218,-0.115,-0.530,-0.821,0.177
0.013333,3.624,8.125,4.072,-0.072,0.547,0.152,3.5,32.6,12.6,-18.617,-85.973,-133.216,-0.115,-0.530,-0.821,0.177
0.017778,3.650,8.148,4.023,-0.051,0.366,-0.275,3.7,32.3,12.5,-18.617,-85.973,-133.217,-0.115,-0.530,-0.821,0.177
0.022222,3.678,8.212,4.010,-0.019,0.160,0.068,3.8,32.0,12.5,-18.617,-85.975,-133.217,-0.115,-0.530,-0.821,0.177
0.026667,3.679,8.169,4.080,-0.062,0.141,0.297,3.7,31.8,12.6,-18.618,-85.975,-133.220,-0.115,-0.530,-0.821,0.177
0.031111,3.629,8.105,4.090,-0.332,0.408,0.205,3.4,31.8,13.0,-18.619,-85.974,-133.223,-0.115,-0.530,-0.821,0.177
0.035556,3.600,8.125,4.060,-0.366,0.469,-0.137,3.0,31.8,13.3,-18.618,-85.974,-133.226,-0.115,-0.530,-0.821,0.177
0.040000,3.626,8.181,4.013,-0.310,0.783,-0.221,3.1,31.9,13.5,-18.619,-85.976,-133.228,-0.115,-0.530,-0.821,0.177
0.044444,3.728,8.223,3.988,-0.102,0.631,-0.008,3.5,32.1,13.6,-18.619,-85.978,-133.226,-0.115,-0.530,-0.821,0.177
0.048889,3.727,8.220,4.046,0.032,0.392,0.324,4.0,32.3,13.7,-18.615,-85.978,-133.221,-0.115,-0.530,-0.821,0.177
0.053333,3.684,8.182,4.083,-0.324,0.488,0.402,4.1,32.1,13.6,-18.609,-85.976,-133.217,-0.115,-0.530,-0.821,0.177
0.057778,3.667,8.195,4.018,-0.462,0.189,0.124,3.9,31.4,13.1,-18.608,-85.977,-133.216,-0.115,-0.530,-0.821,0.177
0.062222,3.704,8.231,3.991,-0.396,0.152,0.091,3.7,30.7,12.7,-18.612,-85.980,-133.219,-0.115,-0.530,-0.821,0.177
0.066667,3.631,8.122,4.078,-0.394,0.272,-0.003,3.7,30.8,12.4,-18.616,-85.980,-133.226,-0.115,-0.530,-0.821,0.177
0.071111,3.649,8.142,4.144,-0.338,0.091,0.351,3.8,31.7,12.4,-18.616,-85.978,-133.229,-0.115,-0.530,-0.821,0.177
0.075556,3.745,8.182,4.059,-0.267,0.285,0.311,3.9,32.6,12.4,-18.614,-85.977,-133.225,-0.115,-0.530,-0.821,0.177
