time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.854,-0.397,-0.217,1.462,-1.154,-0.435,-97.7,-8.4,-9.3,-104.167,-37.062,-99.778,-0.674,-0.240,-0.645,0.268
0.004444,9.744,-0.435,-0.241,1.231,-0.946,-0.976,-97.8,-8.3,-9.3,-104.162,-37.070,-99.774,-0.674,-0.240,-0.645,0.268
0.008889,9.698,-0.325,-0.134,1.062,-1.162,-0.868,-98.2,-8.1,-9.2,-104.154,-37.080,-99.772,-0.674,-0.240,-0.645,0.268
0.013333,9.716,-0.353,-0.070,0.938,-0.809,-0.610,-98.7,-7.8,-9.1,-104.145,-37.090,-99.770,-0.674,-0.240,-0.645,0.268
0.017778,9.762,-0.372,-0.049,0.854,-1.278,-0.671,-99.0,-7.7,-8.9,-104.135,-37.098,-99.770,-0.674,-0.240,-0.645,0.268
0.022222,9.687,-0.402,-0.172,0.663,-1.637,-0.730,-99.0,-8.0,-8.7,-104.132,-37.103,-99.770,-0.674,-0.240,-0.645,0.268
0.026667,9.695,-0.522,-0.144,0.327,-1.003,-0.566,-99.0,-8.2,-8.4,-104.128,-37.105,-99.769,-0.674,-0.240,-0.645,0.268
0.031111,9.727,-0.482,-0.140,0.296,-0.756,-0.675,-99.1,-8.5,-8.2,-104.124,-37.106,-99.768,-0.674,-0.240,-0.645,0.268
0.035556,9.718,-0.440,-0.193,0.061,-0.818,-0.732,-99.4,-8.9,-8.1,-104.122,-37.110,-99.768,-0.674,-0.240,-0.646,0.268
0.040000,9.720,-0.485,-0.275,-0.122,-0.905,-0.494,-99.6,-9.2,-8.0,-104.122,-37.112,-99.766,-0.674,-0.240,-0.645,0.268
0.044444,9.820,-0.548,-0.184,0.090,-0.790,-0.804,-99.6,-9.4,-8.1,-104.118,-37.114,-99.764,-0.674,-0.240,-0.645,0.268
0.048889,9.801,-0.499,-0.162,0.145,-0.328,-1.225,-99.4,-9.3,-8.5,-104.113,-37.118,-99.761,-0.674,-0.240,-0.645,0.268
0.053333,9.829,-0.527,-0.162,-0.007,-0.463,-1.210,-99.1,-9.2,-8.8,-104.108,-37.122,-99.758,-0.674,-0.240,-0.645,0.268
0.057778,9.795,-0.579,-0.104,0.152,-0.647,-1.122,-98.9,-8.7,-8.9,-104.100,-37.126,-99.753,-0.674,-0.240,-0.645,0.268
0.062222,9.797,-0.584,-0.206,0.245,-0.366,-1.249,-98.8,-7.7,-8.8,-104.093,-37.133,-99.745,-0.674,-0.240,-0.645,0.268
0.066667,9.781,-0.617,-0.249,0.465,-0.398,-0.971,-98.6,-6.8,-8.6,-104.086,-37.140,-99.735,-0.674,-0.240,-0.645,0.268
0.071111,9.700,-0.530,-0.247,0.676,-0.427,-1.052,-98.7,-6.4,-8.6,-104.085,-37.142,-99.732,-0.674,-0.240,-0.645,0.268
0.075556,9.700,-0.600,-0.193,0.664,-0.325,-1.527,-98.9,-6.7,-8.6,-104.088,-37.135,-99.735,-0.674,-0.240,-0.645,0.268
0.080000,9.807,-0.624,-0.193,0.435,-0.139,-1.524,-99.2,-6.9,-8.6,-104.092,-37.126,-99.739,-0.674,-0.240,-0.645,0.268
0.084444,9.739,-0.561,-0.242,0.486,-0.170,-1.342,-99.1,-7.3,-8.6,-104.097,-37.118,-99.743,-0.674,-0.240,-0.645,0.268
0.088889,9.636,-0.598,-0.236,0.759,-0.542,-1.342,-98.7,-7.7,-8.6,-104.101,-37.111,-99.745,-0.674,-0.240,-0.645,0.268
0.093333,9.697,-0.493,-0.252,0.854,-0.541,-1.189,-98.4,-8.1,-8.6,-104.105,-37.108,-99.747,-0.674,-0.240,-0.645,0.268
0.097778,9.771,-0.477,-0.250,1.051,-0.151,-1.256,-98.1,-8.0,-8.2,-104.108,-37.106,-99.750,-0.674,-0.240,-0.645,0.268
0.102222,9.797,-0.495,-0.220,0.998,-0.324,-1.342,-97.9,-7.5,-7.6,-104.107,-37.106,-99.750,-0.674,-0.240,-0.645,0.268
0.106667,9.900,-0.404,-0.191,0.874,-0.903,-1.176,-97.7,-7.0,-7.1,-104.105,-37.111,-99.750,-0.674,-0.240,-0.645,0.268
0.111111,9.849,-0.407,-0.058,0.812,-0.247,-0.971,-97.8,-6.7,-7.5,-104.099,-37.115,-99.752,-0.674,-0.240,-0.645,0.268
0.115556,9.800,-0.478,-0.186,0.488,-0.489,-1.134,-98.1,-6.5,-8.3,-104.102,-37.109,-99.758,-0.674,-0.240,-0.645,0.268
0.120000,9.755,-0.498,-0.188,0.903,-0.732,-1.220,-98.3,-6.2,-9.1,-104.109,-37.099,-99.767,-0.674,-0.240,-0.646,0.268
0.124444,9.711,-0.343,-0.177,0.869,-0.549,-1.404,-98.5,-6.5,-9.0,-104.117,-37.090,-99.779,-0.674,-0.240,-0.646,0.268
0.128889,9.650,-0.443,-0.189,0.793,-0.535,-1.230,-98.6,-7.0,-8.5,-104.122,-37.085,-99.786,-0.674,-0.240,-0.646,0.268
0.133333,9.721,-0.417,-0.161,1.416,-0.405,-1.064,-98.7,-7.5,-8.0,-104.123,-37.082,-99.791,-0.674,-0.240,-0.646,0.268
0.137778,9.694,-0.467,-0.153,1.440,-0.758,-1.282,-98.8,-7.7,-8.2,-104.124,-37.079,-99.795,-0.674,-0.240,-0.646,0.268
0.142222,9.753,-0.354,-0.153,0.652,-0.604,-1.142,-98.9,-7.7,-8.4,-104.125,-37.079,-99.801,-0.674,-0.240,-0.646,0.268
0.146667,9.672,-0.514,-0.278,0.948,-0.907,-0.945,-99.0,-7.7,-8.7,-104.128,-37.076,-99.802,-0.674,-0.240,-0.646,0.268
0.151111,9.752,-0.395,-0.195,0.411,-0.924,-0.968,-98.9,-8.0,-8.4,-104.130,-37.075,-99.807,-0.674,-0.240,-0.646,0.268
0.155556,9.735,-0.456,-0.257,0.199,-1.182,-1.083,-98.7,-8.5,-8.1,-104.133,-37.074,-99.809,-0.674,-0.240,-0.646,0.268
0.160000,9.751,-0.444,-0.277,-0.197,-0.894,-1.207,-98.6,-9.0,-7.8,-104.135,-37.075,-99.809,-0.674,-0.240,-0.646,0.268
0.164444,9.737,-0.562,-0.217,-0.022,-1.021,-1.276,-98.7,-8.3,-8.2,-104.134,-37.074,-99.808,-0.674,-0.240,-0.646,0.268
0.168889,9.717,-0.424,-0.206,-1.017,-0.642,-0.943,-98.8,-7.5,-8.6,-104.138,-37.070,-99.813,-0.674,-0.240,-0.646,0.268
0.173333,9.842,-0.556,-0.283,-0.350,-0.783,-1.318,-99.0,-6.6,-9.0,-104.138,-37.071,-99.810,-0.674,-0.240,-0.646,0.268
0.177778,9.868,-0.422,-0.246,-0.364,-0.148,-1.460,-98.9,-6.9,-9.0,-104.138,-37.072,-99.814,-0.674,-0.240,-0.646,0.268
0.182222,9.728,-0.693,-0.300,-0.247,-0.182,-1.226,-98.7,-7.2,-9.1,-104.138,-37.071,-99.808,-0.674,-0.240,-0.646,0.268
0.186667,9.682,-0.537,-0.354,0.242,0.485,-1.949,-98.6,-7.5,-9.1,-104.139,-37.069,-99.814,-0.674,-0.240,-0.646,0.268
0.191111,9.877,-0.684,-0.168,0.364,0.118,-1.347,-98.2,-7.4,-8.7,-104.140,-37.062,-99.815,-0.674,-0.240,-0.646,0.268
0.195556,9.774,-0.617,-0.205,0.207,-0.176,-1.705,-97.9,-7.4,-8.3,-104.141,-37.057,-99.815,-0.674,-0.240,-0.646,0.268
0.200000,9.628,-0.581,-0.183,1.000,0.058,-1.595,-97.7,-7.4,-8.0,-104.139,-37.057,-99.813,-0.674,-0.240,-0.646,0.268
0.204444,9.526,-0.515,-0.202,1.428,-0.024,-1.770,-97.7,-7.4,-8.0,-104.137,-37.059,-99.811,-0.674,-0.240,-0.646,0.268
0.208889,9.824,-0.475,-0.159,0.895,-0.341,-1.724,-97.7,-7.4,-8.0,-104.134,-37.061,-99.811,-0.674,-0.240,-0.646,0.268
0.213333,9.846,-0.438,-0.271,0.659,-0.061,-1.257,-97.7,-7.3,-8.1,-104.137,-37.060,-99.813,-0.674,-0.240,-0.646,0.268
0.217778,9.732,-0.487,-0.197,0.600,-0.119,-1.543,-97.9,-6.8,-9.2,-104.139,-37.056,-99.817,-0.674,-0.240,-0.646,0.268
0.222222,9.773,-0.422,-0.119,0.985,-0.458,-1.270,-98.2,-6.3,-10.4,-104.140,-37.053,-99.823,-0.674,-0.240,-0.646,0.268
0.226667,9.722,-0.502,-0.256,1.000,0.159,-1.587,-98.4,-6.0,-11.2,-104.143,-37.051,-99.824,-0.674,-0.240,-0.646,0.268
0.231111,9.776,-0.428,-0.212,0.887,0.272,-1.545,-98.3,-6.8,-9.9,-104.139,-37.058,-99.822,-0.674,-0.240,-0.646,0.268
0.235556,9.773,-0.478,-0.179,1.296,-0.298,-1.285,-98.3,-7.6,-8.6,-104.133,-37.064,-99.817,-0.674,-0.240,-0.646,0.268
0.240000,9.877,-0.441,-0.111,1.211,-0.705,-0.975,-98.3,-8.3,-7.6,-104.126,-37.070,-99.816,-0.674,-0.240,-0.646,0.268
0.244444,9.793,-0.377,-0.164,1.688,-0.393,-0.841,-98.3,-8.6,-8.2,-104.125,-37.072,-99.820,-0.674,-0.240,-0.646,0.268
0.248889,9.786,-0.342,-0.275,1.831,-0.503,-1.338,-98.4,-8.9,-8.8,-104.128,-37.073,-99.823,-0.674,-0.240,-0.646,0.268
0.253333,9.803,-0.351,-0.291,1.846,-0.423,-1.646,-98.3,-9.1,-9.2,-104.129,-37.078,-99.823,-0.674,-0.240,-0.646,0.268
0.257778,9.792,-0.362,-0.269,1.740,-0.196,-1.347,-97.8,-8.8,-8.9,-104.123,-37.091,-99.817,-0.674,-0.240,-0.646,0.268
0.262222,9.793,-0.386,-0.243,1.396,-0.639,-1.091,-97.3,-8.6,-8.5,-104.115,-37.105,-99.809,-0.674,-0.240,-0.646,0.268
0.266667,9.737,-0.416,-0.203,1.469,-0.911,-1.220,-97.1,-8.3,-8.2,-104.107,-37.115,-99.803,-0.674,-0.240,-0.646,0.268
0.271111,9.760,-0.483,-0.214,1.383,-0.997,-1.180,-97.6,-7.9,-8.1,-104.104,-37.120,-99.800,-0.674,-0.240,-0.646,0.268
0.275556,9.700,-0.454,-0.229,1.422,-0.936,-1.119,-98.1,-7.6,-8.0,-104.102,-37.124,-99.798,-0.674,-0.240,-0.646,0.268
0.280000,9.798,-0.388,-0.207,1.365,-1.065,-1.182,-98.5,-7.4,-7.9,-104.101,-37.127,-99.800,-0.674,-0.240,-0.646,0.268
0.284444,9.786,-0.421,-0.173,1.450,-1.267,-0.988,-98.7,-7.6,-7.8,-104.102,-37.125,-99.804,-0.674,-0.240,-0.646,0.268
0.288889,9.817,-0.388,-0.106,1.234,-1.561,-0.659,-98.9,-7.8,-7.7,-104.103,-37.122,-99.811,-0.673,-0.240,-0.646,0.268
0.293333,9.833,-0.398,-0.124,0.895,-1.536,-0.910,-98.8,-7.9,-8.0,-104.104,-37.119,-99.818,-0.673,-0.240,-0.646,0.268
0.297778,9.816,-0.337,-0.126,0.905,-0.932,-1.212,-98.3,-7.9,-8.7,-104.105,-37.118,-99.825,-0.673,-0.240,-0.646,0.268
0.302222,9.764,-0.375,-0.213,0.347,-1.041,-1.281,-97.8,-7.8,-9.5,-104.107,-37.118,-99.830,-0.673,-0.240,-0.646,0.268
0.306667,9.740,-0.470,-0.199,0.078,-1.200,-1.110,-97.8,-7.8,-9.7,-104.109,-37.115,-99.833,-0.673,-0.240,-0.646,0.268
0.311111,9.800,-0.411,-0.200,-0.110,-1.126,-1.004,-98.4,-7.8,-9.4,-104.111,-37.116,-99.835,-0.673,-0.240,-0.646,0.268
0.315556,9.812,-0.360,-0.239,-0.518,-1.036,-1.068,-99.0,-7.8,-9.0,-104.112,-37.122,-99.833,-0.673,-0.240,-0.646,0.268
0.320000,9.773,-0.503,-0.252,-0.361,-0.886,-0.878,-99.3,-7.9,-8.8,-104.109,-37.128,-99.827,-0.673,-0.240,-0.646,0.268
0.324444,9.803,-0.511,-0.283,-0.310,-0.817,-0.962,-99.3,-8.0,-8.7,-104.105,-37.134,-99.821,-0.673,-0.240,-0.646,0.268
0.328889,9.839,-0.520,-0.292,-0.264,-0.936,-1.193,-99.3,-8.2,-8.6,-104.105,-37.137,-99.817,-0.673,-0.240,-0.646,0.268
0.333333,9.793,-0.568,-0.289,-0.148,-0.748,-1.115,-99.0,-8.1,-8.6,-104.104,-37.139,-99.813,-0.673,-0.240,-0.646,0.268
0.337778,9.715,-0.569,-0.296,0.419,-0.705,-0.929,-98.3,-7.9,-8.6,-104.104,-37.140,-99.808,-0.673,-0.240,-0.646,0.268
0.342222,9.697,-0.559,-0.299,0.942,-1.114,-1.040,-97.7,-7.6,-8.6,-104.104,-37.142,-99.804,-0.673,-0.240,-0.646,0.268
0.346667,9.764,-0.558,-0.198,1.228,-0.899,-1.045,-97.6,-7.7,-8.8,-104.101,-37.143,-99.801,-0.673,-0.240,-0.646,0.268
0.351111,9.774,-0.566,-0.179,0.910,-1.064,-1.016,-97.7,-8.1,-9.1,-104.099,-37.142,-99.799,-0.673,-0.240,-0.646,0.268
0.355556,9.675,-0.488,-0.223,0.671,-0.596,-1.078,-97.8,-8.4,-9.5,-104.099,-37.143,-99.799,-0.673,-0.240,-0.646,0.268
0.360000,9.691,-0.501,-0.280,0.754,-0.782,-1.016,-97.8,-8.2,-9.5,-104.101,-37.143,-99.798,-0.673,-0.240,-0.646,0.268
0.364444,9.784,-0.463,-0.238,0.921,-0.740,-0.976,-97.9,-7.6,-9.3,-104.101,-37.143,-99.798,-0.673,-0.240,-0.646,0.268
0.368889,9.699,-0.480,-0.286,1.151,-0.436,-1.107,-97.9,-7.1,-9.1,-104.098,-37.150,-99.793,-0.673,-0.240,-0.646,0.268
0.373333,9.758,-0.456,-0.239,0.863,-0.634,-1.159,-98.1,-7.3,-8.7,-104.091,-37.160,-99.786,-0.673,-0.240,-0.646,0.268
0.377778,9.758,-0.577,-0.261,0.915,-0.732,-1.068,-98.2,-7.8,-8.4,-104.084,-37.169,-99.776,-0.673,-0.240,-0.646,0.268
0.382222,9.814,-0.527,-0.226,0.743,-0.872,-1.271,-98.4,-8.3,-8.0,-104.082,-37.172,-99.772,-0.673,-0.241,-0.646,0.268
0.386667,9.809,-0.460,-0.267,1.197,-0.102,-1.438,-98.2,-8.2,-8.0,-104.083,-37.173,-99.772,-0.673,-0.241,-0.646,0.268
0.391111,9.702,-0.358,-0.248,1.294,-0.122,-1.318,-98.0,-8.0,-8.0,-104.084,-37.175,-99.774,-0.673,-0.241,-0.646,0.268
0.395556,9.673,-0.363,-0.267,1.331,-0.333,-1.781,-97.8,-7.8,-8.1,-104.085,-37.179,-99.775,-0.673,-0.241,-0.646,0.268
0.400000,9.737,-0.445,-0.193,1.802,-0.366,-0.667,-98.1,-7.8,-7.9,-104.084,-37.180,-99.776,-0.673,-0.241,-0.646,0.268
0.404444,9.774,-0.468,-0.210,1.683,-0.679,-0.896,-98.4,-7.8,-7.7,-104.083,-37.181,-99.776,-0.673,-0.241,-0.646,0.268
0.408889,9.682,-0.419,-0.241,1.807,-1.104,-1.295,-98.8,-7.8,-7.5,-104.084,-37.182,-99.777,-0.673,-0.241,-0.646,0.268
0.413333,9.932,-0.556,-0.253,1.776,-0.509,-1.505,-98.9,-7.8,-7.5,-104.086,-37.180,-99.777,-0.673,-0.241,-0.646,0.268
0.417778,9.878,-0.423,-0.184,1.714,-0.261,-1.249,-98.9,-7.8,-7.5,-104.086,-37.180,-99.780,-0.673,-0.241,-0.646,0.268
0.422222,9.780,-0.434,-0.292,1.201,-0.413,-0.826,-98.9,-7.8,-7.5,-104.090,-37.178,-99.783,-0.673,-0.241,-0.646,0.268
0.426667,9.823,-0.490,-0.189,0.930,-0.370,-0.506,-98.2,-7.8,-8.0,-104.093,-37.173,-99.787,-0.673,-0.241,-0.646,0.268
0.431111,9.651,-0.447,-0.255,1.091,-0.893,-1.015,-97.5,-7.8,-8.6,-104.097,-37.170,-99.791,-0.673,-0.240,-0.646,0.268
0.435556,9.775,-0.469,-0.193,1.396,-0.796,-1.097,-96.8,-7.8,-9.1,-104.101,-37.165,-99.796,-0.673,-0.240,-0.646,0.268
0.440000,9.773,-0.607,-0.120,0.918,-0.672,-0.977,-98.0,-7.8,-9.3,-104.096,-37.165,-99.794,-0.673,-0.240,-0.646,0.268
0.444444,9.834,-0.497,-0.281,1.150,-0.792,-0.737,-99.4,-7.8,-9.5,-104.094,-37.169,-99.789,-0.673,-0.240,-0.646,0.268
0.448889,9.738,-0.447,-0.184,0.324,-0.661,-1.161,-100.6,-7.8,-9.6,-104.090,-37.175,-99.787,-0.673,-0.241,-0.646,0.268
0.453333,9.856,-0.514,-0.245,0.962,-0.314,-1.215,-99.7,-7.8,-9.1,-104.086,-37.180,-99.782,-0.673,-0.241,-0.646,0.268
0.457778,9.874,-0.461,-0.254,0.671,-0.469,-1.106,-98.7,-7.8,-8.6,-104.082,-37.186,-99.777,-0.673,-0.241,-0.646,0.268
0.462222,9.664,-0.554,-0.199,0.661,-0.183,-1.245,-97.8,-7.8,-8.1,-104.078,-37.190,-99.773,-0.673,-0.241,-0.646,0.268
0.466667,9.618,-0.587,-0.320,0.597,-0.189,-1.526,-98.5,-8.1,-7.9,-104.080,-37.188,-99.769,-0.673,-0.241,-0.646,0.268
0.471111,9.623,-0.563,-0.184,0.973,-0.237,-1.483,-99.1,-8.3,-7.7,-104.080,-37.185,-99.770,-0.673,-0.241,-0.646,0.268
0.475556,9.734,-0.508,-0.198,0.529,-0.183,-1.241,-99.5,-8.5,-7.5,-104.081,-37.184,-99.771,-0.673,-0.241,-0.646,0.268
0.480000,9.608,-0.468,-0.205,0.747,-0.192,-1.742,-99.1,-8.3,-7.9,-104.081,-37.182,-99.773,-0.673,-0.241,-0.646,0.268
0.484444,9.761,-0.433,-0.185,0.560,-0.244,-1.422,-98.6,-8.0,-8.3,-104.082,-37.182,-99.775,-0.673,-0.241,-0.646,0.268
0.488889,9.677,-0.541,-0.259,0.893,-0.324,-0.826,-98.2,-7.7,-8.6,-104.083,-37.180,-99.775,-0.673,-0.241,-0.646,0.268
0.493333,9.786,-0.440,-0.315,0.831,-0.534,-1.620,-98.1,-7.4,-8.7,-104.085,-37.182,-99.774,-0.673,-0.241,-0.646,0.268
0.497778,9.775,-0.368,-0.341,0.936,-0.135,-1.078,-97.9,-7.0,-8.8,-104.087,-37.187,-99.773,-0.673,-0.241,-0.646,0.268
0.502222,9.648,-0.390,-0.258,0.895,-0.479,-1.279,-97.8,-6.8,-8.7,-104.087,-37.190,-99.773,-0.673,-0.241,-0.646,0.268
0.506667,9.711,-0.384,-0.288,1.267,-0.218,-1.511,-97.9,-7.1,-8.0,-104.089,-37.194,-99.773,-0.673,-0.241,-0.646,0.268
0.511111,9.724,-0.327,-0.241,1.286,-0.571,-1.430,-97.9,-7.4,-7.4,-104.090,-37.196,-99.777,-0.673,-0.241,-0.646,0.268
0.515556,9.737,-0.426,-0.178,1.047,-0.270,-0.890,-98.0,-7.7,-7.3,-104.091,-37.194,-99.780,-0.673,-0.241,-0.646,0.268
0.520000,9.739,-0.484,-0.124,1.315,-0.315,-0.976,-98.2,-7.7,-8.5,-104.092,-37.190,-99.785,-0.673,-0.241,-0.646,0.268
0.524444,9.663,-0.437,-0.250,1.386,-0.650,-1.016,-98.4,-7.8,-9.8,-104.098,-37.184,-99.792,-0.673,-0.241,-0.646,0.268
0.528889,9.687,-0.475,-0.254,1.077,-0.669,-1.140,-98.5,-7.9,-10.4,-104.105,-37.176,-99.798,-0.673,-0.241,-0.646,0.268
0.533333,9.712,-0.536,-0.213,1.258,-0.549,-1.132,-98.5,-8.1,-9.8,-104.107,-37.173,-99.799,-0.673,-0.240,-0.646,0.268
0.537778,9.740,-0.513,-0.235,1.462,-0.503,-1.046,-98.4,-8.3,-9.1,-104.100,-37.181,-99.791,-0.673,-0.241,-0.646,0.268
