time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.757,-0.781,-0.740,-0.173,-0.471,-0.454,-49.5,-21.5,-44.1,-65.708,-74.797,-55.114,-0.484,-0.551,-0.406,0.546
0.004444,9.882,-0.803,-0.901,-0.515,-0.376,0.073,-49.6,-21.8,-43.4,-65.709,-74.801,-55.111,-0.484,-0.551,-0.406,0.546
0.008889,9.848,-0.737,-0.781,-0.322,0.658,0.008,-49.8,-22.2,-42.6,-65.708,-74.803,-55.111,-0.484,-0.551,-0.406,0.546
0.013333,9.696,-0.805,-0.789,-0.882,0.040,-0.115,-49.8,-22.2,-42.6,-65.708,-74.805,-55.109,-0.484,-0.551,-0.406,0.546
0.017778,9.870,-0.786,-0.726,-1.032,0.292,-0.356,-49.8,-22.2,-42.6,-65.706,-74.805,-55.108,-0.484,-0.551,-0.406,0.546
0.022222,9.855,-0.795,-0.667,-0.208,0.898,-0.307,-49.8,-22.2,-42.6,-65.697,-74.810,-55.101,-0.484,-0.551,-0.406,0.546
0.026667,9.840,-0.790,-0.628,-0.423,0.315,0.235,-49.9,-21.4,-42.6,-65.685,-74.814,-55.093,-0.484,-0.551,-0.406,0.546
0.031111,9.821,-0.761,-0.694,-0.853,0.183,0.122,-50.0,-20.5,-42.5,-65.673,-74.820,-55.084,-0.483,-0.551,-0.406,0.546
0.035556,9.817,-0.846,-0.732,-0.125,-0.428,-0.605,-50.1,-19.7,-42.5,-65.663,-74.826,-55.073,-0.483,-0.551,-0.405,0.546
0.040000,9.862,-0.675,-0.701,-0.424,-0.551,-0.119,-49.8,-19.9,-43.1,-65.664,-74.826,-55.079,-0.483,-0.551,-0.405,0.546
0.044444,9.781,-0.679,-0.777,-0.347,-0.593,-0.018,-49.6,-20.2,-43.7,-65.668,-74.825,-55.086,-0.483,-0.551,-0.406,0.546
0.048889,9.872,-0.788,-0.690,-1.456,-0.116,-0.497,-49.4,-20.4,-44.2,-65.673,-74.821,-55.092,-0.483,-0.551,-0.406,0.546
0.053333,9.825,-0.839,-0.784,-1.300,-0.026,-0.626,-49.7,-20.6,-43.6,-65.678,-74.819,-55.095,-0.484,-0.551,-0.406,0.546
0.057778,9.740,-0.846,-0.685,-1.555,-0.404,0.056,-50.1,-20.7,-43.0,-65.681,-74.815,-55.098,-0.484,-0.551,-0.406,0.546
0.062222,9.802,-0.721,-0.693,-1.170,-0.122,0.005,-50.4,-20.9,-42.5,-65.683,-74.814,-55.102,-0.484,-0.551,-0.406,0.546
