time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,1.343,-8.556,4.989,-0.642,-0.108,-0.169,1.5,-12.8,32.4,3.223,-84.412,145.705,0.019,-0.499,0.861,0.101
0.004444,1.391,-8.560,4.996,-0.340,-0.061,-0.279,1.4,-12.8,31.9,3.221,-84.411,145.701,0.019,-0.499,0.861,0.101
0.008889,1.407,-8.570,5.037,-0.624,-0.379,-0.252,1.3,-12.9,31.5,3.220,-84.410,145.697,0.019,-0.499,0.861,0.101
0.013333,1.315,-8.681,4.992,-1.209,0.110,-0.405,1.2,-13.0,31.1,3.217,-84.411,145.694,0.019,-0.499,0.861,0.101
0.017778,1.277,-8.512,5.143,-0.465,-0.089,-0.427,1.0,-13.1,30.8,3.214,-84.407,145.694,0.019,-0.499,0.861,0.101
0.022222,1.378,-8.555,5.049,-0.587,0.209,-0.648,0.9,-13.3,30.6,3.213,-84.405,145.692,0.019,-0.499,0.861,0.101
0.026667,1.340,-8.553,4.998,-0.889,0.356,-0.113,0.8,-13.4,30.6,3.212,-84.406,145.690,0.019,-0.499,0.861,0.101
0.031111,1.332,-8.561,4.990,-0.576,-0.029,-0.626,0.6,-13.6,30.9,3.211,-84.406,145.689,0.019,-0.499,0.861,0.101
0.035556,1.358,-8.553,5.066,-0.435,-0.118,-0.500,0.5,-13.8,31.1,3.211,-84.405,145.689,0.019,-0.499,0.861,0.101
0.040000,1.405,-8.525,5.021,-0.716,-0.180,-0.662,0.7,-13.8,30.9,3.214,-84.405,145.689,0.019,-0.499,0.861,0.101
0.044444,1.311,-8.790,5.009,-1.142,-0.066,-0.730,0.9,-13.8,30.5,3.214,-84.410,145.690,0.019,-0.499,0.861,0.101
0.048889,1.312,-8.564,5.064,-0.331,-0.239,-0.851,1.2,-13.8,30.2,3.215,-84.410,145.692,0.019,-0.499,0.861,0.101
0.053333,1.307,-8.486,4.996,-0.664,-0.064,-0.196,1.5,-13.5,30.7,3.213,-84.408,145.690,0.019,-0.499,0.861,0.101
0.057778,1.378,-8.533,5.113,-0.732,0.121,-0.607,1.7,-13.2,31.2,3.211,-84.404,145.688,0.019,-0.499,0.861,0.101
0.062222,1.336,-8.590,5.076,-1.098,-0.060,-0.306,1.9,-12.9,31.7,3.207,-84.402,145.685,0.019,-0.499,0.861,0.101
0.066667,1.473,-8.478,5.067,-0.982,0.241,-0.543,1.3,-13.0,31.8,3.208,-84.398,145.680,0.019,-0.499,0.861,0.101
0.071111,1.328,-8.669,5.127,-1.403,0.003,-0.135,0.7,-13.1,32.0,3.201,-84.394,145.675,0.019,-0.499,0.861,0.101
0.075556,1.374,-8.563,5.085,-1.415,0.120,-0.621,0.3,-13.1,32.1,3.196,-84.390,145.669,0.019,-0.499,0.861,0.101
0.080000,1.372,-8.481,5.076,-1.674,0.061,-0.930,0.3,-12.8,32.1,3.191,-84.385,145.663,0.019,-0.499,0.861,0.101
0.084444,1.422,-8.597,4.982,-0.948,0.036,-1.195,0.3,-12.6,32.1,3.195,-84.387,145.663,0.019,-0.499,0.861,0.101
0.088889,1.416,-8.545,5.011,-0.488,-0.362,-0.733,0.6,-12.5,32.1,3.201,-84.389,145.666,0.019,-0.499,0.861,0.101
0.093333,1.324,-8.456,5.044,-0.553,-0.290,0.011,1.1,-12.6,32.1,3.205,-84.389,145.671,0.019,-0.499,0.861,0.101
0.097778,1.263,-8.463,5.113,-1.248,-0.116,-0.594,1.6,-12.7,32.1,3.208,-84.387,145.679,0.019,-0.499,0.861,0.101
0.102222,1.437,-8.546,5.052,-0.947,-0.112,-1.006,1.7,-13.0,31.8,3.216,-84.389,145.683,0.019,-0.499,0.861,0.101
0.106667,1.389,-8.688,5.013,-1.227,-0.528,-0.718,1.4,-13.4,31.4,3.221,-84.393,145.686,0.019,-0.499,0.861,0.101
0.111111,1.329,-8.554,5.046,-1.258,-0.282,-0.564,1.2,-13.7,31.0,3.217,-84.391,145.683,0.019,-0.499,0.861,0.101
0.115556,1.411,-8.529,5.069,-1.098,0.305,-0.269,1.2,-13.8,30.9,3.215,-84.387,145.678,0.019,-0.499,0.861,0.101
0.120000,1.357,-8.531,5.037,-1.062,0.296,-0.490,1.2,-13.8,30.9,3.210,-84.384,145.673,0.019,-0.499,0.861,0.101
0.124444,1.292,-8.691,4.946,-0.913,0.196,-0.883,1.2,-13.8,30.9,3.205,-84.387,145.668,0.019,-0.499,0.861,0.101
0.128889,1.341,-8.701,5.056,-1.168,-0.040,-0.996,0.9,-13.6,31.2,3.202,-84.387,145.664,0.019,-0.499,0.861,0.101
