time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.567,2.121,0.838,-1.037,0.549,0.976,-58.2,47.6,4.5,55.973,-68.298,42.717,0.431,-0.526,0.329,0.655
0.004444,9.626,2.066,0.793,-0.916,0.796,0.314,-58.0,47.2,4.2,55.969,-68.299,42.717,0.431,-0.526,0.329,0.655
0.008889,9.728,2.194,0.661,-0.978,0.968,0.973,-57.9,46.9,3.9,55.968,-68.303,42.713,0.431,-0.526,0.329,0.655
0.013333,9.671,2.044,0.671,-1.018,0.689,0.869,-57.6,46.6,3.7,55.964,-68.308,42.711,0.431,-0.526,0.329,0.655
0.017778,9.637,2.151,0.811,-0.536,1.095,1.194,-56.9,46.4,4.4,55.960,-68.308,42.708,0.431,-0.526,0.329,0.655
0.022222,9.522,2.161,0.842,-0.289,1.095,0.736,-56.1,46.2,5.1,55.959,-68.306,42.709,0.431,-0.526,0.329,0.655
0.026667,9.686,2.122,0.763,0.028,1.847,0.833,-55.8,46.3,5.3,55.959,-68.306,42.711,0.431,-0.526,0.329,0.655
0.031111,9.563,2.131,0.710,0.957,1.337,1.264,-56.1,46.8,4.8,55.961,-68.306,42.713,0.431,-0.526,0.329,0.655
0.035556,9.588,2.181,0.607,0.203,1.288,1.079,-56.4,47.4,4.2,55.967,-68.305,42.716,0.431,-0.526,0.329,0.655
0.040000,9.706,2.208,0.761,0.344,1.298,0.960,-56.7,47.6,3.9,55.971,-68.302,42.722,0.431,-0.526,0.329,0.655
0.044444,9.636,2.251,0.793,0.200,1.059,1.257,-57.0,47.5,4.0,55.976,-68.298,42.726,0.431,-0.526,0.329,0.655
0.048889,9.648,2.276,0.758,0.278,1.577,1.135,-57.4,47.3,4.0,55.979,-68.295,42.726,0.431,-0.526,0.329,0.655
0.053333,9.628,2.242,0.651,0.063,1.436,1.313,-58.0,47.3,4.2,55.983,-68.295,42.726,0.431,-0.526,0.329,0.655
0.057778,9.564,2.344,0.739,-0.341,1.073,1.245,-58.6,47.3,4.5,55.987,-68.291,42.725,0.431,-0.526,0.329,0.655
0.062222,9.640,2.422,0.676,-0.793,1.514,1.659,-59.3,47.3,4.8,55.991,-68.289,42.721,0.431,-0.526,0.329,0.655
0.066667,9.643,2.310,0.605,-0.781,1.390,1.647,-58.4,46.8,4.4,55.996,-68.290,42.719,0.431,-0.526,0.329,0.655
0.071111,9.644,2.314,0.704,-0.996,1.059,1.377,-57.3,46.3,4.0,55.996,-68.290,42.714,0.431,-0.526,0.329,0.655
0.075556,9.657,2.376,0.652,-2.093,0.957,1.352,-56.3,45.9,3.6,55.986,-68.295,42.701,0.431,-0.526,0.329,0.655
0.080000,9.629,2.352,0.686,-2.593,0.965,1.527,-56.8,46.5,3.7,55.973,-68.302,42.686,0.431,-0.526,0.329,0.656
0.084444,9.585,2.234,0.687,-2.607,0.518,1.389,-57.4,47.0,3.8,55.960,-68.312,42.671,0.431,-0.526,0.329,0.656
0.088889,9.546,2.243,0.835,-2.512,0.279,1.657,-57.6,47.3,4.0,55.946,-68.319,42.659,0.431,-0.526,0.328,0.656
0.093333,9.590,2.123,0.763,-2.989,-0.087,1.996,-57.1,46.9,4.4,55.934,-68.330,42.653,0.431,-0.526,0.328,0.656
0.097778,9.729,2.033,0.677,-3.059,0.163,1.862,-56.5,46.4,4.7,55.922,-68.342,42.650,0.431,-0.526,0.328,0.656
0.102222,9.696,2.084,0.733,-2.521,0.492,1.629,-56.4,46.4,4.7,55.912,-68.349,42.647,0.431,-0.526,0.328,0.656
0.106667,9.692,2.043,0.788,-2.286,0.327,1.468,-56.9,46.9,4.1,55.901,-68.357,42.643,0.430,-0.526,0.328,0.656
0.111111,9.640,1.969,0.755,-1.729,0.430,1.323,-57.3,47.4,3.5,55.892,-68.365,42.642,0.430,-0.526,0.328,0.656
0.115556,9.635,1.911,0.802,-1.577,0.858,1.590,-57.4,47.3,3.4,55.881,-68.371,42.644,0.430,-0.526,0.328,0.656
0.120000,9.713,1.976,0.801,-0.931,1.021,1.686,-57.4,47.0,3.6,55.875,-68.375,42.649,0.430,-0.526,0.328,0.656
0.124444,9.694,1.898,0.843,-0.473,0.937,1.255,-57.3,46.7,3.9,55.872,-68.376,42.656,0.430,-0.526,0.328,0.656
0.128889,9.640,1.864,0.791,-0.573,1.126,0.730,-57.3,46.9,3.7,55.868,-68.378,42.662,0.430,-0.526,0.328,0.656
0.133333,9.630,1.900,0.750,-0.264,1.707,1.187,-57.2,47.2,3.5,55.864,-68.382,42.665,0.430,-0.527,0.329,0.656
0.137778,9.663,1.904,0.786,-0.037,1.091,1.433,-57.2,47.5,3.3,55.858,-68.385,42.668,0.430,-0.527,0.329,0.656
0.142222,9.683,1.998,0.779,-0.295,0.910,1.062,-57.2,47.6,3.3,55.856,-68.387,42.671,0.430,-0.527,0.329,0.656
0.146667,9.710,2.041,0.713,-0.122,1.383,0.745,-57.2,47.6,3.3,55.856,-68.388,42.675,0.430,-0.527,0.329,0.656
0.151111,9.749,2.036,0.692,-0.094,1.141,0.835,-57.2,47.5,3.3,55.857,-68.390,42.680,0.430,-0.527,0.329,0.656
0.155556,9.694,2.037,0.714,0.026,0.976,0.839,-57.6,47.2,3.6,55.858,-68.391,42.684,0.430,-0.527,0.329,0.656
0.160000,9.634,2.067,0.702,0.300,1.154,0.638,-58.0,47.0,3.9,55.859,-68.392,42.686,0.430,-0.527,0.329,0.656
0.164444,9.634,2.150,0.699,0.458,1.098,1.068,-58.0,46.9,4.0,55.858,-68.393,42.685,0.430,-0.527,0.329,0.656
