time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,-9.461,-0.225,1.911,-0.204,0.583,-0.576,3.3,38.3,3.1,103.102,20.585,-125.664,0.623,0.124,-0.759,0.141
0.004444,-9.470,-0.191,1.880,-0.475,0.563,-0.427,2.8,38.3,3.5,103.102,20.585,-125.666,0.623,0.124,-0.759,0.140
0.008889,-9.482,-0.193,1.890,-0.500,0.330,-0.525,2.2,38.3,3.8,103.104,20.584,-125.669,0.623,0.124,-0.759,0.140
0.013333,-9.566,-0.246,1.887,-0.303,0.391,-0.820,1.9,38.5,4.1,103.106,20.583,-125.673,0.623,0.124,-0.759,0.140
0.017778,-9.581,-0.161,1.865,-0.022,0.327,-0.937,1.9,39.2,4.3,103.106,20.584,-125.673,0.623,0.124,-0.759,0.140
0.022222,-9.527,-0.138,1.894,0.046,0.031,-0.844,1.8,39.9,4.5,103.102,20.589,-125.669,0.623,0.124,-0.759,0.140
0.026667,-9.475,-0.122,1.882,-0.087,-0.003,-0.941,1.9,40.0,4.5,103.098,20.594,-125.665,0.623,0.124,-0.759,0.141
0.031111,-9.516,-0.056,1.844,-0.174,0.140,-1.002,2.0,39.1,4.0,103.095,20.597,-125.659,0.623,0.124,-0.759,0.141
0.035556,-9.589,-0.159,1.835,-0.008,0.315,-1.037,2.2,38.3,3.6,103.093,20.603,-125.655,0.623,0.125,-0.759,0.141
0.040000,-9.616,-0.161,1.843,0.092,0.785,-0.931,2.2,37.8,3.4,103.091,20.608,-125.650,0.623,0.125,-0.759,0.141
0.044444,-9.551,-0.131,1.865,-0.102,0.505,-0.766,2.2,37.9,3.6,103.089,20.611,-125.647,0.623,0.125,-0.759,0.141
0.048889,-9.581,-0.208,1.869,-0.109,0.224,-0.923,2.1,38.0,3.8,103.088,20.615,-125.646,0.623,0.125,-0.759,0.141
0.053333,-9.667,-0.224,1.868,-0.024,0.345,-0.884,2.2,38.3,3.9,103.087,20.619,-125.645,0.623,0.125,-0.759,0.141
0.057778,-9.598,-0.174,1.845,0.300,0.272,-0.800,2.5,38.7,3.8,103.087,20.622,-125.644,0.623,0.125,-0.759,0.141
0.062222,-9.543,-0.109,1.798,0.310,0.221,-1.126,2.8,39.1,3.8,103.087,20.625,-125.640,0.623,0.125,-0.759,0.141
0.066667,-9.530,-0.145,1.802,0.102,0.179,-1.046,2.9,39.3,3.7,103.085,20.630,-125.635,0.623,0.125,-0.759,0.141
0.071111,-9.551,-0.177,1.812,-0.090,0.302,-0.915,2.7,39.2,3.5,103.084,20.636,-125.630,0.623,0.125,-0.759,0.141
0.075556,-9.534,-0.182,1.790,0.169,0.250,-0.799,2.5,39.2,3.3,103.084,20.641,-125.627,0.623,0.125,-0.759,0.141
0.080000,-9.535,-0.163,1.838,0.547,-0.054,-0.789,2.4,39.1,3.2,103.084,20.642,-125.626,0.623,0.125,-0.759,0.141
0.084444,-9.495,-0.132,1.844,0.729,-0.274,-0.975,2.3,39.0,3.3,103.084,20.639,-125.629,0.623,0.125,-0.759,0.141
0.088889,-9.459,-0.155,1.834,0.614,-0.095,-1.007,2.2,38.9,3.4,103.085,20.635,-125.634,0.623,0.125,-0.759,0.141
