time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.672,-0.673,-1.044,0.613,-0.671,-0.970,-97.6,-7.9,-11.4,-105.366,-41.975,-92.764,-0.689,-0.274,-0.606,0.288
0.004444,9.755,-0.666,-1.037,0.798,-0.640,-1.157,-97.2,-8.3,-11.9,-105.374,-41.967,-92.769,-0.689,-0.274,-0.606,0.288
0.008889,9.735,-0.710,-0.969,0.842,-0.578,-1.198,-96.8,-8.6,-12.3,-105.381,-41.957,-92.774,-0.689,-0.274,-0.606,0.288
0.013333,9.697,-0.644,-0.983,0.213,-0.615,-1.144,-96.6,-8.7,-12.4,-105.388,-41.948,-92.780,-0.689,-0.274,-0.606,0.288
0.017778,9.730,-0.603,-0.956,0.391,-0.534,-0.976,-96.6,-8.7,-12.4,-105.394,-41.941,-92.787,-0.689,-0.274,-0.606,0.288
0.022222,9.727,-0.685,-0.954,0.546,-0.392,-0.976,-96.6,-8.7,-12.4,-105.396,-41.936,-92.789,-0.689,-0.274,-0.606,0.288
0.026667,9.708,-0.652,-1.082,0.330,-0.257,-1.521,-96.6,-8.9,-12.2,-105.397,-41.939,-92.785,-0.689,-0.274,-0.606,0.288
0.031111,9.662,-0.656,-1.070,0.230,-0.258,-1.667,-96.7,-9.3,-11.6,-105.397,-41.942,-92.780,-0.689,-0.274,-0.606,0.288
0.035556,9.755,-0.641,-0.941,0.568,-0.613,-1.564,-96.7,-9.6,-11.1,-105.393,-41.945,-92.777,-0.689,-0.274,-0.606,0.288
0.040000,9.723,-0.672,-0.928,0.596,-0.437,-1.626,-96.8,-9.6,-11.0,-105.390,-41.946,-92.776,-0.689,-0.274,-0.606,0.288
0.044444,9.674,-0.707,-0.966,0.244,-0.650,-1.485,-97.0,-9.3,-11.1,-105.389,-41.946,-92.773,-0.689,-0.274,-0.606,0.288
0.048889,9.690,-0.627,-1.019,0.080,-0.229,-1.445,-97.2,-9.1,-11.2,-105.389,-41.948,-92.771,-0.689,-0.274,-0.606,0.288
0.053333,9.663,-0.589,-1.049,0.061,0.275,-1.764,-97.3,-9.1,-11.3,-105.389,-41.949,-92.776,-0.689,-0.274,-0.606,0.288
0.057778,9.635,-0.623,-0.985,0.149,-0.160,-1.629,-97.4,-9.2,-11.3,-105.390,-41.948,-92.779,-0.689,-0.274,-0.606,0.288
0.062222,9.718,-0.612,-0.901,-0.131,-0.052,-1.481,-97.5,-9.3,-11.3,-105.390,-41.946,-92.781,-0.689,-0.274,-0.606,0.288
0.066667,9.717,-0.618,-0.928,0.078,0.429,-1.281,-97.7,-9.1,-11.4,-105.387,-41.942,-92.787,-0.689,-0.274,-0.606,0.288
0.071111,9.739,-0.582,-0.917,-0.005,-0.203,-1.644,-98.0,-8.9,-11.6,-105.385,-41.942,-92.791,-0.689,-0.274,-0.606,0.288
0.075556,9.730,-0.645,-0.970,-0.157,-0.475,-1.481,-98.3,-8.7,-11.8,-105.385,-41.941,-92.790,-0.689,-0.274,-0.606,0.288
0.080000,9.718,-0.619,-0.929,-0.036,0.200,-1.158,-98.2,-8.6,-11.9,-105.385,-41.940,-92.792,-0.689,-0.274,-0.606,0.288
0.084444,9.727,-0.766,-0.986,0.552,0.467,-1.400,-97.9,-8.4,-11.9,-105.386,-41.937,-92.790,-0.689,-0.274,-0.606,0.288
0.088889,9.690,-0.663,-1.025,-0.252,0.232,-1.823,-97.5,-8.3,-12.0,-105.388,-41.934,-92.796,-0.689,-0.274,-0.606,0.288
0.093333,9.563,-0.559,-0.951,0.463,-0.026,-1.996,-97.3,-8.5,-11.9,-105.389,-41.933,-92.800,-0.689,-0.274,-0.606,0.288
0.097778,9.577,-0.672,-0.892,0.450,-0.381,-1.480,-97.0,-8.7,-11.7,-105.389,-41.930,-92.801,-0.689,-0.274,-0.606,0.288
0.102222,9.624,-0.651,-0.941,0.427,-0.209,-1.894,-96.8,-9.0,-11.6,-105.390,-41.927,-92.803,-0.689,-0.274,-0.606,0.288
0.106667,9.769,-0.564,-0.996,1.371,-0.239,-1.731,-97.1,-9.1,-11.5,-105.392,-41.927,-92.805,-0.689,-0.274,-0.606,0.288
0.111111,9.645,-0.600,-1.032,1.917,-0.527,-1.369,-97.4,-9.2,-11.4,-105.394,-41.928,-92.804,-0.689,-0.274,-0.606,0.288
0.115556,9.788,-0.585,-0.998,2.183,-0.607,-1.631,-97.8,-9.3,-11.3,-105.390,-41.935,-92.802,-0.689,-0.274,-0.606,0.288
0.120000,9.668,-0.464,-0.996,2.373,-0.551,-2.176,-97.5,-9.3,-11.4,-105.384,-41.948,-92.802,-0.689,-0.274,-0.606,0.288
0.124444,9.710,-0.455,-0.987,1.005,-0.011,-1.719,-97.2,-9.2,-11.6,-105.384,-41.953,-92.805,-0.689,-0.274,-0.606,0.288
0.128889,9.740,-0.541,-0.910,1.280,-0.365,-1.891,-96.9,-9.2,-11.8,-105.383,-41.954,-92.807,-0.689,-0.274,-0.606,0.288
0.133333,9.683,-0.368,-0.950,0.609,-1.090,-1.162,-97.1,-9.1,-11.7,-105.383,-41.959,-92.811,-0.689,-0.274,-0.606,0.288
0.137778,9.739,-0.352,-1.080,0.547,-0.509,-1.344,-97.3,-9.0,-11.6,-105.383,-41.968,-92.812,-0.689,-0.274,-0.606,0.288
0.142222,9.724,-0.567,-1.003,0.524,-1.156,-1.403,-97.5,-9.0,-11.6,-105.382,-41.972,-92.810,-0.689,-0.274,-0.606,0.288
0.146667,9.619,-0.519,-1.026,1.245,-1.086,-1.379,-97.1,-9.1,-11.9,-105.382,-41.977,-92.809,-0.689,-0.274,-0.606,0.288
0.151111,9.673,-0.678,-0.779,1.581,-0.956,-1.048,-96.8,-9.2,-12.3,-105.377,-41.975,-92.811,-0.689,-0.274,-0.606,0.288
0.155556,9.686,-0.616,-0.865,1.513,-1.403,-1.184,-96.5,-9.2,-12.6,-105.375,-41.974,-92.812,-0.689,-0.274,-0.606,0.288
0.160000,9.791,-0.666,-0.906,1.476,-1.353,-1.396,-96.8,-8.7,-12.3,-105.373,-41.973,-92.812,-0.689,-0.274,-0.607,0.288
0.164444,9.685,-0.485,-0.968,1.922,-0.968,-1.326,-97.1,-8.1,-12.1,-105.368,-41.982,-92.810,-0.689,-0.274,-0.606,0.288
0.168889,9.723,-0.460,-0.904,1.230,-0.925,-1.164,-97.3,-7.8,-11.9,-105.361,-41.992,-92.808,-0.689,-0.274,-0.606,0.288
0.173333,9.687,-0.596,-1.018,0.621,-0.955,-0.938,-97.0,-8.7,-11.9,-105.356,-42.000,-92.801,-0.689,-0.274,-0.606,0.288
0.177778,9.690,-0.499,-0.977,0.694,-0.820,-1.251,-96.7,-9.6,-12.0,-105.352,-42.009,-92.799,-0.688,-0.275,-0.606,0.288
0.182222,9.630,-0.605,-1.038,0.781,-0.809,-0.967,-96.4,-10.2,-12.0,-105.357,-42.006,-92.800,-0.689,-0.275,-0.606,0.288
0.186667,9.731,-0.555,-1.025,0.800,-1.234,-1.349,-96.1,-9.6,-11.8,-105.362,-42.003,-92.804,-0.689,-0.274,-0.606,0.288
0.191111,9.689,-0.657,-0.991,0.891,-0.840,-1.145,-95.9,-9.0,-11.7,-105.365,-42.000,-92.805,-0.689,-0.274,-0.606,0.288
0.195556,9.718,-0.565,-1.012,0.679,-0.856,-1.114,-95.8,-8.6,-11.5,-105.360,-42.009,-92.799,-0.689,-0.275,-0.606,0.288
0.200000,9.717,-0.547,-1.052,1.336,-0.953,-1.260,-96.2,-8.9,-11.4,-105.354,-42.021,-92.792,-0.688,-0.275,-0.606,0.288
0.204444,9.676,-0.580,-1.011,1.106,-0.661,-1.418,-96.6,-9.2,-11.2,-105.349,-42.029,-92.786,-0.688,-0.275,-0.606,0.288
0.208889,9.712,-0.674,-1.032,1.052,-0.431,-1.140,-97.0,-9.4,-11.1,-105.350,-42.029,-92.783,-0.688,-0.275,-0.606,0.288
0.213333,9.709,-0.631,-0.988,1.061,-0.365,-1.198,-97.5,-9.4,-11.0,-105.351,-42.028,-92.783,-0.688,-0.275,-0.606,0.288
0.217778,9.668,-0.564,-0.972,0.901,-0.551,-1.467,-98.0,-9.3,-11.0,-105.352,-42.029,-92.784,-0.688,-0.275,-0.606,0.288
0.222222,9.538,-0.522,-0.955,1.154,-0.649,-1.366,-98.3,-9.3,-11.0,-105.351,-42.031,-92.785,-0.688,-0.275,-0.606,0.288
0.226667,9.617,-0.613,-0.924,0.690,-0.471,-1.069,-98.3,-9.3,-11.0,-105.350,-42.031,-92.786,-0.688,-0.275,-0.606,0.288
0.231111,9.702,-0.639,-0.964,0.316,-0.317,-1.220,-98.3,-9.3,-11.0,-105.351,-42.030,-92.785,-0.688,-0.275,-0.606,0.288
0.235556,9.697,-0.530,-0.961,0.661,-0.554,-1.296,-98.1,-9.2,-11.1,-105.352,-42.030,-92.788,-0.688,-0.275,-0.606,0.288
0.240000,9.701,-0.612,-0.900,0.838,-0.785,-1.403,-97.6,-9.0,-11.4,-105.352,-42.028,-92.791,-0.688,-0.275,-0.606,0.288
0.244444,9.708,-0.588,-0.852,1.004,-0.772,-1.102,-97.1,-8.8,-11.7,-105.351,-42.025,-92.795,-0.688,-0.275,-0.606,0.288
0.248889,9.742,-0.598,-0.832,0.724,-0.643,-0.932,-97.0,-8.7,-11.9,-105.349,-42.024,-92.799,-0.688,-0.275,-0.606,0.288
0.253333,9.660,-0.693,-0.964,0.661,-0.640,-1.248,-97.2,-8.8,-12.1,-105.349,-42.022,-92.798,-0.688,-0.275,-0.606,0.288
0.257778,9.615,-0.689,-1.001,0.946,-0.763,-1.281,-97.4,-9.0,-12.2,-105.350,-42.021,-92.796,-0.688,-0.275,-0.606,0.288
0.262222,9.714,-0.686,-1.008,0.979,-0.823,-1.220,-97.4,-8.8,-12.4,-105.350,-42.021,-92.793,-0.688,-0.275,-0.606,0.288
0.266667,9.707,-0.671,-1.005,0.874,-0.695,-1.057,-97.1,-8.4,-12.7,-105.348,-42.023,-92.789,-0.688,-0.275,-0.606,0.288
0.271111,9.586,-0.699,-0.935,0.867,-0.475,-1.152,-96.9,-8.0,-12.9,-105.345,-42.025,-92.785,-0.688,-0.275,-0.606,0.288
0.275556,9.677,-0.731,-0.949,0.976,-0.784,-1.273,-96.8,-7.9,-12.7,-105.343,-42.025,-92.782,-0.688,-0.275,-0.606,0.288
0.280000,9.736,-0.669,-0.999,1.156,-1.098,-1.400,-97.0,-8.0,-11.9,-105.342,-42.026,-92.779,-0.688,-0.275,-0.606,0.288
0.284444,9.733,-0.630,-1.027,1.097,-0.951,-1.378,-97.1,-8.2,-11.2,-105.342,-42.027,-92.777,-0.688,-0.275,-0.606,0.288
0.288889,9.686,-0.572,-1.047,0.900,-0.702,-1.167,-97.3,-8.6,-11.0,-105.346,-42.027,-92.778,-0.688,-0.275,-0.606,0.288
0.293333,9.673,-0.587,-1.027,1.245,-0.649,-1.177,-97.5,-9.2,-11.1,-105.352,-42.022,-92.782,-0.689,-0.275,-0.606,0.288
0.297778,9.600,-0.591,-1.009,1.224,-0.591,-1.461,-97.7,-9.8,-11.2,-105.359,-42.016,-92.787,-0.689,-0.275,-0.606,0.288
0.302222,9.559,-0.511,-1.031,1.387,-0.920,-1.339,-97.8,-9.8,-11.4,-105.362,-42.018,-92.788,-0.689,-0.275,-0.606,0.288
0.306667,9.576,-0.585,-0.954,0.891,-0.887,-1.051,-97.8,-9.5,-11.7,-105.359,-42.021,-92.786,-0.689,-0.275,-0.606,0.288
0.311111,9.711,-0.605,-0.952,1.174,-0.880,-0.586,-97.8,-9.1,-11.9,-105.356,-42.025,-92.784,-0.689,-0.275,-0.606,0.288
0.315556,9.729,-0.535,-0.985,1.537,-0.960,-0.694,-97.5,-9.0,-12.1,-105.354,-42.030,-92.782,-0.689,-0.275,-0.606,0.288
0.320000,9.737,-0.516,-1.048,1.359,-0.885,-0.930,-97.2,-9.0,-12.2,-105.353,-42.035,-92.781,-0.689,-0.275,-0.606,0.288
0.324444,9.631,-0.612,-1.039,1.421,-0.854,-0.883,-96.8,-9.0,-12.3,-105.354,-42.038,-92.778,-0.689,-0.275,-0.606,0.288
0.328889,9.622,-0.586,-0.981,1.274,-0.664,-0.949,-96.5,-8.6,-12.1,-105.353,-42.041,-92.776,-0.689,-0.275,-0.606,0.288
0.333333,9.694,-0.493,-0.952,1.658,-1.048,-0.928,-96.2,-8.2,-11.8,-105.350,-42.046,-92.776,-0.688,-0.275,-0.606,0.288
0.337778,9.691,-0.501,-1.003,1.471,-0.961,-0.866,-95.9,-7.7,-11.5,-105.347,-42.053,-92.774,-0.688,-0.275,-0.606,0.288
0.342222,9.715,-0.575,-0.983,0.896,-0.002,-0.956,-96.6,-7.8,-11.4,-105.344,-42.058,-92.771,-0.688,-0.275,-0.606,0.288
