time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.400,2.638,-1.082,0.488,2.014,-0.244,-50.7,20.4,61.8,97.760,-43.578,72.809,0.683,-0.304,0.509,0.427
0.004444,9.394,2.695,-1.178,0.556,1.768,-0.365,-50.6,20.2,61.6,97.761,-43.577,72.809,0.683,-0.304,0.509,0.427
0.008889,9.318,2.540,-1.140,1.641,1.592,-0.184,-50.5,19.9,61.3,97.761,-43.579,72.812,0.683,-0.304,0.509,0.427
0.013333,9.274,2.706,-1.194,1.153,2.002,-0.235,-50.5,19.7,61.1,97.762,-43.578,72.811,0.683,-0.304,0.509,0.427
0.017778,9.243,2.728,-1.023,0.851,1.400,0.230,-50.4,19.5,60.9,97.759,-43.576,72.811,0.683,-0.304,0.509,0.427
0.022222,9.300,2.683,-1.147,0.732,1.287,-0.301,-50.4,19.3,60.8,97.759,-43.576,72.810,0.683,-0.304,0.509,0.427
0.026667,9.198,2.604,-1.098,0.701,1.450,-0.171,-50.7,19.3,61.1,97.757,-43.577,72.810,0.683,-0.304,0.509,0.427
0.031111,9.198,2.821,-1.240,-0.044,1.082,0.108,-50.9,19.2,61.4,97.756,-43.579,72.802,0.683,-0.304,0.509,0.427
0.035556,9.286,2.732,-1.237,0.264,0.742,-0.186,-51.0,19.4,61.5,97.754,-43.584,72.795,0.683,-0.304,0.509,0.427
0.040000,9.309,2.773,-1.257,-0.474,0.915,-0.273,-50.9,19.8,61.1,97.750,-43.594,72.784,0.683,-0.305,0.508,0.427
0.044444,9.238,2.711,-1.138,-0.236,0.955,-0.712,-50.9,20.3,60.7,97.753,-43.589,72.786,0.683,-0.305,0.508,0.427
0.048889,9.191,2.727,-1.182,-0.144,1.491,-0.436,-50.9,20.3,60.9,97.758,-43.582,72.789,0.683,-0.304,0.508,0.427
0.053333,9.331,2.751,-1.223,-0.437,1.052,-0.563,-50.9,19.9,61.7,97.763,-43.576,72.792,0.683,-0.304,0.508,0.427
