IKResults,,,,,,,,,,,,,,,,,,,,,,,,,
version=1,,,,,,,,,,,,,,,,,,,,,,,,,
nRows=577,,,,,,,,,,,,,,,,,,,,,,,,,
nColumns=26,,,,,,,,,,,,,,,,,,,,,,,,,
inDegrees=yes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Units are S.I. units (second, meters, Newtons, ...)",,,,,,,,,,,,,,,,,,,,,,,,,
"If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
endheader,,,,,,,,,,,,,,,,,,,,,,,,,
time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_ext,lumbar_bend,lumbar_rota
15.468,-1.98391332,1.5684045,89.99492084,0.40562974,0.96777156,1.2563459,3.4228051,0.86683793,-0.31004211,11.48247166,0.20040694,-6.51331096,-4.10619597,-5.78850835,19.44185633,-1.66881247,-2.3414437,47.12600959,0.82250403,-7.1286049,8.1435407,-5.78850835,-15.13221283,-3.22879692,0.73266394
15.472,-2.14729405,1.53377292,89.84569649,0.40598873,0.96801454,1.25377668,3.30138387,0.71806484,-0.08128789,11.50104445,0.20073109,-6.40034568,-4.16561065,-5.81675288,19.85744266,-1.66376711,-2.86003296,46.57992045,0.81297298,-8.02044117,7.73173244,-5.81675288,-15.11541395,-3.4962651,0.86549124
15.476,-2.1213249,1.6158018,89.84632212,0.40587213,0.96810218,1.2502915,2.9284717,0.71896407,-0.2780062,11.42205092,0.1993524,-6.1713421,-3.87966504,-5.93475654,20.01416657,-1.65851418,-2.83378272,46.0173384,0.80315407,-7.65086284,7.6169006,-5.93475654,-15.19876795,-3.46545014,0.87109388
15.48,-2.10258183,1.61710457,89.7452044,0.40590999,0.96808981,1.2463051,2.63193329,0.73918057,-0.23311442,11.37377506,0.19850982,-5.99466866,-3.86802492,-5.99193731,20.29364524,-1.68992432,-2.92480346,45.32176162,0.79101396,-7.35407624,7.46010096,-5.99193731,-15.19084676,-3.47043532,0.95524802
15.484,-2.08481054,1.66114358,89.6116074,0.40594148,0.96813207,1.24193493,2.27484276,0.75157203,-0.15828787,11.35622825,0.19820357,-5.74117491,-3.71671425,-6.01374178,20.52706943,-1.72532595,-3.05249254,44.46741483,0.7761028,-7.11399753,7.22827786,-6.01374178,-15.22735328,-3.48326287,1.05721302
15.488,-2.04751576,1.57151921,89.32926562,0.40618946,0.96796371,1.23737139,2.0609898,0.82696932,0.30391438,11.31261785,0.19744243,-5.7456068,-4.16291521,-5.98734627,20.94224744,-1.8658872,-3.39610584,43.62261118,0.76135819,-6.95465265,6.91705718,-5.98734627,-15.12153259,-3.51701674,1.3557134
15.492,-2.04096026,1.67940605,89.37041802,0.40595472,0.96799167,1.23255349,1.57573498,0.77130282,-0.11680413,11.27137119,0.19672254,-5.21740359,-3.35666748,-6.05360581,21.16847578,-1.83062705,-3.404528,42.68737953,0.74503532,-6.88596635,6.65863883,-6.05360581,-15.24443801,-3.50253856,1.27775941
15.496,-2.0161279,1.68754184,89.24451987,0.40595152,0.96788887,1.2277655,1.22693178,0.78605894,-0.06617195,11.24609592,0.1962814,-4.96448992,-3.24984031,-6.04521209,21.4751132,-1.88414187,-3.5827046,41.70661453,0.72791774,-6.85915453,6.32060954,-6.04521209,-15.25161061,-3.51025563,1.39335096
15.5,-1.98927996,1.70082853,89.10761888,0.40595256,0.96776471,1.22298415,0.87740678,0.80278391,0.0097029,11.22658111,0.1959408,-4.72643882,-3.16152504,-6.03537373,21.76220757,-1.94746368,-3.78123684,40.70043892,0.71035667,-6.88489383,5.98500379,-6.03537373,-15.26732557,-3.51705092,1.50963273
15.504,-1.9415298,1.67335501,88.96682559,0.4059697,0.96754247,1.21822622,0.5775899,0.85027418,0.13611155,11.21153836,0.19567826,-4.52749822,-3.22773822,-6.15407992,22.09489264,-2.04446525,-3.99232403,39.71047539,0.69307854,-6.9345591,5.66651408,-6.15407992,-15.23148798,-3.50144218,1.61740258
15.508,-1.91519247,1.49770019,88.82164873,0.4059818,0.96719127,1.21351563,0.4586521,0.88451981,0.3194392,11.22021761,0.19582974,-4.47643159,-3.37951132,-6.22672093,22.56830088,-2.11209826,-4.19313961,38.68913131,0.67525273,-7.06668809,5.32375915,-6.22672093,-15.03988417,-3.51595488,1.72830988
15.512,-1.8699993,1.65009075,88.75856119,0.40586277,0.96707975,1.20879305,-0.04186889,0.88895475,0.17412347,11.22174916,0.19585647,-3.99632446,-2.89827799,-6.35650557,22.67369337,-2.16482388,-4.31686727,37.67458573,0.65754557,-7.12723133,5.05522029,-6.35650557,-15.2119008,-3.48397368,1.81431932
15.516,-1.81889207,1.64157314,88.65206051,0.40583507,0.96678986,1.20410729,-0.35043458,0.9283868,0.22475777,11.23019291,0.19600384,-3.73556596,-2.78513382,-6.48423624,22.94330545,-2.25443772,-4.50352924,36.66315626,0.63989279,-7.22640173,4.78885317,-6.48423624,-15.20633806,-3.46238567,1.89510084
15.52,-1.77448218,1.6075315,88.53298836,0.40577685,0.96646125,1.19945289,-0.61669285,0.9601185,0.29092111,11.26399105,0.19659373,-3.50149851,-2.72023616,-6.56847183,23.22300547,-2.3353471,-4.68255763,35.63318594,0.62191642,-7.37296847,4.55130365,-6.56847183,-15.16854989,-3.44648761,2.00222992
15.524,-1.72777186,1.59691377,88.40409796,0.40575574,0.96613314,1.19478292,-0.90876813,0.99297799,0.3827188,11.29718739,0.19717312,-3.26554894,-2.62364121,-6.64282502,23.45728536,-2.42706068,-4.88729491,34.59095085,0.60372598,-7.51278404,4.32722758,-6.64282502,-15.15378691,-3.43614427,2.12505897
15.528,-1.64362214,1.45100295,88.23370711,0.40577539,0.96560527,1.19021736,-1.04300389,1.1102143,0.75550269,11.3223274,0.19761189,-3.28758689,-3.34214569,-6.67810645,23.85252989,-2.58144073,-5.12571769,33.58452355,0.58616051,-7.75684955,3.91342319,-6.67810645,-14.99050129,-3.37200986,2.29050838
15.532,-1.59631159,1.45493532,88.15754849,0.4056553,0.9652375,1.18549737,-1.3725185,1.12907951,0.72113196,11.32628281,0.19768093,-3.02691547,-3.00453317,-6.73384086,24.05258205,-2.64869793,-5.27591694,32.53487164,0.56784063,-7.90470209,3.76982252,-6.73384086,-15.00129823,-3.35179844,2.34789946
15.536,-1.57139302,1.43927007,88.03826683,0.40562917,0.96482824,1.18071277,-1.66246371,1.1238277,0.71280474,11.37398474,0.19851348,-2.71959231,-2.7244906,-6.79335323,24.23885517,-2.72305455,-5.52873298,31.4432723,0.54878863,-8.11362705,3.5645257,-6.79335323,-14.96606636,-3.37692954,2.45271016
15.54,-1.52843911,1.4834587,87.91850637,0.40555624,0.96445288,1.17594083,-2.02192936,1.13231788,0.74062874,11.41567578,0.19924113,-2.37258351,-2.38808232,-6.86604375,24.35629375,-2.82032377,-5.79425403,30.36822126,0.53002545,-8.29471231,3.41874188,-6.86604375,-15.00829203,-3.37176583,2.5647915
15.544,-1.48460091,1.52366106,87.83552133,0.40544241,0.96403401,1.17117276,-2.37841656,1.13727134,0.66359342,11.45446542,0.19991814,-2.02639573,-2.01144079,-6.93156206,24.47959561,-2.89441008,-6.00059706,29.29739855,0.51133607,-8.48926137,3.29770486,-6.93156206,-15.05203025,-3.36179447,2.64115643
15.548,-1.45181475,1.54457322,87.67648184,0.40542248,0.96362221,1.16638415,-2.71429822,1.1464429,0.80756018,11.481173,0.20038427,-1.80949474,-2.00857461,-6.97276787,24.58786762,-2.98980814,-6.30758518,28.1894381,0.49199851,-8.7495144,3.05863925,-6.97276787,-15.07233629,-3.37713048,2.77729531
