time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,1.458,-8.603,4.918,-0.328,0.080,-0.690,0.8,-38.0,-2.1,-59.498,-10.517,1.184,-0.495,-0.088,0.010,0.864
0.004444,1.413,-8.607,4.880,-0.584,-0.087,-0.734,0.8,-37.6,-2.0,-59.500,-10.517,1.184,-0.495,-0.088,0.010,0.864
0.008889,1.435,-8.648,4.846,-0.495,-0.014,-0.895,0.9,-37.2,-2.0,-59.502,-10.518,1.184,-0.496,-0.088,0.010,0.864
0.013333,1.481,-8.606,4.924,-0.399,-0.045,-0.738,0.9,-36.9,-2.0,-59.502,-10.521,1.187,-0.496,-0.088,0.010,0.864
0.017778,1.480,-8.624,4.925,-0.594,0.098,-0.757,0.8,-36.6,-2.2,-59.502,-10.525,1.190,-0.496,-0.088,0.010,0.864
0.022222,1.411,-8.603,4.898,-0.475,0.371,-0.767,0.8,-36.3,-2.4,-59.503,-10.527,1.194,-0.496,-0.088,0.010,0.864
0.026667,1.365,-8.582,4.965,-0.330,0.155,-0.761,0.6,-36.2,-2.6,-59.502,-10.528,1.199,-0.496,-0.088,0.010,0.864
0.031111,1.379,-8.619,4.999,-0.427,-0.092,-0.671,0.1,-36.2,-2.6,-59.501,-10.530,1.204,-0.496,-0.088,0.010,0.864
0.035556,1.457,-8.590,4.972,-0.400,-0.026,-0.707,-0.3,-36.3,-2.7,-59.500,-10.533,1.207,-0.495,-0.088,0.010,0.864
0.040000,1.454,-8.523,4.911,-0.326,0.279,-0.788,-0.5,-36.4,-2.6,-59.499,-10.535,1.209,-0.495,-0.088,0.010,0.864
0.044444,1.387,-8.547,4.873,-0.350,-0.155,-0.899,-0.5,-36.7,-2.5,-59.500,-10.536,1.211,-0.495,-0.088,0.010,0.864
0.048889,1.412,-8.578,4.903,-0.416,-0.510,-0.932,-0.5,-36.9,-2.4,-59.501,-10.535,1.209,-0.496,-0.088,0.010,0.864
