time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.745,1.919,0.460,-0.272,1.031,0.598,-67.4,43.2,-29.1,-4.211,-88.176,-22.797,-0.033,-0.691,-0.179,0.700
0.004444,9.754,1.867,0.427,-0.388,0.880,0.777,-67.7,43.3,-28.7,-4.211,-88.176,-22.792,-0.033,-0.691,-0.179,0.700
0.008889,9.782,1.976,0.462,0.111,0.805,0.708,-67.8,43.4,-28.7,-4.210,-88.175,-22.790,-0.033,-0.691,-0.179,0.700
0.013333,9.686,1.999,0.482,0.095,1.241,0.721,-67.8,43.4,-28.7,-4.209,-88.174,-22.790,-0.033,-0.691,-0.179,0.700
0.017778,9.766,1.981,0.543,0.213,1.090,1.137,-67.8,43.4,-28.7,-4.204,-88.171,-22.784,-0.033,-0.691,-0.179,0.700
0.022222,9.723,2.026,0.443,-0.064,0.780,0.655,-68.0,43.4,-28.9,-4.197,-88.171,-22.778,-0.033,-0.691,-0.178,0.700
0.026667,9.789,2.101,0.479,-0.435,0.732,0.654,-68.3,43.4,-29.3,-4.187,-88.170,-22.772,-0.033,-0.691,-0.178,0.700
0.031111,9.852,2.053,0.534,0.095,0.626,0.512,-68.5,43.4,-29.7,-4.179,-88.167,-22.765,-0.033,-0.691,-0.178,0.700
0.035556,9.711,2.159,0.452,0.237,0.610,0.704,-67.7,43.4,-29.8,-4.173,-88.167,-22.765,-0.033,-0.691,-0.178,0.700
0.040000,9.765,2.084,0.574,0.244,0.938,0.678,-66.7,43.4,-29.9,-4.171,-88.164,-22.765,-0.033,-0.691,-0.178,0.700
0.044444,9.625,2.091,0.410,0.577,0.810,1.337,-65.6,43.4,-30.0,-4.168,-88.164,-22.767,-0.033,-0.691,-0.178,0.700
0.048889,9.685,2.017,0.371,1.511,1.469,0.897,-65.7,43.1,-29.7,-4.164,-88.165,-22.763,-0.033,-0.691,-0.178,0.700
0.053333,9.656,2.083,0.472,0.444,1.068,0.797,-65.9,42.8,-29.4,-4.163,-88.164,-22.766,-0.033,-0.691,-0.178,0.700
0.057778,9.658,2.001,0.488,0.772,0.805,1.141,-66.1,42.5,-29.1,-4.164,-88.163,-22.768,-0.033,-0.691,-0.178,0.700
0.062222,9.709,1.946,0.336,0.970,1.028,1.042,-66.4,42.9,-29.8,-4.161,-88.164,-22.762,-0.033,-0.691,-0.178,0.700
0.066667,9.753,1.944,0.419,1.155,1.157,0.858,-66.6,43.4,-30.6,-4.156,-88.164,-22.755,-0.033,-0.691,-0.178,0.700
0.071111,9.707,2.010,0.426,1.159,1.159,1.096,-66.9,43.9,-31.3,-4.149,-88.164,-22.749,-0.033,-0.691,-0.178,0.700
0.075556,9.739,1.983,0.412,1.341,1.342,0.854,-67.3,43.7,-30.6,-4.157,-88.165,-22.757,-0.033,-0.691,-0.178,0.700
0.080000,9.682,2.099,0.352,1.098,1.155,0.678,-67.6,43.4,-29.8,-4.166,-88.167,-22.770,-0.033,-0.691,-0.178,0.700
0.084444,9.652,1.902,0.481,1.114,0.932,1.024,-67.9,43.2,-29.1,-4.178,-88.166,-22.780,-0.033,-0.691,-0.178,0.700
0.088889,9.610,1.928,0.402,1.567,1.451,0.613,-67.7,43.4,-29.4,-4.172,-88.165,-22.773,-0.033,-0.691,-0.178,0.700
0.093333,9.696,1.995,0.496,1.149,1.156,0.678,-67.5,43.6,-29.7,-4.167,-88.164,-22.768,-0.033,-0.691,-0.178,0.700
0.097778,9.686,1.969,0.370,0.981,1.076,0.771,-67.4,43.8,-30.0,-4.163,-88.165,-22.763,-0.033,-0.691,-0.178,0.700
0.102222,9.681,2.103,0.265,0.985,0.783,0.493,-67.5,43.8,-30.3,-4.157,-88.169,-22.760,-0.033,-0.691,-0.178,0.700
0.106667,9.722,2.016,0.330,0.445,0.689,0.646,-67.7,43.8,-30.5,-4.157,-88.171,-22.761,-0.033,-0.691,-0.178,0.700
0.111111,9.698,2.095,0.295,0.624,0.896,1.429,-67.7,43.7,-30.7,-4.157,-88.174,-22.764,-0.033,-0.691,-0.178,0.700
0.115556,9.740,2.028,0.382,0.609,1.205,0.687,-67.3,43.1,-30.0,-4.160,-88.175,-22.767,-0.033,-0.691,-0.178,0.700
0.120000,9.705,1.956,0.329,-0.193,1.081,0.759,-66.8,42.5,-29.4,-4.167,-88.178,-22.773,-0.033,-0.691,-0.178,0.700
0.124444,9.695,2.009,0.424,0.038,0.892,0.596,-66.4,42.1,-28.9,-4.173,-88.178,-22.780,-0.033,-0.691,-0.178,0.700
0.128889,9.665,2.057,0.328,-0.437,0.509,0.793,-66.4,42.7,-29.6,-4.177,-88.180,-22.786,-0.033,-0.691,-0.179,0.700
0.133333,9.708,2.085,0.293,-0.433,0.948,0.587,-66.3,43.3,-30.2,-4.169,-88.183,-22.781,-0.033,-0.691,-0.178,0.700
0.137778,9.756,2.031,0.321,-0.242,1.122,0.942,-66.2,43.7,-30.7,-4.160,-88.185,-22.772,-0.033,-0.691,-0.178,0.700
0.142222,9.742,2.023,0.415,-0.577,1.309,0.613,-65.8,43.3,-30.6,-4.153,-88.186,-22.765,-0.033,-0.691,-0.178,0.700
0.146667,9.740,1.988,0.414,-0.929,1.566,0.787,-65.3,42.8,-30.4,-4.158,-88.186,-22.770,-0.033,-0.691,-0.178,0.700
0.151111,9.752,2.007,0.481,-0.890,1.138,0.635,-65.2,42.5,-30.3,-4.164,-88.185,-22.777,-0.033,-0.691,-0.178,0.700
0.155556,9.744,1.956,0.457,-0.519,0.656,0.976,-66.3,42.7,-30.2,-4.171,-88.184,-22.782,-0.033,-0.691,-0.178,0.700
0.160000,9.776,1.986,0.510,-0.180,0.722,1.079,-67.3,42.9,-30.1,-4.174,-88.182,-22.785,-0.033,-0.691,-0.179,0.700
0.164444,9.715,1.994,0.608,0.101,0.936,0.922,-67.9,43.2,-30.1,-4.175,-88.178,-22.787,-0.033,-0.691,-0.179,0.700
0.168889,9.627,1.946,0.540,0.401,0.777,1.098,-67.3,43.6,-30.4,-4.177,-88.176,-22.789,-0.033,-0.691,-0.179,0.700
0.173333,9.626,1.981,0.512,0.599,1.074,1.154,-66.6,44.1,-30.7,-4.179,-88.174,-22.791,-0.033,-0.691,-0.179,0.700
0.177778,9.677,2.066,0.445,0.816,1.121,1.339,-66.2,44.3,-30.6,-4.178,-88.173,-22.793,-0.033,-0.691,-0.179,0.700
0.182222,9.647,2.037,0.505,0.752,0.896,1.384,-66.5,43.9,-29.7,-4.177,-88.172,-22.795,-0.033,-0.691,-0.179,0.700
0.186667,9.689,1.996,0.460,0.730,0.799,1.031,-66.9,43.6,-28.8,-4.180,-88.171,-22.798,-0.033,-0.691,-0.179,0.700
0.191111,9.724,1.935,0.483,0.741,1.203,0.715,-66.9,43.2,-28.2,-4.189,-88.170,-22.805,-0.033,-0.691,-0.179,0.700
0.195556,9.759,1.990,0.455,0.976,1.168,1.043,-66.5,42.7,-28.2,-4.199,-88.170,-22.815,-0.033,-0.691,-0.179,0.700
0.200000,9.772,2.008,0.427,0.906,0.671,1.394,-66.1,42.2,-28.2,-4.202,-88.170,-22.818,-0.033,-0.691,-0.179,0.700
0.204444,9.704,1.949,0.414,0.550,0.645,0.989,-65.9,42.0,-28.5,-4.195,-88.170,-22.809,-0.033,-0.691,-0.179,0.700
0.208889,9.685,2.012,0.438,0.510,1.468,0.952,-66.2,42.6,-29.3,-4.185,-88.169,-22.799,-0.033,-0.691,-0.179,0.700
0.213333,9.692,1.980,0.438,0.742,1.310,1.240,-66.5,43.1,-30.0,-4.173,-88.169,-22.788,-0.033,-0.691,-0.179,0.700
0.217778,9.702,1.877,0.449,0.454,1.015,0.693,-66.6,43.4,-30.5,-4.163,-88.168,-22.773,-0.033,-0.691,-0.178,0.700
0.222222,9.694,1.876,0.388,0.543,1.137,0.488,-66.6,43.4,-30.5,-4.151,-88.168,-22.757,-0.033,-0.691,-0.178,0.700
0.226667,9.705,1.962,0.424,0.667,0.838,0.602,-66.6,43.4,-30.5,-4.145,-88.168,-22.750,-0.032,-0.691,-0.178,0.700
0.231111,9.702,1.978,0.394,0.439,0.640,0.762,-66.7,43.2,-30.4,-4.148,-88.169,-22.752,-0.032,-0.691,-0.178,0.700
0.235556,9.649,2.027,0.365,0.363,0.852,0.793,-66.8,43.0,-30.2,-4.151,-88.170,-22.756,-0.033,-0.691,-0.178,0.700
0.240000,9.635,2.032,0.392,0.238,1.099,0.886,-67.0,42.7,-30.1,-4.154,-88.171,-22.761,-0.033,-0.691,-0.178,0.700
0.244444,9.661,2.032,0.370,0.069,0.937,0.722,-67.1,42.9,-30.2,-4.156,-88.173,-22.765,-0.033,-0.691,-0.178,0.700
0.248889,9.740,2.004,0.395,0.179,0.830,0.521,-67.3,43.5,-30.7,-4.156,-88.173,-22.765,-0.033,-0.691,-0.178,0.700
0.253333,9.699,1.986,0.417,-0.313,1.049,0.549,-67.4,44.1,-31.1,-4.156,-88.174,-22.765,-0.033,-0.691,-0.178,0.700
0.257778,9.637,2.077,0.435,-0.706,0.988,0.652,-67.5,44.3,-31.0,-4.160,-88.174,-22.772,-0.033,-0.691,-0.178,0.700
0.262222,9.695,2.047,0.409,-0.803,1.276,0.732,-67.4,44.2,-30.5,-4.170,-88.174,-22.784,-0.033,-0.691,-0.179,0.700
0.266667,9.717,2.017,0.475,-0.674,1.371,0.480,-67.4,44.1,-29.9,-4.181,-88.174,-22.797,-0.033,-0.691,-0.179,0.700
0.271111,9.685,2.029,0.500,-0.107,0.926,0.563,-67.4,44.2,-29.8,-4.187,-88.172,-22.805,-0.033,-0.691,-0.179,0.700
0.275556,9.709,1.978,0.511,-0.231,1.071,0.996,-67.4,44.3,-29.9,-4.189,-88.170,-22.807,-0.033,-0.691,-0.179,0.700
0.280000,9.680,1.979,0.477,-0.257,0.935,0.929,-67.4,44.5,-30.0,-4.190,-88.169,-22.808,-0.033,-0.691,-0.179,0.700
0.284444,9.689,1.917,0.442,0.074,0.968,0.872,-67.2,44.1,-30.0,-4.194,-88.169,-22.809,-0.033,-0.691,-0.179,0.700
0.288889,9.708,1.938,0.481,-0.018,0.938,0.915,-66.9,43.5,-30.0,-4.198,-88.167,-22.812,-0.033,-0.691,-0.179,0.700
0.293333,9.693,1.966,0.442,-0.040,0.936,1.120,-66.7,42.8,-30.0,-4.202,-88.167,-22.815,-0.033,-0.691,-0.179,0.700
0.297778,9.720,1.963,0.435,0.125,0.976,1.053,-66.4,42.9,-29.8,-4.205,-88.167,-22.816,-0.033,-0.691,-0.179,0.700
0.302222,9.701,1.963,0.472,0.013,0.976,0.550,-66.2,43.4,-29.4,-4.205,-88.166,-22.816,-0.033,-0.691,-0.179,0.700
0.306667,9.728,1.997,0.422,0.330,0.716,0.975,-65.9,44.0,-29.1,-4.205,-88.166,-22.816,-0.033,-0.691,-0.179,0.700
0.311111,9.793,1.896,0.411,0.400,1.009,1.088,-66.0,44.1,-29.2,-4.207,-88.166,-22.814,-0.033,-0.691,-0.179,0.700
0.315556,9.872,1.920,0.381,0.321,0.798,1.128,-66.3,44.1,-29.6,-4.206,-88.167,-22.809,-0.033,-0.691,-0.179,0.700
0.320000,9.666,2.013,0.477,0.765,1.085,1.113,-66.5,44.1,-29.9,-4.202,-88.166,-22.806,-0.033,-0.691,-0.179,0.700
0.324444,9.679,1.947,0.505,0.869,0.846,0.116,-66.5,43.5,-29.7,-4.199,-88.164,-22.802,-0.033,-0.691,-0.179,0.700
0.328889,9.758,2.040,0.477,0.997,1.304,0.293,-66.4,42.8,-29.2,-4.199,-88.163,-22.803,-0.033,-0.691,-0.179,0.700
0.333333,9.701,2.016,0.477,0.504,0.835,0.815,-66.3,42.0,-28.7,-4.200,-88.162,-22.806,-0.033,-0.691,-0.179,0.700
0.337778,9.601,2.013,0.475,-0.225,0.819,0.767,-66.5,41.8,-29.2,-4.202,-88.161,-22.810,-0.033,-0.691,-0.179,0.700
0.342222,9.609,2.067,0.502,-0.065,0.955,0.832,-66.7,41.8,-29.8,-4.195,-88.160,-22.806,-0.033,-0.691,-0.179,0.700
0.346667,9.767,1.978,0.436,0.357,0.416,0.447,-66.9,41.7,-30.5,-4.186,-88.159,-22.795,-0.033,-0.691,-0.179,0.700
0.351111,9.626,1.987,0.450,0.324,0.875,0.677,-66.6,42.3,-30.6,-4.175,-88.158,-22.785,-0.033,-0.691,-0.179,0.700
0.355556,9.794,1.967,0.331,0.042,0.976,0.837,-66.2,43.1,-30.6,-4.174,-88.161,-22.782,-0.033,-0.691,-0.178,0.700
0.360000,9.742,2.026,0.404,0.107,1.190,0.747,-65.7,43.9,-30.6,-4.175,-88.161,-22.784,-0.033,-0.691,-0.179,0.700
0.364444,9.709,1.984,0.510,0.393,1.003,0.841,-66.1,43.5,-30.3,-4.177,-88.159,-22.786,-0.033,-0.691,-0.179,0.700
0.368889,9.831,2.064,0.379,0.317,1.197,0.744,-66.5,43.0,-29.9,-4.182,-88.161,-22.792,-0.033,-0.691,-0.179,0.700
0.373333,9.656,2.122,0.351,-0.030,0.717,0.564,-66.9,42.5,-29.6,-4.186,-88.163,-22.801,-0.033,-0.691,-0.179,0.700
