time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,3.437,8.530,3.589,0.154,-0.133,-0.326,16.2,34.5,48.7,70.600,6.477,47.296,0.561,0.051,0.376,0.736
0.004444,3.368,8.488,3.679,-0.221,0.507,-0.568,16.2,34.4,48.9,70.598,6.476,47.294,0.561,0.051,0.376,0.736
0.008889,3.442,8.473,3.639,0.077,-0.005,-0.030,15.8,34.6,49.0,70.597,6.472,47.291,0.561,0.051,0.376,0.736
0.013333,3.331,8.497,3.590,0.273,0.019,0.237,15.5,34.9,49.1,70.596,6.470,47.286,0.561,0.051,0.376,0.736
0.017778,3.378,8.475,3.617,0.500,0.663,-0.409,15.2,35.1,49.2,70.595,6.466,47.281,0.561,0.051,0.376,0.736
0.022222,3.514,8.516,3.592,0.101,-0.421,-0.211,15.2,35.2,49.0,70.596,6.459,47.274,0.561,0.051,0.376,0.736
0.026667,3.396,8.535,3.640,0.463,0.071,0.032,15.3,35.2,48.9,70.595,6.453,47.266,0.561,0.051,0.376,0.736
0.031111,3.383,8.511,3.678,0.678,-0.251,-0.199,15.3,35.3,48.7,70.593,6.447,47.257,0.561,0.051,0.375,0.736
0.035556,3.292,8.460,3.671,0.346,0.122,-0.231,15.7,35.4,48.5,70.590,6.445,47.251,0.561,0.051,0.375,0.736
0.040000,3.409,8.489,3.597,0.610,0.043,0.218,16.1,35.5,48.2,70.590,6.440,47.246,0.561,0.051,0.375,0.736
0.044444,3.301,8.502,3.613,0.610,-0.353,-0.013,16.3,35.6,48.0,70.589,6.439,47.240,0.561,0.051,0.375,0.736
0.048889,3.362,8.436,3.665,0.669,0.002,-0.437,16.2,35.6,48.1,70.587,6.441,47.243,0.561,0.051,0.375,0.736
0.053333,3.345,8.428,3.581,0.832,-0.212,-0.509,16.1,35.6,48.2,70.587,6.444,47.247,0.561,0.051,0.375,0.736
0.057778,3.357,8.427,3.583,0.209,0.201,-0.491,16.0,35.6,48.3,70.587,6.448,47.251,0.561,0.051,0.375,0.736
0.062222,3.358,8.527,3.497,0.474,-0.045,-0.120,15.9,36.0,48.3,70.589,6.451,47.254,0.561,0.051,0.375,0.736
0.066667,3.372,8.576,3.485,-0.051,-0.102,-0.773,15.7,36.4,48.3,70.592,6.454,47.255,0.561,0.051,0.375,0.736
0.071111,3.382,8.515,3.504,0.158,0.389,-0.220,15.7,36.7,48.3,70.594,6.456,47.255,0.561,0.051,0.375,0.736
0.075556,3.349,8.447,3.515,-0.144,0.039,-0.173,16.2,36.6,48.2,70.595,6.458,47.257,0.561,0.051,0.375,0.736
0.080000,3.379,8.514,3.501,0.013,0.223,0.415,16.7,36.5,48.1,70.597,6.461,47.259,0.561,0.051,0.375,0.736
0.084444,3.296,8.505,3.538,0.144,0.394,-0.061,17.0,36.4,48.0,70.598,6.465,47.261,0.561,0.051,0.375,0.736
0.088889,3.389,8.531,3.628,0.283,0.416,-0.018,16.3,36.0,47.9,70.597,6.469,47.266,0.561,0.051,0.376,0.736
0.093333,3.447,8.560,3.571,-0.153,0.317,0.032,15.6,35.7,47.9,70.599,6.476,47.277,0.561,0.051,0.376,0.736
0.097778,3.489,8.571,3.595,-0.138,0.701,-0.136,15.3,35.5,47.9,70.600,6.483,47.289,0.561,0.052,0.376,0.736
0.102222,3.312,8.569,3.584,-0.191,0.546,0.119,15.7,35.7,48.2,70.601,6.492,47.296,0.561,0.052,0.376,0.736
0.106667,3.344,8.532,3.539,0.239,0.284,-0.143,16.1,35.9,48.5,70.602,6.493,47.294,0.561,0.052,0.376,0.736
0.111111,3.405,8.473,3.483,0.027,0.112,-0.163,16.3,36.1,48.8,70.604,6.491,47.292,0.561,0.052,0.376,0.736
0.115556,3.313,8.510,3.521,-0.078,0.244,0.279,16.3,36.3,48.8,70.605,6.492,47.290,0.561,0.052,0.376,0.736
0.120000,3.312,8.450,3.575,-0.140,0.298,0.205,16.2,36.5,48.9,70.605,6.495,47.291,0.561,0.052,0.376,0.736
0.124444,3.351,8.460,3.566,-0.239,0.427,0.475,16.0,36.5,48.9,70.605,6.497,47.293,0.561,0.052,0.376,0.736
0.128889,3.393,8.575,3.548,-0.290,0.275,0.172,15.3,36.0,48.8,70.607,6.500,47.296,0.561,0.052,0.376,0.736
0.133333,3.446,8.595,3.619,-0.142,-0.042,-0.142,14.7,35.6,48.8,70.607,6.502,47.299,0.561,0.052,0.376,0.736
0.137778,3.459,8.573,3.656,-0.103,0.100,-0.163,14.4,35.2,48.7,70.607,6.504,47.303,0.561,0.052,0.376,0.736
0.142222,3.455,8.522,3.623,-0.062,0.305,-0.040,15.0,34.8,48.3,70.607,6.506,47.307,0.561,0.052,0.376,0.736
0.146667,3.430,8.545,3.594,-0.221,0.263,-0.046,15.5,34.5,48.0,70.607,6.505,47.307,0.561,0.052,0.376,0.736
0.151111,3.428,8.565,3.491,0.090,0.183,-0.086,15.7,34.5,47.8,70.610,6.499,47.297,0.561,0.052,0.376,0.736
0.155556,3.395,8.508,3.517,0.344,0.227,0.229,15.2,35.0,47.6,70.611,6.491,47.286,0.561,0.052,0.376,0.736
0.160000,3.366,8.543,3.575,0.305,0.328,-0.212,14.7,35.5,47.5,70.611,6.486,47.276,0.561,0.052,0.376,0.736
0.164444,3.353,8.502,3.632,0.397,0.481,-0.159,14.6,35.9,47.5,70.610,6.484,47.272,0.561,0.052,0.376,0.736
0.168889,3.365,8.479,3.651,0.267,0.459,0.301,15.2,35.9,47.7,70.608,6.482,47.270,0.561,0.051,0.376,0.736
0.173333,3.301,8.507,3.602,-0.159,0.290,0.248,15.7,36.0,47.9,70.608,6.482,47.266,0.561,0.051,0.375,0.736
0.177778,3.311,8.577,3.619,-0.024,0.549,-0.024,16.1,36.0,48.0,70.607,6.482,47.262,0.561,0.051,0.375,0.736
0.182222,3.378,8.527,3.601,-0.104,0.399,0.122,16.1,36.0,48.0,70.607,6.481,47.258,0.561,0.051,0.375,0.736
0.186667,3.381,8.516,3.613,-0.223,0.209,0.199,16.1,36.0,48.0,70.606,6.480,47.257,0.561,0.051,0.375,0.736
0.191111,3.390,8.555,3.641,0.061,0.035,-0.138,16.2,35.8,48.1,70.606,6.483,47.260,0.561,0.052,0.375,0.736
0.195556,3.381,8.546,3.598,0.034,0.075,-0.413,16.5,35.4,48.4,70.606,6.487,47.264,0.561,0.052,0.375,0.736
0.200000,3.432,8.520,3.581,-0.136,0.380,-0.136,16.8,34.9,48.7,70.607,6.489,47.268,0.561,0.052,0.376,0.736
0.204444,3.383,8.563,3.645,-0.277,0.134,0.026,16.9,34.9,48.8,70.606,6.492,47.271,0.561,0.052,0.376,0.736
0.208889,3.350,8.574,3.594,-0.413,0.141,0.090,16.9,35.3,48.6,70.606,6.494,47.271,0.561,0.052,0.376,0.736
0.213333,3.432,8.522,3.517,-0.066,0.105,-0.219,16.8,35.8,48.4,70.608,6.494,47.271,0.561,0.052,0.376,0.736
0.217778,3.429,8.473,3.516,0.258,-0.006,-0.122,16.6,36.0,48.4,70.610,6.495,47.275,0.561,0.052,0.376,0.736
0.222222,3.394,8.483,3.562,0.206,-0.056,-0.003,16.1,35.9,48.7,70.611,6.500,47.281,0.561,0.052,0.376,0.736
0.226667,3.438,8.511,3.618,0.187,-0.003,0.092,15.7,35.9,49.0,70.611,6.504,47.288,0.561,0.052,0.376,0.736
0.231111,3.409,8.511,3.594,0.062,0.305,0.337,15.5,35.7,49.0,70.611,6.505,47.291,0.561,0.052,0.376,0.736
0.235556,3.405,8.478,3.562,0.182,0.273,0.361,15.5,35.5,48.6,70.612,6.503,47.288,0.561,0.052,0.376,0.736
0.240000,3.361,8.423,3.517,-0.036,0.215,0.185,15.6,35.3,48.2,70.612,6.500,47.284,0.561,0.052,0.376,0.736
0.244444,3.355,8.400,3.548,0.010,0.276,0.244,16.0,35.3,48.2,70.612,6.498,47.281,0.561,0.052,0.376,0.736
0.248889,3.405,8.472,3.595,-0.144,0.338,0.015,16.8,35.3,48.7,70.612,6.497,47.279,0.561,0.052,0.376,0.736
0.253333,3.392,8.563,3.579,-0.095,0.665,-0.150,17.5,35.3,49.1,70.613,6.496,47.278,0.561,0.052,0.376,0.736
0.257778,3.383,8.550,3.529,0.116,0.612,-0.156,17.5,35.2,49.2,70.614,6.498,47.279,0.561,0.052,0.376,0.736
0.262222,3.412,8.541,3.604,0.095,0.537,-0.320,16.8,35.2,48.9,70.615,6.502,47.284,0.561,0.052,0.376,0.736
0.266667,3.387,8.545,3.628,0.122,0.255,-0.149,16.2,35.1,48.6,70.614,6.507,47.289,0.561,0.052,0.376,0.736
0.271111,3.396,8.478,3.586,-0.336,0.221,0.026,16.0,35.3,48.4,70.615,6.511,47.295,0.561,0.052,0.376,0.736
0.275556,3.417,8.478,3.520,-0.243,0.534,0.179,16.1,35.6,48.4,70.616,6.512,47.298,0.561,0.052,0.376,0.736
0.280000,3.372,8.493,3.619,0.133,0.574,0.378,16.3,35.9,48.3,70.615,6.511,47.296,0.561,0.052,0.376,0.736
0.284444,3.376,8.514,3.650,0.073,0.439,0.060,16.3,35.9,48.4,70.614,6.510,47.295,0.561,0.052,0.376,0.736
0.288889,3.415,8.501,3.568,0.149,0.217,0.040,16.2,35.8,48.5,70.615,6.511,47.296,0.561,0.052,0.376,0.736
0.293333,3.449,8.471,3.579,-0.209,0.160,0.070,16.1,35.6,48.7,70.615,6.512,47.301,0.561,0.052,0.376,0.736
0.297778,3.345,8.460,3.538,-0.182,0.107,0.268,16.1,35.6,48.8,70.616,6.516,47.304,0.561,0.052,0.376,0.736
