time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.645,-0.560,-0.561,0.510,-0.762,-1.063,-106.7,-20.6,20.5,75.663,-70.739,75.452,0.531,-0.496,0.530,0.437
0.004444,9.738,-0.560,-0.498,0.598,-0.524,-0.988,-106.7,-19.9,20.9,75.656,-70.742,75.446,0.531,-0.496,0.530,0.437
0.008889,9.838,-0.488,-0.554,0.309,-0.789,-0.876,-106.5,-20.1,21.4,75.659,-70.739,75.446,0.531,-0.496,0.530,0.437
0.013333,9.758,-0.559,-0.526,0.347,-0.803,-1.111,-106.4,-20.9,22.1,75.664,-70.734,75.451,0.531,-0.496,0.530,0.437
0.017778,9.670,-0.579,-0.492,0.628,-0.689,-1.212,-106.2,-21.6,22.7,75.669,-70.729,75.457,0.531,-0.496,0.530,0.437
0.022222,9.688,-0.542,-0.555,0.671,-0.725,-1.007,-105.9,-21.4,22.3,75.665,-70.731,75.451,0.531,-0.496,0.530,0.437
0.026667,9.705,-0.600,-0.561,0.998,-0.133,-0.704,-105.5,-20.9,21.7,75.657,-70.737,75.443,0.531,-0.496,0.529,0.437
0.031111,9.588,-0.556,-0.556,0.760,-0.172,-0.949,-105.2,-20.4,21.1,75.647,-70.743,75.434,0.531,-0.497,0.529,0.437
0.035556,9.817,-0.506,-0.587,1.355,-1.032,-0.070,-105.6,-20.7,21.3,75.647,-70.743,75.430,0.531,-0.497,0.529,0.437
0.040000,9.740,-0.634,-0.539,1.000,-0.579,-0.923,-106.0,-21.0,21.6,75.646,-70.743,75.431,0.531,-0.497,0.529,0.437
0.044444,9.735,-0.503,-0.619,0.976,-1.372,-1.094,-106.5,-21.3,21.9,75.649,-70.742,75.430,0.531,-0.497,0.529,0.437
0.048889,9.646,-0.507,-0.557,1.934,-0.925,-0.560,-106.3,-20.9,22.5,75.646,-70.743,75.424,0.531,-0.497,0.529,0.437
0.053333,9.639,-0.555,-0.684,0.735,-0.245,-0.793,-106.0,-20.5,23.1,75.643,-70.748,75.417,0.531,-0.497,0.529,0.437
0.057778,9.662,-0.602,-0.661,0.612,-0.072,-0.730,-105.8,-20.1,23.7,75.639,-70.754,75.411,0.531,-0.497,0.529,0.437
0.062222,9.607,-0.504,-0.673,0.744,-0.795,-0.608,-106.3,-20.2,23.3,75.642,-70.755,75.407,0.531,-0.497,0.529,0.437
0.066667,9.662,-0.551,-0.475,1.067,-0.860,-0.571,-106.9,-20.3,22.9,75.641,-70.752,75.408,0.531,-0.497,0.529,0.437
0.071111,9.823,-0.548,-0.573,0.484,-0.956,-0.960,-107.4,-20.4,22.5,75.643,-70.751,75.407,0.531,-0.497,0.529,0.437
0.075556,9.779,-0.520,-0.551,0.448,-0.750,-0.764,-106.9,-20.2,22.2,75.644,-70.749,75.407,0.531,-0.497,0.529,0.437
