time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.816,-0.759,-0.614,-1.559,-0.328,-0.343,-56.0,-18.9,-10.3,72.848,-73.737,73.734,0.513,-0.519,0.519,0.445
0.004444,9.790,-0.774,-0.649,-1.460,-0.242,-0.392,-56.0,-18.6,-10.3,72.848,-73.737,73.731,0.513,-0.519,0.519,0.445
0.008889,9.782,-0.753,-0.653,-1.107,-0.349,-0.412,-56.0,-17.8,-10.1,72.846,-73.737,73.727,0.513,-0.519,0.519,0.445
0.013333,9.860,-0.754,-0.636,-1.153,-0.566,-0.366,-56.0,-16.9,-9.8,72.841,-73.739,73.722,0.513,-0.519,0.519,0.445
0.017778,9.772,-0.788,-0.626,-1.497,-0.413,-0.603,-55.9,-16.9,-9.6,72.834,-73.742,73.711,0.513,-0.519,0.519,0.445
0.022222,9.798,-0.768,-0.675,-1.164,-0.225,-0.450,-55.9,-17.4,-9.3,72.837,-73.740,73.710,0.513,-0.519,0.519,0.445
0.026667,9.810,-0.774,-0.633,-0.382,-0.470,-0.018,-55.8,-17.9,-8.9,72.846,-73.734,73.717,0.513,-0.519,0.519,0.445
0.031111,9.812,-0.792,-0.625,-0.038,-0.401,-0.213,-55.8,-18.0,-9.0,72.856,-73.727,73.726,0.513,-0.519,0.519,0.445
0.035556,9.818,-0.812,-0.720,0.043,-0.220,-0.409,-55.8,-18.0,-9.1,72.862,-73.725,73.730,0.513,-0.519,0.519,0.445
0.040000,9.803,-0.751,-0.644,0.278,-0.140,-0.427,-55.8,-18.0,-9.3,72.864,-73.723,73.730,0.513,-0.519,0.519,0.445
0.044444,9.735,-0.827,-0.616,0.233,-0.343,-0.471,-56.1,-18.0,-9.3,72.864,-73.722,73.731,0.513,-0.519,0.519,0.445
0.048889,9.736,-0.736,-0.661,0.813,0.023,-0.443,-56.5,-17.9,-9.4,72.866,-73.721,73.730,0.513,-0.519,0.519,0.445
