time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.336,2.597,-1.111,1.283,1.441,0.055,-52.6,13.0,28.0,-64.544,-86.243,-77.039,-0.446,-0.596,-0.532,0.403
0.004444,9.334,2.539,-1.092,1.374,1.899,-0.088,-52.8,13.9,27.8,-64.552,-86.239,-77.041,-0.446,-0.596,-0.532,0.403
0.008889,9.323,2.558,-1.092,1.339,1.658,0.257,-53.0,14.7,27.7,-64.552,-86.239,-77.036,-0.446,-0.596,-0.532,0.403
0.013333,9.293,2.648,-1.079,1.704,1.541,0.293,-53.1,15.2,27.6,-64.539,-86.244,-77.022,-0.446,-0.596,-0.532,0.403
0.017778,9.252,2.687,-1.024,1.713,1.572,0.155,-53.1,15.2,27.6,-64.522,-86.250,-77.009,-0.446,-0.596,-0.532,0.403
0.022222,9.208,2.683,-1.020,1.836,1.736,-0.350,-53.1,15.2,27.6,-64.511,-86.254,-77.002,-0.446,-0.596,-0.532,0.404
0.026667,9.327,2.672,-1.023,2.264,1.946,-0.456,-53.0,15.0,28.2,-64.507,-86.253,-76.998,-0.446,-0.596,-0.532,0.404
0.031111,9.381,2.712,-1.080,2.251,1.926,-0.285,-52.9,14.6,29.2,-64.505,-86.253,-76.994,-0.446,-0.596,-0.532,0.404
0.035556,9.377,2.730,-1.064,2.714,2.263,-0.332,-52.8,14.3,30.2,-64.500,-86.253,-76.990,-0.446,-0.596,-0.532,0.404
0.040000,9.326,2.758,-0.989,2.728,2.258,-0.410,-52.9,13.9,30.2,-64.490,-86.254,-76.985,-0.446,-0.596,-0.532,0.404
0.044444,9.323,2.770,-0.960,1.982,1.898,-0.276,-53.0,13.6,29.6,-64.482,-86.255,-76.983,-0.446,-0.596,-0.532,0.404
0.048889,9.308,2.710,-0.979,2.112,2.162,-0.086,-53.1,13.3,28.9,-64.473,-86.255,-76.977,-0.446,-0.596,-0.532,0.404
0.053333,9.265,2.711,-0.972,2.224,2.044,-0.133,-52.8,13.5,28.4,-64.459,-86.257,-76.967,-0.446,-0.596,-0.532,0.404
0.057778,9.278,2.674,-0.990,2.294,1.478,-0.293,-52.4,14.1,27.9,-64.444,-86.262,-76.953,-0.445,-0.596,-0.532,0.404
0.062222,9.373,2.715,-0.989,2.109,1.355,-0.292,-51.9,14.6,27.5,-64.430,-86.267,-76.943,-0.445,-0.596,-0.532,0.404
0.066667,9.382,2.771,-0.940,1.705,1.217,0.204,-51.9,14.7,27.8,-64.425,-86.267,-76.939,-0.445,-0.596,-0.532,0.404
0.071111,9.322,2.728,-0.984,1.473,1.400,-0.115,-52.2,14.4,28.5,-64.427,-86.265,-76.940,-0.445,-0.596,-0.532,0.404
