time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,-9.525,-0.311,1.708,-0.596,0.551,-0.996,3.8,6.0,0.3,8.297,79.547,-12.652,0.067,0.638,-0.101,0.761
0.004444,-9.524,-0.293,1.658,-0.253,0.906,-0.798,3.7,5.6,0.7,8.295,79.548,-12.649,0.067,0.638,-0.101,0.761
0.008889,-9.538,-0.334,1.596,-0.782,0.437,-1.272,3.6,5.3,1.0,8.292,79.551,-12.648,0.066,0.638,-0.101,0.761
0.013333,-9.496,-0.231,1.741,-0.613,0.908,-0.861,4.0,5.4,0.8,8.291,79.551,-12.645,0.066,0.638,-0.101,0.761
0.017778,-9.514,-0.187,1.643,-0.852,0.613,-1.156,4.4,5.5,0.5,8.291,79.552,-12.641,0.066,0.638,-0.101,0.761
0.022222,-9.605,-0.320,1.700,-0.611,0.610,-0.916,4.8,5.7,0.2,8.292,79.553,-12.644,0.066,0.638,-0.101,0.761
0.026667,-9.768,-0.230,1.686,-0.000,0.244,-0.732,4.4,5.4,0.2,8.296,79.554,-12.647,0.067,0.638,-0.101,0.761
0.031111,-9.709,-0.211,1.709,-0.425,0.368,-0.490,4.0,5.1,0.3,8.301,79.555,-12.649,0.067,0.638,-0.101,0.761
0.035556,-9.463,-0.305,1.591,-0.065,0.667,-0.858,3.6,4.8,0.3,8.299,79.557,-12.647,0.067,0.638,-0.101,0.761
0.040000,-9.524,-0.179,1.671,-0.430,0.248,-1.161,4.1,4.4,0.4,8.298,79.558,-12.643,0.067,0.638,-0.101,0.761
0.044444,-9.511,-0.269,1.667,-0.601,0.487,-1.269,4.5,4.1,0.5,8.295,79.559,-12.639,0.067,0.638,-0.101,0.761
0.048889,-9.555,-0.291,1.706,-0.191,0.429,-0.674,5.0,3.8,0.6,8.293,79.560,-12.637,0.066,0.638,-0.101,0.761
0.053333,-9.626,-0.259,1.562,-0.479,0.479,-0.805,5.0,3.9,0.9,8.292,79.564,-12.634,0.066,0.638,-0.101,0.760
0.057778,-9.505,-0.268,1.724,-0.181,0.203,-1.155,5.0,4.0,1.1,8.290,79.564,-12.632,0.066,0.638,-0.101,0.760
0.062222,-9.523,-0.151,1.621,-0.150,0.730,-1.047,5.0,4.0,1.4,8.290,79.565,-12.626,0.066,0.638,-0.101,0.760
0.066667,-9.604,-0.311,1.787,-0.799,0.682,-1.245,5.0,4.0,1.4,8.286,79.564,-12.623,0.066,0.638,-0.101,0.760
0.071111,-9.573,-0.191,1.889,-0.903,0.897,-0.473,5.0,4.0,1.4,8.284,79.561,-12.619,0.066,0.638,-0.101,0.761
0.075556,-9.500,-0.108,1.664,-0.658,0.542,-0.186,4.9,4.1,1.3,8.288,79.561,-12.617,0.066,0.638,-0.101,0.761
0.080000,-9.496,-0.318,1.621,-0.435,0.431,-0.274,4.9,4.4,1.3,8.289,79.563,-12.620,0.066,0.638,-0.101,0.761
0.084444,-9.497,-0.280,1.588,-0.533,0.476,-0.732,4.8,4.7,1.2,8.291,79.566,-12.621,0.066,0.638,-0.101,0.760
0.088889,-9.460,-0.302,1.570,-0.349,0.388,-0.754,4.8,4.9,1.2,8.292,79.569,-12.624,0.066,0.638,-0.101,0.760
0.093333,-9.622,-0.248,1.683,-0.897,1.404,-1.028,4.6,4.9,1.4,8.295,79.569,-12.626,0.067,0.638,-0.101,0.760
0.097778,-9.541,-0.225,1.650,-0.661,0.622,-0.930,4.5,4.8,1.5,8.299,79.571,-12.628,0.067,0.638,-0.101,0.760
0.102222,-9.626,-0.178,1.664,-0.549,0.087,-1.130,4.3,4.8,1.6,8.303,79.572,-12.629,0.067,0.638,-0.101,0.760
0.106667,-9.643,-0.233,1.553,-0.516,0.316,-1.442,4.1,4.3,1.3,8.309,79.575,-12.634,0.067,0.638,-0.101,0.760
0.111111,-9.717,-0.228,1.665,-0.218,-0.189,-1.197,3.9,3.9,1.0,8.315,79.577,-12.639,0.067,0.638,-0.101,0.760
0.115556,-9.649,-0.337,1.651,-0.580,-0.176,-0.927,3.7,3.5,0.8,8.319,79.578,-12.646,0.067,0.638,-0.101,0.760
0.120000,-9.681,-0.276,1.643,-0.776,0.388,-0.560,3.4,4.4,0.9,8.319,79.580,-12.645,0.067,0.638,-0.101,0.760
0.124444,-9.606,-0.339,1.641,-0.197,0.007,-1.139,3.1,5.2,1.0,8.317,79.582,-12.645,0.067,0.638,-0.101,0.760
0.128889,-9.722,-0.321,1.591,-0.765,-0.356,-0.983,2.9,6.0,1.0,8.316,79.586,-12.644,0.067,0.638,-0.101,0.760
0.133333,-9.729,-0.227,1.615,-0.475,0.124,-1.022,3.4,5.7,0.9,8.321,79.588,-12.648,0.067,0.638,-0.101,0.760
0.137778,-9.683,-0.304,1.730,0.046,-0.243,-0.861,3.9,5.5,0.7,8.325,79.588,-12.654,0.067,0.638,-0.101,0.760
0.142222,-9.647,-0.251,1.731,-0.029,0.078,-0.569,4.3,5.3,0.7,8.330,79.588,-12.659,0.067,0.638,-0.101,0.760
0.146667,-9.564,-0.237,1.653,0.191,-0.619,-1.023,3.9,5.4,1.2,8.331,79.589,-12.659,0.067,0.638,-0.101,0.760
0.151111,-9.505,-0.270,1.668,0.209,-0.559,-0.619,3.5,5.5,1.7,8.331,79.590,-12.659,0.067,0.638,-0.101,0.760
0.155556,-9.606,-0.199,1.709,-0.072,0.095,-1.028,3.2,5.5,2.1,8.333,79.590,-12.657,0.067,0.638,-0.101,0.760
0.160000,-9.526,-0.260,1.706,-0.507,-0.135,-0.948,3.8,5.4,1.9,8.334,79.590,-12.658,0.067,0.638,-0.101,0.760
0.164444,-9.546,-0.321,1.678,-0.553,-0.472,-0.717,4.4,5.3,1.8,8.341,79.590,-12.669,0.067,0.638,-0.102,0.760
0.168889,-9.569,-0.221,1.657,-0.214,0.038,-0.285,4.9,5.2,1.6,8.352,79.591,-12.680,0.067,0.638,-0.102,0.760
0.173333,-9.471,-0.338,1.723,-0.081,0.427,-0.306,4.7,5.1,1.2,8.360,79.590,-12.692,0.067,0.638,-0.102,0.760
0.177778,-9.459,-0.284,1.577,-0.183,-0.257,-0.978,4.5,4.9,0.9,8.366,79.592,-12.699,0.067,0.638,-0.102,0.760
0.182222,-9.494,-0.320,1.684,-0.161,-0.534,-1.249,4.3,4.8,0.6,8.371,79.592,-12.706,0.067,0.638,-0.102,0.760
0.186667,-9.443,-0.331,1.612,-0.028,-0.239,-0.998,4.2,4.5,0.5,8.374,79.594,-12.712,0.067,0.638,-0.102,0.760
0.191111,-9.631,-0.314,1.642,0.145,-0.465,-0.584,4.0,4.3,0.4,8.374,79.596,-12.713,0.067,0.638,-0.102,0.760
0.195556,-9.591,-0.396,1.713,0.291,-0.319,-0.826,3.9,4.0,0.4,8.371,79.597,-12.714,0.067,0.638,-0.102,0.760
0.200000,-9.587,-0.322,1.734,0.319,-0.146,-1.112,4.1,3.5,1.0,8.369,79.596,-12.713,0.067,0.638,-0.102,0.760
0.204444,-9.646,-0.217,1.636,-0.280,-0.232,-0.646,4.3,3.1,1.5,8.367,79.598,-12.708,0.067,0.638,-0.102,0.760
0.208889,-9.603,-0.224,1.778,0.074,-0.246,-0.625,4.5,2.9,1.9,8.365,79.597,-12.703,0.067,0.638,-0.102,0.760
0.213333,-9.510,-0.169,1.742,0.174,-0.436,-0.967,4.7,4.0,1.4,8.364,79.596,-12.699,0.067,0.638,-0.102,0.760
0.217778,-9.605,-0.260,1.651,0.326,-0.204,-1.306,4.8,5.1,1.0,8.367,79.598,-12.702,0.067,0.638,-0.102,0.760
0.222222,-9.620,-0.295,1.651,0.278,-0.156,-1.735,5.0,5.9,0.7,8.371,79.598,-12.707,0.067,0.638,-0.102,0.760
0.226667,-9.621,-0.209,1.698,0.443,-0.474,-1.320,5.1,5.4,1.0,8.377,79.595,-12.715,0.067,0.638,-0.102,0.760
0.231111,-9.606,-0.190,1.792,-0.094,-0.399,-1.137,5.2,5.0,1.3,8.382,79.593,-12.717,0.067,0.638,-0.102,0.760
0.235556,-9.535,-0.215,1.723,0.102,-0.276,-1.523,5.2,4.7,1.5,8.383,79.593,-12.717,0.067,0.638,-0.102,0.760
0.240000,-9.500,-0.140,1.665,0.323,-0.153,-1.649,4.9,5.1,1.4,8.386,79.593,-12.715,0.067,0.638,-0.102,0.760
0.244444,-9.458,-0.245,1.725,0.000,-0.197,-1.510,4.7,5.4,1.3,8.387,79.593,-12.715,0.067,0.638,-0.102,0.760
0.248889,-9.426,-0.221,1.719,0.062,-0.440,-1.447,4.5,5.6,1.3,8.391,79.592,-12.718,0.067,0.638,-0.102,0.760
0.253333,-9.439,-0.213,1.758,0.134,-0.081,-0.949,4.5,5.1,1.5,8.395,79.590,-12.721,0.067,0.638,-0.102,0.760
0.257778,-9.423,-0.293,1.701,0.026,-0.344,-1.172,4.5,4.6,1.8,8.397,79.590,-12.725,0.067,0.638,-0.102,0.760
0.262222,-9.455,-0.273,1.671,0.594,-0.070,-1.005,4.5,4.3,1.8,8.401,79.590,-12.729,0.067,0.638,-0.102,0.760
0.266667,-9.504,-0.249,1.624,0.499,-0.260,-0.949,4.7,4.6,1.2,8.405,79.591,-12.733,0.067,0.638,-0.102,0.760
0.271111,-9.562,-0.216,1.696,0.349,0.149,-1.156,4.8,5.0,0.7,8.410,79.591,-12.737,0.067,0.638,-0.102,0.760
0.275556,-9.521,-0.360,1.808,0.097,0.165,-1.534,5.0,5.3,0.3,8.414,79.589,-12.745,0.067,0.638,-0.102,0.760
0.280000,-9.533,-0.305,1.712,-0.339,0.251,-1.744,5.0,5.3,0.3,8.419,79.589,-12.752,0.067,0.638,-0.102,0.760
