time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.419,-1.829,2.246,1.098,-0.427,-0.671,-105.9,-9.0,21.0,10.731,-3.417,4.168,100.511,-32.981,130.858,0.594,-0.195,0.774,0.102
0.000625,9.414,-1.842,2.233,1.020,-0.436,-0.654,-105.9,-9.0,21.0,8.901,-2.943,2.682,100.510,-32.983,130.857,0.594,-0.195,0.774,0.102
0.001250,9.409,-1.855,2.220,0.941,-0.445,-0.636,-105.9,-9.0,21.0,9.013,-2.870,5.608,100.509,-32.985,130.856,0.594,-0.195,0.774,0.102
0.001875,9.404,-1.868,2.207,0.863,-0.453,-0.619,-105.9,-9.0,21.0,7.894,-5.659,4.626,100.508,-32.987,130.855,0.594,-0.195,0.774,0.102
0.002500,9.400,-1.881,2.194,0.784,-0.462,-0.601,-105.9,-9.0,21.0,9.627,-4.246,3.516,100.506,-32.989,130.854,0.594,-0.195,0.774,0.102
0.003125,9.395,-1.894,2.181,0.705,-0.471,-0.584,-105.9,-9.0,21.0,10.437,-4.218,3.349,100.505,-32.990,130.854,0.594,-0.195,0.774,0.102
0.003750,9.390,-1.907,2.168,0.627,-0.480,-0.566,-105.9,-9.0,21.0,11.298,-2.370,5.671,100.504,-32.992,130.853,0.594,-0.195,0.774,0.102
0.004375,9.385,-1.920,2.155,0.550,-0.488,-0.549,-105.9,-9.0,21.0,11.098,-2.680,4.685,100.503,-32.994,130.852,0.594,-0.195,0.774,0.102
0.005000,9.387,-1.902,2.166,0.655,-0.488,-0.567,-105.9,-9.0,21.0,9.484,-4.389,3.166,100.501,-32.995,130.851,0.594,-0.195,0.774,0.102
0.005625,9.389,-1.884,2.177,0.760,-0.488,-0.584,-105.9,-9.0,21.0,7.586,-6.663,3.998,100.500,-32.996,130.851,0.594,-0.195,0.774,0.102
0.006250,9.391,-1.866,2.188,0.865,-0.488,-0.602,-105.9,-9.0,21.0,10.153,-3.454,3.561,100.499,-32.997,130.850,0.594,-0.195,0.774,0.102
0.006875,9.394,-1.849,2.199,0.970,-0.488,-0.619,-105.9,-9.0,21.0,10.266,-4.234,4.085,100.498,-32.998,130.849,0.594,-0.195,0.774,0.102
0.007500,9.396,-1.831,2.210,1.074,-0.488,-0.637,-105.9,-9.0,21.0,8.952,-3.690,4.670,100.496,-32.999,130.849,0.594,-0.195,0.774,0.102
0.008125,9.398,-1.813,2.221,1.179,-0.488,-0.654,-105.9,-9.0,21.0,8.250,-6.597,4.784,100.495,-33.000,130.848,0.594,-0.195,0.774,0.102
0.008750,9.400,-1.796,2.231,1.282,-0.490,-0.671,-105.9,-9.0,21.0,8.490,-5.511,5.498,100.494,-33.001,130.848,0.594,-0.195,0.774,0.102
0.009375,9.395,-1.811,2.227,1.317,-0.578,-0.680,-105.9,-9.0,21.0,8.964,-5.491,2.913,100.493,-33.003,130.847,0.594,-0.195,0.774,0.102
0.010000,9.391,-1.826,2.223,1.352,-0.665,-0.689,-105.9,-9.0,21.0,9.439,-5.391,5.061,100.491,-33.004,130.847,0.594,-0.195,0.774,0.102
0.010625,9.387,-1.841,2.219,1.387,-0.752,-0.698,-105.9,-9.0,21.0,9.567,-5.608,6.565,100.490,-33.006,130.846,0.594,-0.195,0.774,0.102
0.011250,9.383,-1.856,2.215,1.422,-0.840,-0.706,-105.9,-9.0,21.0,10.252,-3.003,4.986,100.489,-33.007,130.846,0.594,-0.195,0.774,0.102
0.011875,9.379,-1.871,2.211,1.457,-0.927,-0.715,-105.9,-9.0,21.0,9.509,-4.621,3.290,100.488,-33.008,130.845,0.594,-0.195,0.774,0.102
0.012500,9.375,-1.886,2.207,1.492,-1.014,-0.724,-105.9,-9.0,21.0,11.098,-4.736,4.209,100.487,-33.010,130.845,0.594,-0.195,0.774,0.102
0.013125,9.372,-1.901,2.203,1.523,-1.097,-0.732,-105.9,-9.0,21.0,9.642,-4.967,5.446,100.486,-33.011,130.844,0.594,-0.195,0.774,0.102
0.013750,9.395,-1.892,2.206,1.453,-1.071,-0.714,-105.9,-9.0,21.0,8.611,-5.262,5.740,100.485,-33.012,130.844,0.594,-0.195,0.774,0.102
0.014375,9.418,-1.883,2.210,1.383,-1.045,-0.697,-105.9,-9.0,21.0,8.934,-4.615,6.064,100.484,-33.013,130.843,0.594,-0.195,0.774,0.102
0.015000,9.442,-1.874,2.213,1.313,-1.019,-0.679,-105.9,-9.0,21.0,10.048,-3.666,5.259,100.482,-33.014,130.843,0.594,-0.195,0.774,0.102
0.015625,9.465,-1.865,2.216,1.244,-0.993,-0.662,-105.9,-9.0,21.0,8.312,-5.561,4.784,100.481,-33.015,130.842,0.594,-0.195,0.774,0.102
0.016250,9.488,-1.856,2.220,1.174,-0.966,-0.644,-105.9,-9.0,21.0,9.049,-4.199,4.471,100.480,-33.017,130.841,0.594,-0.195,0.774,0.102
0.016875,9.512,-1.847,2.223,1.104,-0.940,-0.627,-105.9,-9.0,21.0,9.737,-4.413,4.922,100.479,-33.018,130.841,0.594,-0.195,0.774,0.102
0.017500,9.533,-1.838,2.226,1.037,-0.915,-0.608,-105.9,-9.0,21.0,9.567,-4.652,4.652,100.478,-33.019,130.840,0.594,-0.195,0.774,0.102
0.018125,9.509,-1.833,2.204,1.028,-0.915,-0.555,-105.9,-9.0,21.0,9.567,-4.606,4.606,100.477,-33.020,130.839,0.594,-0.195,0.774,0.102
0.018750,9.486,-1.828,2.182,1.019,-0.915,-0.503,-105.9,-9.0,21.0,10.460,-4.189,4.784,100.477,-33.021,130.838,0.594,-0.195,0.774,0.102
0.019375,9.463,-1.822,2.160,1.011,-0.915,-0.450,-105.9,-9.0,21.0,11.003,-5.001,4.197,100.476,-33.022,130.837,0.594,-0.195,0.774,0.102
0.020000,9.439,-1.817,2.138,1.002,-0.915,-0.398,-105.9,-9.0,21.0,10.713,-5.740,4.407,100.475,-33.023,130.836,0.594,-0.195,0.774,0.102
0.020625,9.416,-1.811,2.116,0.993,-0.915,-0.346,-105.9,-9.0,21.0,9.666,-5.740,5.928,100.475,-33.024,130.835,0.594,-0.195,0.774,0.102
0.021250,9.393,-1.806,2.094,0.985,-0.915,-0.293,-105.9,-9.0,21.0,9.936,-4.611,5.850,100.474,-33.026,130.835,0.594,-0.195,0.774,0.102
0.021875,9.372,-1.800,2.074,0.976,-0.916,-0.249,-105.9,-9.0,20.9,10.246,-4.384,4.705,100.473,-33.027,130.834,0.594,-0.195,0.774,0.102
0.022500,9.383,-1.787,2.085,0.967,-0.925,-0.327,-105.9,-9.0,20.9,9.221,-5.059,5.130,100.473,-33.027,130.833,0.594,-0.195,0.774,0.102
