time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.722,-0.963,-0.765,0.457,1.520,-1.195,-55.6,-12.8,43.7,11.870,0.975,3.295,-6.086,-94.194,2.823,-0.047,-0.732,0.022,0.679
0.000625,9.707,-0.960,-0.757,0.465,1.572,-1.151,-55.6,-12.8,43.7,9.625,1.400,1.913,-6.084,-94.194,2.824,-0.047,-0.732,0.022,0.679
0.001250,9.692,-0.957,-0.750,0.474,1.623,-1.108,-55.6,-12.8,43.7,11.954,0.010,1.908,-6.083,-94.194,2.826,-0.047,-0.732,0.022,0.679
0.001875,9.677,-0.955,-0.742,0.483,1.675,-1.065,-55.6,-12.8,43.7,11.482,0.954,1.436,-6.082,-94.195,2.827,-0.047,-0.732,0.022,0.679
0.002500,9.669,-0.956,-0.736,0.541,1.705,-1.047,-55.6,-12.8,43.7,11.952,1.427,2.377,-6.081,-94.195,2.828,-0.047,-0.732,0.022,0.679
0.003125,9.671,-0.966,-0.734,0.687,1.697,-1.073,-55.6,-12.8,43.7,11.031,0.042,3.321,-6.080,-94.195,2.829,-0.047,-0.732,0.022,0.679
0.003750,9.674,-0.975,-0.731,0.834,1.688,-1.098,-55.5,-12.8,43.7,11.003,1.832,3.349,-6.079,-94.195,2.830,-0.047,-0.732,0.022,0.679
0.004375,9.677,-0.985,-0.728,0.981,1.680,-1.124,-55.4,-12.8,43.7,11.906,0.107,1.994,-6.078,-94.195,2.832,-0.047,-0.732,0.022,0.679
0.005000,9.680,-0.994,-0.726,1.128,1.671,-1.150,-55.3,-12.8,43.7,11.959,0.000,1.468,-6.077,-94.195,2.833,-0.047,-0.732,0.022,0.679
0.005625,9.682,-1.004,-0.723,1.275,1.662,-1.176,-55.2,-12.9,43.7,12.398,3.949,1.874,-6.076,-94.195,2.834,-0.047,-0.732,0.022,0.679
0.006250,9.685,-1.013,-0.720,1.422,1.654,-1.202,-55.1,-12.9,43.8,12.870,3.441,4.075,-6.075,-94.194,2.835,-0.047,-0.732,0.022,0.679
0.006875,9.688,-1.022,-0.713,1.520,1.645,-1.205,-55.0,-12.9,43.8,12.490,4.201,2.601,-6.074,-94.194,2.837,-0.047,-0.732,0.022,0.679
0.007500,9.691,-1.030,-0.695,1.503,1.636,-1.153,-54.9,-13.0,43.8,11.179,1.368,3.231,-6.074,-94.194,2.838,-0.047,-0.732,0.022,0.679
0.008125,9.695,-1.037,-0.676,1.486,1.628,-1.102,-54.8,-13.0,43.8,12.242,4.262,1.283,-6.073,-94.193,2.839,-0.047,-0.732,0.022,0.679
0.008750,9.698,-1.044,-0.658,1.469,1.619,-1.050,-54.7,-13.0,43.9,12.031,2.343,0.957,-6.072,-94.193,2.841,-0.047,-0.732,0.022,0.679
0.009375,9.701,-1.052,-0.640,1.451,1.610,-0.998,-54.6,-13.1,43.9,11.159,0.312,1.758,-6.071,-94.193,2.842,-0.047,-0.732,0.022,0.679
0.010000,9.705,-1.059,-0.621,1.434,1.602,-0.946,-54.5,-13.1,43.9,11.003,0.788,0.337,-6.070,-94.192,2.843,-0.047,-0.732,0.022,0.679
0.010625,9.708,-1.067,-0.603,1.417,1.593,-0.894,-54.4,-13.1,43.9,11.003,2.507,1.163,-6.070,-94.192,2.845,-0.047,-0.732,0.022,0.679
0.011250,9.709,-1.070,-0.595,1.388,1.594,-0.852,-54.3,-13.1,43.9,11.384,2.108,3.723,-6.069,-94.191,2.846,-0.047,-0.732,0.022,0.679
0.011875,9.703,-1.056,-0.623,1.319,1.629,-0.844,-54.2,-13.2,44.0,11.481,1.913,2.431,-6.068,-94.192,2.847,-0.047,-0.732,0.022,0.679
0.012500,9.696,-1.042,-0.651,1.249,1.664,-0.835,-54.1,-13.2,44.0,10.744,1.913,3.756,-6.067,-94.192,2.848,-0.047,-0.732,0.022,0.679
