time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.472,-0.903,2.494,-0.351,1.128,-0.862,-85.7,18.3,-8.1,6.254,0.513,1.773,-62.778,-53.525,-73.281,-0.467,-0.398,-0.545,0.571
0.000625,9.484,-0.905,2.493,-0.264,1.222,-0.905,-85.7,18.2,-8.2,6.641,1.746,-0.199,-62.778,-53.525,-73.281,-0.467,-0.398,-0.545,0.571
0.001250,9.496,-0.908,2.492,-0.178,1.317,-0.948,-85.6,18.2,-8.3,7.500,0.307,1.128,-62.778,-53.525,-73.282,-0.467,-0.398,-0.545,0.571
0.001875,9.508,-0.910,2.492,-0.092,1.412,-0.991,-85.6,18.2,-8.5,8.035,1.142,0.293,-62.777,-53.525,-73.282,-0.467,-0.398,-0.545,0.571
0.002500,9.520,-0.912,2.491,-0.006,1.507,-1.035,-85.6,18.2,-8.6,7.053,1.075,0.000,-62.777,-53.525,-73.282,-0.467,-0.398,-0.545,0.571
0.003125,9.533,-0.914,2.490,0.081,1.602,-1.078,-85.6,18.2,-8.7,7.375,4.006,0.000,-62.777,-53.525,-73.282,-0.467,-0.398,-0.545,0.571
0.003750,9.524,-0.921,2.495,0.095,1.594,-1.036,-85.5,18.1,-8.8,6.700,3.672,0.000,-62.777,-53.524,-73.283,-0.467,-0.398,-0.545,0.571
0.004375,9.496,-0.934,2.503,0.043,1.490,-0.915,-85.5,18.1,-8.9,8.298,2.870,0.000,-62.777,-53.524,-73.283,-0.467,-0.398,-0.545,0.571
0.005000,9.469,-0.947,2.512,-0.008,1.387,-0.794,-85.5,18.1,-9.1,7.082,2.042,0.000,-62.777,-53.523,-73.284,-0.467,-0.398,-0.545,0.571
0.005625,9.441,-0.960,2.521,-0.060,1.283,-0.673,-85.5,18.1,-9.2,6.028,1.946,0.766,-62.777,-53.522,-73.285,-0.467,-0.398,-0.545,0.571
0.006250,9.413,-0.973,2.530,-0.112,1.180,-0.553,-85.4,18.1,-9.3,5.994,2.626,0.732,-62.777,-53.522,-73.285,-0.467,-0.398,-0.545,0.571
0.006875,9.385,-0.986,2.539,-0.164,1.076,-0.432,-85.4,18.0,-9.4,6.116,2.230,0.000,-62.777,-53.521,-73.286,-0.467,-0.398,-0.545,0.571
0.007500,9.358,-0.998,2.547,-0.215,0.973,-0.311,-85.4,18.0,-9.5,7.753,1.628,0.385,-62.777,-53.520,-73.287,-0.467,-0.398,-0.545,0.571
0.008125,9.351,-1.001,2.540,-0.263,0.938,-0.302,-85.3,18.0,-9.6,8.439,1.227,2.331,-62.777,-53.520,-73.287,-0.467,-0.398,-0.545,0.571
0.008750,9.371,-0.990,2.512,-0.306,0.990,-0.431,-85.3,18.0,-9.5,7.831,0.453,3.275,-62.778,-53.520,-73.288,-0.467,-0.398,-0.545,0.571
0.009375,9.390,-0.979,2.484,-0.350,1.042,-0.560,-85.3,18.0,-9.4,7.306,1.565,0.000,-62.778,-53.520,-73.288,-0.467,-0.398,-0.545,0.571
0.010000,9.410,-0.968,2.457,-0.393,1.094,-0.690,-85.3,18.0,-9.3,8.199,1.695,0.000,-62.779,-53.520,-73.289,-0.467,-0.398,-0.545,0.571
0.010625,9.429,-0.957,2.429,-0.436,1.145,-0.819,-85.3,18.0,-9.2,9.781,1.045,0.088,-62.779,-53.520,-73.290,-0.467,-0.398,-0.545,0.571
0.011250,9.449,-0.947,2.401,-0.479,1.197,-0.949,-85.3,18.0,-9.1,8.678,1.233,0.411,-62.780,-53.520,-73.290,-0.467,-0.398,-0.545,0.571
0.011875,9.469,-0.936,2.373,-0.522,1.249,-1.078,-85.3,18.0,-9.0,8.857,0.093,-0.093,-62.780,-53.519,-73.291,-0.467,-0.398,-0.545,0.571
0.012500,9.479,-0.925,2.359,-0.530,1.281,-1.127,-85.2,17.9,-8.9,6.774,1.033,-0.931,-62.781,-53.519,-73.291,-0.467,-0.398,-0.545,0.571
0.013125,9.474,-0.913,2.369,-0.478,1.281,-1.041,-85.2,17.9,-8.8,8.128,2.387,-0.474,-62.781,-53.519,-73.292,-0.467,-0.398,-0.545,0.571
0.013750,9.468,-0.902,2.378,-0.427,1.281,-0.955,-85.2,17.9,-8.7,7.670,1.930,-0.016,-62.781,-53.519,-73.293,-0.467,-0.398,-0.545,0.571
0.014375,9.463,-0.890,2.388,-0.375,1.281,-0.869,-85.2,17.9,-8.6,7.654,1.913,1.765,-62.782,-53.519,-73.294,-0.467,-0.398,-0.545,0.571
0.015000,9.457,-0.879,2.397,-0.323,1.281,-0.782,-85.2,17.9,-8.5,8.495,1.073,-0.188,-62.782,-53.519,-73.295,-0.467,-0.398,-0.545,0.571
0.015625,9.452,-0.867,2.407,-0.271,1.281,-0.696,-85.2,17.9,-8.5,7.812,0.158,0.320,-62.782,-53.519,-73.296,-0.467,-0.398,-0.545,0.571
0.016250,9.447,-0.856,2.416,-0.220,1.281,-0.610,-85.2,17.9,-8.4,7.275,0.757,0.100,-62.782,-53.519,-73.297,-0.467,-0.398,-0.545,0.571
0.016875,9.439,-0.851,2.426,-0.196,1.264,-0.580,-85.1,17.9,-8.3,7.891,1.314,-0.358,-62.782,-53.519,-73.297,-0.467,-0.398,-0.545,0.571
0.017500,9.426,-0.863,2.436,-0.239,1.203,-0.683,-85.1,17.9,-8.2,7.122,1.772,-0.142,-62.782,-53.519,-73.298,-0.467,-0.398,-0.545,0.571
0.018125,9.413,-0.876,2.446,-0.282,1.143,-0.787,-85.1,17.9,-8.1,7.645,2.229,0.948,-62.782,-53.519,-73.298,-0.467,-0.398,-0.545,0.571
0.018750,9.400,-0.888,2.456,-0.325,1.082,-0.890,-85.1,17.9,-8.0,7.542,1.802,0.550,-62.781,-53.519,-73.298,-0.467,-0.398,-0.545,0.571
0.019375,9.387,-0.900,2.467,-0.368,1.022,-0.994,-85.1,17.9,-7.9,8.546,1.435,0.548,-62.781,-53.519,-73.298,-0.467,-0.398,-0.545,0.571
0.020000,9.375,-0.912,2.477,-0.411,0.962,-1.097,-85.1,17.9,-7.8,8.302,0.676,1.716,-62.781,-53.518,-73.299,-0.467,-0.398,-0.545,0.571
0.020625,9.362,-0.924,2.487,-0.455,0.901,-1.201,-85.1,17.9,-7.7,7.408,0.000,1.695,-62.781,-53.518,-73.299,-0.467,-0.398,-0.545,0.571
0.021250,9.350,-0.935,2.493,-0.498,0.871,-1.281,-85.1,17.9,-7.7,7.231,1.057,0.111,-62.781,-53.518,-73.299,-0.467,-0.398,-0.545,0.571
0.021875,9.341,-0.942,2.486,-0.541,0.949,-1.281,-85.1,17.9,-7.7,6.126,1.820,0.377,-62.780,-53.518,-73.299,-0.467,-0.398,-0.545,0.571
0.022500,9.332,-0.949,2.480,-0.584,1.027,-1.281,-85.1,17.9,-7.7,5.941,1.126,2.731,-62.780,-53.518,-73.299,-0.467,-0.398,-0.545,0.571
0.023125,9.323,-0.956,2.473,-0.627,1.104,-1.281,-85.1,17.9,-7.7,7.622,0.989,2.307,-62.780,-53.517,-73.299,-0.467,-0.398,-0.545,0.571
0.023750,9.315,-0.962,2.466,-0.670,1.182,-1.281,-85.1,17.9,-7.7,7.971,0.000,0.767,-62.780,-53.517,-73.299,-0.467,-0.398,-0.545,0.571
0.024375,9.306,-0.969,2.459,-0.713,1.260,-1.281,-85.1,17.9,-7.7,6.540,0.535,2.442,-62.780,-53.517,-73.299,-0.467,-0.398,-0.545,0.571
