time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.666,-0.871,-0.422,0.601,-0.948,-1.169,-97.9,-9.4,-10.3,-101.602,-40.146,-93.985,-0.671,-0.265,-0.620,0.308
0.004444,9.661,-1.025,-0.426,0.699,-1.082,-0.791,-97.8,-9.3,-11.1,-101.606,-40.138,-93.985,-0.671,-0.265,-0.620,0.308
0.008889,9.811,-0.960,-0.389,0.732,-1.260,-0.571,-98.1,-9.3,-11.0,-101.613,-40.127,-93.989,-0.671,-0.265,-0.620,0.308
0.013333,9.843,-0.871,-0.577,-0.090,-0.734,-0.714,-98.4,-9.2,-10.7,-101.623,-40.120,-93.993,-0.671,-0.265,-0.620,0.308
0.017778,9.678,-0.831,-0.463,0.431,-0.280,-1.123,-98.7,-9.2,-10.4,-101.625,-40.120,-93.992,-0.671,-0.265,-0.620,0.308
0.022222,9.797,-0.828,-0.397,0.431,-0.529,-1.102,-98.7,-9.2,-10.4,-101.623,-40.122,-93.990,-0.671,-0.265,-0.620,0.308
0.026667,9.725,-0.810,-0.343,0.775,-0.375,-1.156,-98.7,-9.2,-10.4,-101.620,-40.125,-93.989,-0.671,-0.265,-0.620,0.308
0.031111,9.762,-0.842,-0.405,0.380,-0.307,-1.159,-98.7,-9.2,-10.4,-101.621,-40.123,-93.990,-0.671,-0.265,-0.620,0.308
0.035556,9.759,-0.843,-0.416,0.907,-0.185,-1.039,-98.8,-9.5,-10.5,-101.624,-40.121,-93.991,-0.671,-0.265,-0.620,0.308
0.040000,9.797,-0.800,-0.570,0.488,0.123,-1.281,-98.9,-9.9,-10.7,-101.630,-40.120,-93.991,-0.671,-0.265,-0.620,0.308
0.044444,9.710,-0.805,-0.482,0.318,0.344,-1.230,-99.0,-10.2,-10.8,-101.634,-40.119,-93.992,-0.671,-0.265,-0.620,0.308
0.048889,9.693,-0.837,-0.418,0.892,-0.725,-1.702,-98.9,-10.8,-10.7,-101.632,-40.122,-93.989,-0.671,-0.265,-0.620,0.308
0.053333,9.737,-0.814,-0.445,0.339,-0.519,-1.495,-98.9,-11.3,-10.7,-101.629,-40.127,-93.985,-0.671,-0.265,-0.620,0.308
0.057778,9.766,-0.892,-0.520,0.955,0.004,-1.003,-98.8,-11.8,-10.7,-101.628,-40.132,-93.978,-0.671,-0.265,-0.620,0.308
0.062222,9.732,-0.908,-0.434,1.409,0.022,-1.348,-98.4,-11.2,-10.7,-101.621,-40.141,-93.967,-0.671,-0.265,-0.620,0.308
0.066667,9.667,-0.884,-0.380,0.900,-0.327,-1.364,-97.9,-10.6,-10.7,-101.611,-40.152,-93.956,-0.671,-0.265,-0.620,0.308
0.071111,9.747,-0.875,-0.488,1.251,-0.008,-1.053,-97.6,-10.1,-10.7,-101.604,-40.163,-93.944,-0.671,-0.265,-0.620,0.308
0.075556,9.787,-0.892,-0.326,1.046,-0.078,-1.194,-98.3,-10.2,-10.8,-101.598,-40.166,-93.940,-0.671,-0.265,-0.620,0.308
0.080000,9.711,-0.825,-0.556,1.040,-0.144,-1.364,-99.0,-10.3,-10.9,-101.598,-40.172,-93.933,-0.671,-0.265,-0.620,0.308
0.084444,9.760,-0.762,-0.381,0.689,-0.004,-1.214,-99.5,-10.3,-10.9,-101.594,-40.177,-93.931,-0.671,-0.265,-0.620,0.308
0.088889,9.788,-0.882,-0.387,0.548,-0.257,-1.393,-99.2,-10.0,-10.3,-101.590,-40.181,-93.926,-0.671,-0.265,-0.620,0.308
0.093333,9.847,-0.827,-0.461,0.767,-0.152,-1.085,-98.9,-9.7,-9.7,-101.587,-40.187,-93.921,-0.671,-0.265,-0.620,0.308
0.097778,9.681,-0.820,-0.434,0.798,-0.502,-1.009,-98.6,-9.4,-9.4,-101.585,-40.191,-93.918,-0.671,-0.265,-0.620,0.308
0.102222,9.660,-0.829,-0.341,1.054,-0.685,-1.052,-98.3,-9.0,-10.0,-101.588,-40.186,-93.922,-0.671,-0.265,-0.620,0.308
0.106667,9.754,-0.878,-0.349,0.517,-0.871,-1.400,-98.0,-8.5,-10.5,-101.591,-40.179,-93.927,-0.671,-0.265,-0.620,0.308
0.111111,9.761,-0.847,-0.357,0.514,-0.279,-1.203,-97.9,-8.4,-10.9,-101.595,-40.172,-93.933,-0.671,-0.265,-0.620,0.308
0.115556,9.787,-0.846,-0.506,0.824,-0.128,-1.141,-98.5,-9.2,-10.5,-101.602,-40.167,-93.936,-0.671,-0.265,-0.620,0.308
0.120000,9.761,-0.825,-0.395,0.863,0.078,-1.157,-99.0,-9.9,-10.1,-101.606,-40.162,-93.940,-0.671,-0.265,-0.620,0.308
0.124444,9.666,-0.849,-0.358,0.611,-0.384,-1.097,-99.2,-10.2,-9.9,-101.608,-40.157,-93.943,-0.671,-0.265,-0.620,0.308
0.128889,9.689,-0.846,-0.397,0.984,0.162,-0.840,-98.8,-9.7,-10.0,-101.611,-40.154,-93.945,-0.671,-0.265,-0.620,0.308
0.133333,9.729,-0.794,-0.415,0.700,0.077,-1.241,-98.5,-9.3,-10.1,-101.611,-40.154,-93.948,-0.671,-0.265,-0.620,0.308
0.137778,9.761,-0.780,-0.359,0.125,0.024,-1.634,-98.3,-9.0,-10.3,-101.610,-40.154,-93.954,-0.671,-0.265,-0.620,0.308
0.142222,9.756,-0.794,-0.405,0.437,-0.013,-1.461,-98.6,-8.9,-10.5,-101.610,-40.154,-93.955,-0.671,-0.265,-0.620,0.308
0.146667,9.691,-0.816,-0.296,0.441,-0.096,-1.150,-98.9,-8.8,-10.7,-101.611,-40.150,-93.959,-0.671,-0.265,-0.620,0.308
0.151111,9.674,-0.810,-0.295,0.497,-0.007,-1.328,-99.0,-8.9,-10.5,-101.612,-40.145,-93.964,-0.671,-0.265,-0.620,0.308
0.155556,9.694,-0.848,-0.395,0.290,0.117,-1.297,-99.0,-9.3,-9.9,-101.615,-40.141,-93.967,-0.671,-0.265,-0.620,0.308
0.160000,9.710,-0.828,-0.352,0.488,-0.020,-1.360,-99.0,-9.7,-9.3,-101.616,-40.137,-93.971,-0.671,-0.265,-0.620,0.308
0.164444,9.690,-0.762,-0.380,0.308,-0.154,-1.316,-99.0,-9.8,-9.0,-101.619,-40.135,-93.974,-0.671,-0.265,-0.620,0.308
0.168889,9.678,-0.793,-0.404,0.247,-0.248,-0.883,-98.9,-9.4,-8.9,-101.622,-40.132,-93.978,-0.671,-0.265,-0.620,0.308
0.173333,9.714,-0.848,-0.436,0.914,-0.524,-1.148,-98.9,-9.1,-8.9,-101.627,-40.127,-93.981,-0.671,-0.265,-0.620,0.308
0.177778,9.782,-0.818,-0.443,1.137,-0.477,-1.165,-98.7,-9.2,-8.9,-101.632,-40.122,-93.985,-0.671,-0.265,-0.620,0.308
0.182222,9.775,-0.785,-0.438,1.156,-0.435,-1.259,-98.4,-9.5,-9.1,-101.637,-40.118,-93.990,-0.671,-0.265,-0.620,0.308
0.186667,9.696,-0.780,-0.416,1.165,-0.453,-1.242,-98.1,-9.8,-9.2,-101.644,-40.111,-93.997,-0.671,-0.265,-0.620,0.308
0.191111,9.722,-0.856,-0.442,0.782,-0.025,-1.001,-98.2,-9.8,-9.6,-101.653,-40.101,-94.004,-0.671,-0.265,-0.620,0.308
0.195556,9.862,-0.910,-0.432,0.422,0.169,-1.239,-98.8,-9.5,-10.1,-101.662,-40.090,-94.011,-0.671,-0.265,-0.621,0.308
0.200000,9.817,-0.825,-0.484,0.653,0.122,-1.172,-99.3,-9.2,-10.6,-101.669,-40.084,-94.016,-0.671,-0.265,-0.621,0.308
0.204444,9.682,-0.723,-0.413,1.093,0.043,-1.037,-99.1,-9.6,-10.8,-101.673,-40.082,-94.020,-0.671,-0.265,-0.621,0.308
0.208889,9.727,-0.778,-0.462,0.813,-0.122,-0.874,-98.6,-10.4,-10.8,-101.677,-40.080,-94.023,-0.671,-0.265,-0.621,0.308
0.213333,9.742,-0.806,-0.504,0.694,-0.183,-1.044,-98.1,-11.2,-10.8,-101.681,-40.080,-94.023,-0.671,-0.265,-0.621,0.308
0.217778,9.791,-0.840,-0.431,0.947,-0.226,-1.031,-98.2,-10.7,-10.9,-101.682,-40.079,-94.023,-0.671,-0.265,-0.621,0.308
