time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,1.529,-8.476,5.131,-0.629,-0.559,-0.395,2.4,-11.0,30.2,5.390,-84.210,146.791,0.032,-0.495,0.863,0.093
0.004444,1.565,-8.437,5.141,-0.672,0.013,-0.655,1.7,-10.9,30.6,5.397,-84.209,146.795,0.032,-0.495,0.863,0.093
0.008889,1.442,-8.468,5.051,-0.842,0.151,-0.825,0.2,-10.9,31.3,5.389,-84.206,146.788,0.032,-0.495,0.863,0.093
0.013333,1.528,-8.502,5.029,-0.398,0.216,-0.525,-1.2,-10.8,32.0,5.378,-84.201,146.772,0.032,-0.495,0.863,0.093
0.017778,1.487,-8.531,5.107,-0.482,0.101,-0.904,-0.7,-10.8,31.8,5.363,-84.195,146.757,0.032,-0.495,0.863,0.093
0.022222,1.477,-8.504,5.163,-0.404,0.013,-0.602,0.4,-10.9,31.4,5.349,-84.187,146.743,0.031,-0.495,0.863,0.094
0.026667,1.445,-8.468,5.106,-0.954,0.098,-0.831,1.4,-10.9,31.0,5.351,-84.187,146.747,0.031,-0.495,0.863,0.094
0.031111,1.581,-8.504,5.074,-0.900,0.172,-0.716,1.4,-11.0,31.3,5.366,-84.192,146.758,0.032,-0.495,0.863,0.093
0.035556,1.507,-8.502,5.150,-0.350,-0.119,-0.923,1.1,-11.1,31.9,5.380,-84.195,146.772,0.032,-0.495,0.863,0.093
0.040000,1.428,-8.415,5.046,-0.397,-0.132,-0.721,0.8,-11.2,32.5,5.378,-84.195,146.772,0.032,-0.495,0.863,0.093
0.044444,1.385,-8.476,5.088,-0.789,0.240,-0.361,0.8,-11.3,32.0,5.369,-84.192,146.766,0.032,-0.495,0.863,0.093
0.048889,1.457,-8.449,5.021,-0.802,-0.376,-0.410,0.9,-11.4,31.3,5.362,-84.190,146.758,0.032,-0.495,0.863,0.093
0.053333,1.520,-8.471,5.096,-0.475,-0.116,-0.640,1.0,-11.5,30.7,5.360,-84.187,146.754,0.032,-0.495,0.863,0.093
0.057778,1.502,-8.606,5.042,-0.588,0.100,-0.779,0.7,-11.3,31.0,5.358,-84.189,146.750,0.032,-0.495,0.863,0.094
0.062222,1.563,-8.556,5.122,-0.011,0.122,-0.412,0.2,-11.1,31.4,5.359,-84.187,146.748,0.032,-0.495,0.863,0.094
0.066667,1.545,-8.478,5.042,-0.160,-0.043,-0.752,-0.3,-10.8,31.8,5.357,-84.186,146.743,0.032,-0.495,0.863,0.094
0.071111,1.340,-8.471,5.050,-0.183,-0.005,-0.961,-0.3,-10.8,31.8,5.349,-84.185,146.739,0.031,-0.495,0.863,0.094
0.075556,1.539,-8.373,5.087,-0.183,-0.282,-0.524,-0.3,-10.8,31.8,5.347,-84.181,146.734,0.031,-0.495,0.863,0.094
0.080000,1.516,-8.536,5.050,0.103,-0.419,-0.488,-0.3,-10.8,31.8,5.351,-84.183,146.736,0.031,-0.495,0.863,0.094
0.084444,1.440,-8.543,5.133,-0.572,0.209,-0.372,0.0,-11.2,31.7,5.355,-84.185,146.742,0.031,-0.495,0.863,0.094
0.088889,1.395,-8.561,5.124,-0.786,-0.107,-0.542,0.4,-11.6,31.5,5.358,-84.188,146.749,0.032,-0.495,0.863,0.094
0.093333,1.486,-8.571,5.059,-0.497,-0.122,-1.141,0.7,-12.0,31.4,5.363,-84.192,146.754,0.032,-0.495,0.863,0.093
0.097778,1.640,-8.585,5.122,-0.308,-0.062,-0.680,0.7,-11.8,31.3,5.366,-84.191,146.751,0.032,-0.495,0.863,0.093
