time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.358,2.686,-0.754,0.024,1.285,-0.575,-49.7,21.7,62.3,98.158,-39.510,77.599,0.681,-0.274,0.539,0.413
0.004444,9.349,2.694,-0.778,0.275,1.159,-0.642,-50.2,21.3,61.9,98.164,-39.500,77.605,0.681,-0.274,0.539,0.413
0.008889,9.407,2.708,-0.744,-0.277,1.558,-0.642,-50.5,21.2,61.7,98.164,-39.494,77.607,0.681,-0.274,0.539,0.413
0.013333,9.324,2.705,-0.738,-0.297,1.705,-0.762,-50.3,21.9,61.9,98.164,-39.488,77.609,0.681,-0.274,0.539,0.413
0.017778,9.289,2.677,-0.783,0.059,1.463,-0.764,-50.2,22.5,62.1,98.166,-39.484,77.610,0.681,-0.274,0.539,0.413
0.022222,9.358,2.642,-0.835,0.127,1.531,-0.506,-50.1,22.5,62.3,98.168,-39.484,77.608,0.681,-0.274,0.539,0.413
0.026667,9.368,2.625,-0.737,0.309,2.002,-0.438,-50.1,21.8,62.5,98.167,-39.484,77.608,0.681,-0.274,0.539,0.413
0.031111,9.341,2.654,-0.715,0.464,2.155,-0.578,-50.1,21.2,62.6,98.168,-39.479,77.611,0.681,-0.274,0.539,0.413
0.035556,9.354,2.537,-0.779,0.318,1.981,-0.384,-50.1,20.9,62.7,98.173,-39.473,77.618,0.681,-0.274,0.539,0.413
0.040000,9.302,2.485,-0.746,0.289,1.953,-0.177,-50.1,20.9,62.7,98.179,-39.467,77.627,0.681,-0.274,0.539,0.413
0.044444,9.271,2.546,-0.711,0.664,1.716,0.047,-50.1,20.9,62.7,98.180,-39.465,77.630,0.681,-0.274,0.539,0.413
0.048889,9.332,2.527,-0.753,1.300,1.765,0.046,-49.7,21.0,62.8,98.177,-39.469,77.629,0.681,-0.274,0.539,0.413
0.053333,9.375,2.474,-0.748,1.405,1.953,-0.096,-48.9,21.2,63.0,98.174,-39.476,77.628,0.681,-0.274,0.539,0.413
0.057778,9.355,2.551,-0.725,1.220,1.777,-0.087,-48.2,21.5,63.2,98.170,-39.480,77.625,0.681,-0.274,0.539,0.413
0.062222,9.402,2.555,-0.782,1.256,1.612,-0.203,-48.3,21.9,63.2,98.169,-39.483,77.625,0.681,-0.274,0.539,0.413
0.066667,9.444,2.589,-0.853,1.927,1.837,-0.305,-49.0,22.5,63.1,98.173,-39.481,77.630,0.681,-0.274,0.539,0.413
0.071111,9.355,2.608,-0.813,2.416,1.905,-0.015,-49.8,23.0,63.0,98.179,-39.477,77.639,0.681,-0.274,0.539,0.413
0.075556,9.405,2.578,-0.697,2.074,1.574,-0.110,-50.3,22.9,63.2,98.182,-39.472,77.648,0.681,-0.274,0.539,0.413
0.080000,9.404,2.611,-0.741,2.016,1.403,-0.157,-50.7,22.4,63.6,98.190,-39.464,77.658,0.681,-0.274,0.539,0.413
0.084444,9.354,2.572,-0.747,2.136,1.516,-0.061,-51.0,21.8,63.9,98.199,-39.455,77.671,0.681,-0.274,0.539,0.413
0.088889,9.364,2.569,-0.734,1.871,1.322,-0.137,-51.1,21.5,64.1,98.200,-39.454,77.675,0.681,-0.274,0.539,0.413
0.093333,9.341,2.594,-0.693,1.365,1.198,-0.298,-51.0,21.4,64.1,98.195,-39.459,77.671,0.681,-0.274,0.539,0.413
0.097778,9.381,2.638,-0.779,1.198,1.182,-0.289,-50.9,21.3,64.1,98.190,-39.465,77.665,0.681,-0.274,0.539,0.413
0.102222,9.298,2.638,-0.780,1.025,1.198,-0.244,-50.9,21.2,64.0,98.185,-39.471,77.657,0.681,-0.274,0.539,0.413
0.106667,9.303,2.667,-0.742,0.639,1.260,-0.086,-50.9,21.0,64.0,98.180,-39.477,77.650,0.681,-0.274,0.539,0.413
0.111111,9.261,2.650,-0.773,0.926,1.361,-0.478,-51.0,20.8,63.9,98.174,-39.484,77.641,0.681,-0.274,0.539,0.413
0.115556,9.303,2.635,-0.787,1.079,1.564,-0.612,-50.8,21.0,63.6,98.168,-39.493,77.632,0.681,-0.274,0.539,0.413
0.120000,9.299,2.670,-0.699,1.037,1.810,-0.509,-50.6,21.4,63.1,98.159,-39.501,77.622,0.681,-0.274,0.539,0.413
0.124444,9.314,2.690,-0.630,0.832,1.482,-0.283,-50.3,21.8,62.6,98.149,-39.509,77.613,0.681,-0.274,0.539,0.413
0.128889,9.365,2.733,-0.673,0.981,1.406,-0.142,-50.6,21.5,62.5,98.139,-39.516,77.602,0.681,-0.274,0.539,0.413
0.133333,9.354,2.691,-0.725,1.098,1.632,-0.415,-51.0,20.9,62.7,98.136,-39.518,77.598,0.681,-0.274,0.539,0.413
0.137778,9.418,2.702,-0.721,0.930,1.413,-0.507,-51.5,20.3,62.9,98.136,-39.514,77.599,0.681,-0.274,0.539,0.413
0.142222,9.446,2.680,-0.697,1.067,1.324,-0.318,-51.0,20.3,62.8,98.136,-39.511,77.601,0.681,-0.274,0.539,0.413
0.146667,9.321,2.645,-0.744,1.073,1.342,-0.459,-50.2,20.6,62.5,98.132,-39.515,77.595,0.681,-0.274,0.539,0.413
0.151111,9.325,2.628,-0.766,1.471,1.516,-0.636,-49.3,20.9,62.2,98.124,-39.525,77.585,0.681,-0.274,0.539,0.413
0.155556,9.378,2.655,-0.783,1.735,1.630,-0.233,-49.6,21.1,62.3,98.116,-39.537,77.574,0.681,-0.274,0.538,0.413
0.160000,9.321,2.584,-0.690,1.770,1.471,-0.282,-50.3,21.3,62.6,98.111,-39.541,77.571,0.681,-0.274,0.538,0.413
0.164444,9.375,2.598,-0.714,2.082,2.072,-0.188,-51.0,21.5,62.9,98.111,-39.538,77.577,0.681,-0.274,0.539,0.413
0.168889,9.366,2.632,-0.730,1.612,1.599,-0.437,-51.1,21.4,63.0,98.111,-39.536,77.580,0.681,-0.274,0.539,0.413
0.173333,9.330,2.628,-0.664,1.494,1.615,-0.050,-51.0,21.2,63.0,98.108,-39.536,77.579,0.681,-0.274,0.539,0.413
0.177778,9.380,2.563,-0.692,1.022,1.617,0.168,-50.9,20.9,63.0,98.104,-39.539,77.579,0.681,-0.274,0.539,0.413
0.182222,9.378,2.586,-0.640,0.900,1.263,-0.186,-50.4,21.0,63.1,98.100,-39.541,77.578,0.681,-0.274,0.539,0.413
0.186667,9.294,2.593,-0.709,0.543,1.253,-0.212,-49.7,21.3,63.2,98.095,-39.545,77.575,0.681,-0.275,0.539,0.413
0.191111,9.311,2.557,-0.844,0.380,1.328,-0.277,-49.0,21.5,63.3,98.092,-39.553,77.569,0.681,-0.275,0.538,0.413
0.195556,9.394,2.622,-0.824,0.271,1.153,0.026,-49.1,21.6,63.5,98.089,-39.560,77.562,0.681,-0.275,0.538,0.413
0.200000,9.481,2.677,-0.678,0.435,1.385,0.265,-49.3,21.5,63.7,98.082,-39.564,77.557,0.681,-0.275,0.538,0.413
0.204444,9.349,2.573,-0.744,0.392,1.272,-0.225,-49.5,21.5,63.9,98.080,-39.567,77.556,0.681,-0.275,0.538,0.414
0.208889,9.423,2.588,-0.805,0.123,1.026,-0.463,-49.6,21.3,63.7,98.081,-39.568,77.556,0.681,-0.275,0.538,0.413
0.213333,9.406,2.612,-0.745,0.159,1.025,-0.586,-49.7,21.0,63.4,98.081,-39.568,77.556,0.681,-0.275,0.538,0.413
0.217778,9.348,2.622,-0.720,-0.064,1.136,-0.561,-49.8,20.7,63.2,98.078,-39.569,77.555,0.681,-0.275,0.538,0.414
0.222222,9.318,2.640,-0.804,0.375,1.159,-0.798,-49.5,21.1,63.1,98.077,-39.572,77.550,0.681,-0.275,0.538,0.414
0.226667,9.306,2.655,-0.769,0.237,1.310,-1.005,-49.2,21.6,63.0,98.075,-39.575,77.546,0.681,-0.275,0.538,0.414
0.231111,9.292,2.642,-0.768,0.284,1.140,-0.987,-48.8,22.1,62.9,98.072,-39.579,77.541,0.681,-0.275,0.538,0.414
0.235556,9.286,2.642,-0.791,0.458,1.455,-0.620,-49.2,21.8,62.4,98.068,-39.583,77.534,0.681,-0.275,0.538,0.414
0.240000,9.244,2.619,-0.730,0.693,1.372,-0.498,-49.7,21.3,61.9,98.064,-39.588,77.529,0.681,-0.275,0.538,0.414
0.244444,9.355,2.696,-0.730,0.784,1.342,-0.230,-50.2,20.8,61.4,98.065,-39.584,77.529,0.681,-0.275,0.538,0.414
0.248889,9.314,2.731,-0.688,0.898,1.395,-0.392,-50.3,20.7,61.4,98.067,-39.576,77.532,0.681,-0.275,0.538,0.414
0.253333,9.296,2.643,-0.742,0.758,1.351,-0.637,-50.3,20.7,61.4,98.070,-39.569,77.537,0.681,-0.275,0.538,0.414
0.257778,9.290,2.562,-0.602,1.156,1.342,-0.883,-50.3,20.7,61.4,98.068,-39.567,77.540,0.681,-0.275,0.538,0.414
0.262222,9.377,2.577,-0.768,1.007,1.076,-0.382,-50.3,21.5,61.7,98.068,-39.568,77.541,0.681,-0.275,0.538,0.414
0.266667,9.377,2.640,-0.736,1.030,1.145,-0.359,-50.4,22.4,62.0,98.067,-39.567,77.540,0.681,-0.275,0.538,0.414
0.271111,9.371,2.623,-0.694,0.929,1.755,-0.150,-50.5,23.3,62.4,98.066,-39.567,77.541,0.681,-0.275,0.538,0.414
0.275556,9.337,2.555,-0.852,0.261,1.231,-0.558,-50.1,23.1,62.0,98.073,-39.561,77.547,0.681,-0.275,0.538,0.414
